SA3_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,2073,2904,6146,5964,5787,4462,939,66,14,28349,1281,609,1396,1320,1385,2497,5284,3354,1530,18649,179,199,408,318,291,266,301,297,304,2561,3528,3707,7954,7597,7465,7227,6517,3719,1851,49562,687,2524,7485,7048,7152,4763,768,38,8,30467,2446,2469,3700,3716,3345,3189,1166,138,10,20169,339,332,774,473,382,555,167,23,5,3045,62,88,197,109,111,87,37,14,11,721,3531,5414,12159,11348,10985,8590,2142,210,24,54407,117,215,379,253,239,180,23,0,0,1405,389,188,218,172,132,141,47,5,0,1283,502,402,599,422,368,321,65,5,0,2685,4032,5817,12753,11767,11354,8911,2205,219,27,57092,2790,1117,2163,1989,2278,4175,9312,6025,2410,32257,335,408,822,636,620,564,590,533,444,4951,7163,7344,15741,14392,14251,13656,12107,6773,2878,94299
20102,378,376,1018,1396,1777,1598,421,62,0,7017,323,88,216,307,403,860,1671,830,329,5039,41,29,111,128,151,164,161,119,79,984,742,481,1346,1831,2335,2620,2252,1010,414,13035,160,413,1159,1661,2198,1716,388,85,8,7790,475,298,617,931,1070,1280,532,88,12,5288,67,42,152,150,157,219,70,15,0,876,20,26,50,51,72,32,34,13,0,299,729,781,1974,2789,3502,3243,1022,194,15,14258,30,31,62,51,67,59,3,0,0,307,53,15,23,26,37,41,24,3,0,227,84,48,82,75,103,101,31,6,0,533,812,829,2063,2869,3606,3346,1049,201,15,14796,689,150,347,461,686,1463,3200,1660,530,9190,90,71,205,254,316,338,321,225,134,1944,1596,1048,2608,3585,4600,5145,4575,2079,689,25926
20103,321,361,833,893,1216,1098,353,41,4,5117,268,115,274,284,430,845,1591,982,385,5169,57,36,78,101,152,121,151,113,41,855,651,514,1182,1275,1795,2059,2093,1131,433,11142,128,422,980,1007,1407,1198,320,38,5,5504,371,268,475,593,799,823,368,66,8,3779,60,36,110,92,112,140,70,10,0,627,28,19,58,32,53,52,16,9,0,266,587,742,1627,1717,2373,2215,777,131,18,10177,17,37,58,57,57,57,6,0,0,292,38,29,28,26,38,45,14,3,0,214,52,64,88,89,92,104,27,3,0,509,639,798,1713,1804,2462,2317,807,134,18,10691,608,217,479,521,879,1561,3227,1997,658,10135,127,86,165,209,312,273,322,228,79,1808,1373,1107,2355,2534,3654,4154,4352,2361,750,22630
20201,1819,2547,5583,5121,4884,4007,895,64,14,24941,1029,605,1293,1156,1200,2274,4752,3139,1511,16948,145,143,385,321,286,288,242,246,215,2261,2996,3295,7259,6600,6367,6563,5887,3449,1728,44151,524,2412,6780,6050,6120,4137,716,36,4,26783,2255,2009,3234,3316,2769,2865,1091,137,9,17692,244,272,695,411,309,521,172,14,0,2641,47,75,174,130,92,77,30,18,3,639,3068,4768,10880,9904,9300,7600,2009,201,21,47758,91,184,259,181,176,138,23,0,0,1056,373,158,170,111,113,126,42,0,0,1092,464,340,434,293,287,262,63,0,3,2144,3536,5114,11317,10197,9580,7862,2072,205,22,49903,2174,1074,1891,1744,1950,3779,8538,5740,2463,29351,270,305,779,640,599,570,486,416,320,4392,5980,6489,13979,12582,12136,12212,11096,6354,2812,83646
20202,730,621,1680,2516,3093,2607,754,86,7,12101,534,145,373,464,567,1346,2840,1663,590,8520,81,59,140,178,220,222,232,207,198,1540,1344,823,2198,3154,3884,4173,3827,1960,792,22157,244,623,1924,2765,3585,2577,579,88,3,12381,878,575,1064,1723,2000,2106,955,155,11,9478,135,84,229,249,266,344,134,18,0,1461,48,47,53,58,100,79,35,16,6,441,1311,1328,3268,4800,5959,5098,1701,274,25,23761,25,42,78,73,89,104,9,0,0,421,106,33,52,42,63,102,28,3,0,434,131,78,135,112,150,204,44,3,0,855,1443,1407,3400,4914,6105,5300,1744,277,25,24615,1158,311,779,829,1047,2364,5393,3267,1029,16172,179,125,279,356,455,464,489,382,288,3013,2774,1842,4463,6101,7608,8128,7624,3923,1340,43799
20203,143,159,384,443,555,621,184,33,4,2524,146,44,119,111,141,338,602,337,159,1997,26,28,44,62,81,101,89,68,48,552,317,229,548,619,783,1057,874,436,216,5074,70,162,445,524,689,688,245,54,12,2879,171,106,207,279,304,445,198,33,9,1755,14,24,60,46,59,71,23,0,0,303,14,6,23,30,29,37,10,12,0,173,268,302,735,881,1087,1237,471,100,19,5104,7,16,28,15,38,36,0,0,0,135,16,11,18,11,13,30,6,0,0,103,25,23,39,24,56,69,7,0,0,240,295,327,773,906,1140,1307,477,98,19,5344,291,80,171,178,283,633,1222,658,264,3783,51,52,81,127,183,219,188,139,88,1133,635,457,1027,1215,1603,2160,1887,899,371,10254
20301,413,357,968,1347,1260,887,233,35,3,5500,291,65,173,229,239,481,801,372,151,2801,38,23,50,90,69,78,58,48,36,484,742,444,1190,1667,1567,1445,1089,449,195,8785,167,407,1225,1538,1687,1065,272,36,5,6400,470,282,543,888,768,671,300,51,7,3977,80,42,179,127,95,122,46,12,0,706,28,18,35,43,49,29,12,10,0,218,734,758,1983,2595,2602,1897,624,107,14,11308,23,24,28,22,34,28,6,0,0,150,53,22,17,13,20,17,0,0,0,148,73,48,45,35,52,44,6,0,0,299,807,802,2024,2633,2656,1944,627,105,14,11604,633,118,244,323,351,808,1534,747,245,5002,70,50,114,178,149,139,128,89,50,971,1509,967,2385,3131,3152,2896,2289,943,307,17578
20302,3512,5750,12787,11023,10344,7646,1708,125,10,52912,2214,1109,2454,2340,2455,4582,8865,6220,2933,33164,248,365,737,624,530,417,560,505,387,4375,5971,7224,15974,13990,13336,12636,11138,6849,3327,90450,890,4605,16044,13424,12884,8472,1361,104,3,57781,4308,5227,7444,6885,6069,5558,2106,249,20,37869,533,699,1439,1021,729,810,298,28,4,5553,70,192,425,277,236,171,63,28,8,1481,5801,10718,25354,21608,19918,15007,3827,408,35,102678,170,421,666,429,448,321,44,0,0,2494,793,447,438,285,244,242,74,13,0,2537,966,869,1108,712,693,560,112,14,0,5031,6764,11590,26461,22326,20606,15567,3942,423,38,107710,4891,2322,4263,3744,4140,7642,15779,11017,4695,58504,525,801,1611,1220,1106,912,1015,879,611,8676,12177,14716,32338,27287,25859,24118,20738,12319,5340,174895
20303,1377,1566,3900,5166,5127,4164,1084,106,12,22501,784,220,600,847,803,2378,5531,3063,1133,15358,89,77,188,250,219,294,366,285,233,2003,2251,1869,4691,6257,6149,6836,6978,3454,1380,39860,285,1305,4658,5990,6104,3972,746,73,5,23124,1775,1458,2175,3328,3091,3290,1559,199,13,16891,323,244,586,560,383,554,227,27,0,2911,46,69,114,140,126,94,47,16,6,646,2428,3074,7531,10013,9702,7906,2581,316,31,43580,41,91,137,114,161,123,34,5,0,698,269,76,71,97,82,115,45,13,0,772,313,170,212,212,236,244,78,11,0,1472,2746,3242,7739,10228,9940,8147,2656,327,29,45054,1768,454,901,1152,1293,3846,10195,5791,1908,27304,174,163,364,470,481,576,731,532,361,3856,4687,3855,9005,11854,11717,12569,13583,6650,2302,76217
20401,769,929,2280,2474,2972,2808,886,131,7,13261,658,211,532,558,655,1552,3081,1913,844,10007,144,107,234,249,299,350,299,206,127,2013,1572,1253,3043,3283,3928,4712,4263,2246,980,25285,404,1204,2941,3003,3580,3108,838,147,9,15234,927,594,1229,1545,1757,2009,1084,198,23,9368,140,124,329,225,251,417,141,27,5,1644,53,59,118,109,121,80,68,25,4,645,1527,1978,4606,4881,5718,5609,2133,395,41,26895,38,69,121,77,124,127,24,0,0,574,96,45,51,51,80,99,30,0,0,459,132,115,175,131,203,227,51,0,0,1039,1659,2095,4780,5009,5921,5838,2187,395,41,27932,1362,462,787,865,1111,2708,5940,3766,1396,18393,269,261,475,504,607,730,638,396,181,4067,3284,2819,6040,6382,7638,9277,8764,4568,1622,50389
