SA3_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
20101,149,138,284,3136,3063,6197,124,142,266,3407,3342,6749,119,133,253,3555,3334,6889,199,134,332,3881,3605,7479,128,131,258,3658,3449,7105,171,132,308,3959,3714,7673,114,92,205,3363,3266,6626,151,174,327,3631,3528,7163,92,110,200,3357,3417,6776,190,175,367,3635,3707,7344,102,101,201,3750,3775,7522,209,214,422,4058,4085,8146,57,59,115,3519,3653,7173,152,151,303,3730,3865,7598,52,57,113,3316,3666,6980,145,157,297,3515,3882,7397,32,58,87,3100,3516,6622,144,146,289,3281,3718,6997,43,49,96,3221,3565,6791,141,147,288,3410,3765,7173,37,39,79,3170,3528,6694,164,132,291,3369,3701,7076,40,43,82,3123,3451,6570,144,124,265,3301,3614,6918,28,34,69,2966,3461,6425,129,112,245,3124,3613,6740,53,57,114,9166,11488,20652,451,543,996,9669,12088,21755,1055,1113,2164,52400,56633,109035,2529,2478,5002,55982,60219,116201
20102,20,22,41,668,658,1323,43,54,101,731,735,1467,26,21,47,781,716,1497,71,58,126,880,789,1672,24,16,39,880,848,1730,71,68,137,974,934,1910,22,16,37,781,690,1466,48,43,91,852,742,1596,7,15,20,522,445,971,35,23,65,567,481,1048,10,13,20,503,549,1052,44,54,92,551,615,1168,14,10,23,660,665,1321,42,53,99,712,729,1443,4,9,14,748,809,1557,69,52,125,828,871,1693,10,14,22,863,887,1741,57,67,121,927,964,1888,10,6,17,982,1018,2006,78,71,152,1067,1101,2170,16,12,27,1108,1135,2242,84,83,167,1203,1226,2430,13,11,26,1175,1224,2394,82,76,156,1270,1314,2581,9,0,11,1173,1230,2397,84,72,152,1259,1311,2566,13,7,20,3397,3425,6828,247,242,487,3663,3676,7343,200,178,372,14235,14297,28529,1052,1023,2065,15481,15497,30975
20103,32,43,72,474,488,961,42,32,80,548,561,1107,29,32,60,636,608,1240,56,70,124,723,706,1424,36,30,61,727,664,1391,72,76,142,833,765,1598,15,24,43,636,565,1200,67,66,138,720,651,1373,19,20,42,528,460,984,45,34,81,592,514,1107,10,23,34,507,511,1017,39,28,64,554,564,1119,14,17,36,551,560,1116,48,40,85,613,617,1233,18,12,29,525,579,1099,51,57,110,590,650,1238,7,7,12,612,574,1183,48,48,97,670,626,1297,15,17,32,751,748,1499,72,67,146,840,834,1671,13,18,33,924,868,1791,80,80,154,1013,962,1979,14,14,28,901,920,1822,75,57,135,994,990,1976,16,8,27,1019,1001,2020,64,66,127,1098,1074,2168,25,20,50,3515,3405,6921,257,232,491,3800,3661,7466,266,274,542,12300,11951,24252,1017,947,1966,13582,13170,26759
20201,134,138,275,2847,2791,5636,138,144,279,3118,3074,6186,170,160,339,3050,2938,5979,179,159,345,3404,3256,6661,155,122,274,3132,2836,5971,168,126,301,3454,3092,6545,92,111,206,2760,2727,5491,130,154,289,2984,2996,5980,105,126,228,2935,3039,5974,152,132,285,3196,3295,6489,104,113,224,3157,3324,6476,186,190,376,3449,3631,7077,73,89,160,3036,3385,6421,162,158,320,3277,3634,6903,54,63,121,2956,3231,6184,149,165,310,3153,3459,6611,52,47,92,2639,2945,5587,136,153,293,2823,3145,5965,40,63,107,2711,2997,5709,150,152,305,2901,3209,6112,57,49,108,2667,2996,5668,136,110,250,2863,3156,6020,45,50,93,2627,3044,5670,121,146,271,2795,3241,6037,40,29,65,2675,3163,5839,141,134,275,2853,3324,6176,57,76,137,8712,10466,19174,427,527,955,9203,11061,20264,1181,1239,2416,45902,49874,95777,2386,2461,4842,49462,53577,103034
20202,28,22,52,1178,1052,2228,75,51,128,1279,1125,2401,39,26,66,1480,1433,2912,80,100,180,1597,1559,3156,36,27,64,1518,1368,2893,100,97,197,1650,1496,3146,32,26,57,1294,1232,2522,107,86,195,1428,1344,2774,24,18,42,928,753,1685,64,54,120,1016,823,1842,32,18,48,941,884,1832,66,60,127,1041,966,2006,25,16,34,1134,1147,2282,72,71,144,1222,1234,2455,21,19,39,1291,1349,2639,82,89,173,1392,1457,2845,21,17,35,1455,1594,3044,86,91,174,1553,1698,3252,22,16,40,1661,1769,3431,113,109,221,1798,1897,3690,26,23,49,1787,1856,3641,108,112,223,1922,1988,3916,24,9,31,1755,1974,3727,129,117,246,1906,2101,4006,18,15,35,1905,1951,3856,121,106,232,2051,2074,4120,23,28,51,5876,6102,11979,414,443,860,6310,6580,12890,349,277,630,24197,24466,48666,1616,1591,3209,26167,26336,52500
20203,13,18,29,247,226,474,31,25,54,291,267,559,13,22,33,274,274,540,23,25,52,309,321,626,14,15,34,329,340,672,48,34,86,390,391,785,13,20,26,279,273,551,26,28,57,318,317,635,8,0,9,200,199,391,25,29,58,233,229,457,3,14,16,197,238,437,18,21,38,221,272,494,9,8,20,231,247,478,20,22,38,264,274,536,10,3,13,240,270,512,25,23,56,274,307,574,7,5,16,289,270,555,38,33,73,324,312,644,11,8,14,321,315,636,41,34,78,375,357,734,5,10,18,385,367,747,57,47,108,445,427,868,8,10,11,420,466,889,42,55,102,470,528,1000,3,9,10,562,468,1031,70,47,115,633,528,1158,16,15,31,1438,1331,2764,175,181,358,1630,1525,3154,122,159,275,5398,5288,10688,653,609,1261,6168,6053,12224
20301,21,18,37,690,667,1360,44,35,77,754,718,1473,19,17,34,852,785,1638,49,54,108,922,866,1786,18,17,30,827,695,1523,51,44,93,893,754,1648,19,9,25,710,694,1409,39,38,75,770,742,1509,6,4,14,501,417,917,18,20,41,522,444,967,4,4,14,499,484,986,21,25,49,534,514,1047,9,12,17,620,639,1257,35,27,60,662,675,1334,0,11,16,680,794,1477,43,43,90,728,847,1574,3,10,10,695,766,1459,35,44,83,739,815,1552,9,6,15,763,722,1479,48,36,85,813,765,1580,4,12,17,734,759,1496,39,29,68,775,799,1574,8,4,11,711,723,1428,33,46,75,746,771,1514,7,6,15,663,646,1305,32,29,59,701,677,1378,15,10,21,1699,1649,3342,96,78,177,1804,1735,3539,130,128,269,10648,10437,21082,580,555,1134,11359,11121,22483
20302,159,150,304,6011,5604,11612,220,208,422,6384,5954,12345,171,161,331,5989,5787,11775,302,274,573,6460,6220,12678,136,149,288,5777,5482,11257,270,259,527,6182,5892,12068,137,167,303,5805,5563,11372,266,245,502,6205,5971,12177,151,164,319,6952,6726,13674,384,335,719,7493,7224,14716,157,117,277,7989,7595,15587,401,357,762,8553,8070,16625,99,99,203,7347,7494,14835,365,310,679,7812,7902,15715,91,84,177,6795,7023,13817,298,301,598,7185,7411,14594,79,91,169,5772,6204,11980,264,290,552,6113,6579,12697,61,75,144,6069,6438,12512,297,259,557,6432,6775,13211,73,70,144,5763,6249,12007,247,244,496,6083,6559,12646,58,53,114,5660,6177,11829,243,201,439,5956,6426,12381,35,49,85,5285,5975,11261,213,181,392,5531,6211,11737,73,84,154,16324,20349,36672,690,885,1577,17082,21315,38400,1491,1514,3005,97526,102652,200175,4447,4351,8795,103468,108519,211986
20303,25,27,52,2478,2425,4902,88,72,162,2592,2528,5125,49,46,92,2979,2689,5667,126,129,256,3155,2865,6016,52,54,108,2933,2741,5670,153,128,281,3134,2925,6062,27,22,52,2314,2140,4456,91,88,178,2433,2251,4687,25,24,53,1879,1780,3661,76,67,150,1989,1869,3855,35,18,53,1904,1908,3813,74,89,167,2012,2011,4024,23,21,46,2195,2579,4778,85,75,158,2306,2681,4986,24,20,43,2644,3107,5743,106,123,231,2771,3252,6020,21,15,42,2687,2867,5558,111,121,235,2827,3008,5832,21,21,42,2739,3031,5771,128,114,245,2892,3168,6056,28,25,45,2528,2865,5392,119,95,218,2673,2979,5657,13,17,28,2511,3038,5551,111,122,236,2639,3173,5812,14,8,19,2932,3490,6424,151,160,310,3097,3661,6756,29,38,66,10056,11110,21164,639,665,1303,10724,11810,22533,388,358,745,42791,45760,88554,2059,2062,4120,45240,48180,93417
20401,73,83,159,1286,1186,2480,82,81,167,1447,1356,2798,64,65,128,1446,1365,2808,138,124,266,1651,1557,3204,48,71,119,1667,1553,3216,148,130,279,1865,1750,3612,53,48,97,1531,1384,2919,123,144,267,1708,1572,3284,52,43,95,1382,1124,2502,134,92,225,1570,1253,2819,31,45,73,1330,1351,2683,108,122,227,1471,1509,2984,38,32,74,1378,1401,2778,107,104,203,1521,1539,3057,23,34,61,1393,1480,2873,123,128,256,1540,1648,3192,25,24,44,1406,1500,2906,129,110,245,1565,1631,3191,31,21,53,1526,1708,3237,127,154,282,1686,1885,3570,23,30,47,1839,1886,3719,163,135,302,2026,2047,4067,36,26,64,1968,2020,3988,171,161,329,2170,2206,4379,40,22,63,2159,2306,4467,195,175,369,2393,2503,4899,32,41,73,6926,6976,13901,494,482,976,7451,7492,14948,570,580,1144,27249,27228,54469,2250,2141,4383,30066,29941,60002
