SA3_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
20101,2667,16760,16869,5443,3074,44806,580,45382
20102,314,3429,4555,2097,1416,11811,176,11983
20103,440,3383,3872,1669,1232,10597,231,10828
20201,2201,14438,15071,5035,2762,39505,514,40027
20202,633,6115,7806,3113,2184,19854,297,20145
20203,119,1152,1619,918,702,4515,112,4624
20301,82,1273,3137,1524,1327,7344,111,7459
20302,4920,29434,31254,9172,5121,79898,1066,80964
20303,743,11146,15770,4549,2315,34523,388,34913
20401,870,7179,8585,3660,2486,22783,413,23190
20402,955,6273,7235,2770,1788,19018,515,19530
20403,1123,9070,11559,4146,2547,28451,613,29065
20501,684,6511,8450,3302,2231,21179,298,21479
20502,840,6670,7492,2781,1597,19374,439,19815
20503,1074,10022,10958,3884,2280,28209,524,28734
20504,2130,10893,10701,3932,2296,29951,602,30560
20505,764,5570,6600,2567,1679,17185,304,17492
20601,6104,18851,9346,2276,1005,37576,397,37979
20602,2962,10618,6196,1362,599,21729,192,21919
20603,3604,12974,8221,2028,1030,27850,356,28208
20604,32070,29407,6840,912,374,69605,1143,70753
20605,8706,26676,10488,1608,611,48088,652,48743
20606,6427,15664,6377,1281,623,30374,351,30727
20607,8196,21678,8544,1583,501,40503,504,41005
20701,4559,25120,23270,6207,3003,62161,553,62715
20702,1749,12848,14750,4091,2148,35586,353,35944
20703,3924,16456,14277,3520,1692,39862,479,40344
20801,1895,13841,15730,4121,1984,37582,358,37936
20802,5274,26152,21848,4804,2205,60276,628,60906
20803,2969,18834,19142,4684,2222,47850,482,48335
20804,1365,6980,5787,1459,700,16295,212,16501
20901,2773,17713,19078,5104,2524,47190,473,47666
20902,4330,16759,11374,2982,1524,36966,600,37564
20903,365,4689,9798,4111,3189,22155,178,22333
20904,3303,25953,34886,11523,6354,82032,1162,83197
21001,1187,7583,9409,2766,1526,22475,277,22754
21002,162,2347,4837,2183,1586,11110,119,11227
21003,2634,12766,9811,2561,1331,29104,437,29537
21004,576,4861,6771,2426,1519,16152,174,16329
21005,2816,18825,24889,8710,5011,60257,1084,61344
21101,2161,17613,24412,8094,4574,56855,575,57431
21102,179,1844,3615,1619,1327,8582,65,8641
21103,2029,15235,17442,4890,2829,42421,433,42858
21104,1242,8514,9440,2388,1155,22742,280,23020
21105,1577,15129,23049,8908,6373,55036,524,55559
21201,1011,11378,16692,6030,4067,39168,502,39673
21202,1652,12716,18668,6838,4203,44088,612,44695
21203,1685,18041,31339,10841,5834,67741,922,68665
21204,4970,23093,22772,7994,4241,63072,1203,64274
21205,4455,22889,25263,7242,3386,63246,793,64036
21301,4325,20717,21655,8413,4539,59644,1167,60809
21302,2318,13090,12476,3152,1505,32542,387,32922
21303,4176,16189,9797,2212,848,33231,468,33695
21304,2026,17965,26197,9284,5479,60957,905,61861
21305,3447,32272,38327,10788,5253,90076,1479,91560
21401,3036,18780,20716,6399,3382,52314,705,53019
21402,2329,21510,26620,8399,4945,63801,848,64650
21501,1342,7887,8561,3579,2495,23860,472,24334
21502,1275,7014,7772,2958,1770,20780,499,21283
21503,791,4501,5272,2192,1495,14250,385,14635
21601,719,4694,5506,2327,1556,14805,329,15130
21602,544,3898,4281,1734,1209,11658,259,11917
21603,1214,8049,9119,3618,2201,24197,532,24727
21701,706,4788,5344,2381,1568,14794,267,15056
21703,714,4818,5464,2292,1570,14862,322,15185
21704,921,6708,7955,2804,1717,20102,323,20425
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
