SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
20101,1376,1261,2635,3019,2757,5775,1428,1415,2850,597,619,1216,5059,4799,9856,1798,1863,3662,1314,1249,2564,833,914,1749,3952,4038,7992,188,185,370,150,236,387,415,246,654,465,643,1107,0,6,8,1220,1312,2536,853,1344,2197,370,652,1023,120,191,308,488,959,1446,6,7,11,1834,3150,4983,3058,4471,7524,144,133,279,233,390,623,6,11,18,384,533,914,2887,2935,5813,16707,18028,34735
20102,261,291,544,859,724,1578,234,237,473,77,107,180,1173,1067,2239,500,485,987,258,244,503,179,202,385,939,931,1870,27,27,50,25,43,71,98,37,135,100,167,270,3,0,4,252,276,530,77,148,224,43,105,149,16,30,43,75,236,310,0,0,0,212,516,731,471,794,1259,22,23,47,52,95,144,0,0,0,71,118,193,1153,1132,2287,4062,4328,8389
20103,212,201,414,728,698,1424,179,153,333,39,36,76,948,889,1833,495,462,957,122,117,244,134,159,296,758,736,1491,18,30,47,15,25,38,79,43,115,51,114,163,6,4,5,157,211,375,38,102,143,26,45,68,13,22,40,38,124,159,6,0,6,116,294,413,280,510,788,26,24,49,30,76,102,3,0,5,58,96,157,1445,1078,2524,3701,3505,7200
20201,1145,1107,2249,2794,2590,5387,1274,1187,2469,352,348,700,4430,4130,8559,2050,1953,4001,867,871,1742,419,459,876,3341,3285,6626,201,272,472,171,310,481,387,233,617,389,569,957,8,9,9,1150,1390,2545,571,1044,1615,228,379,601,90,130,222,295,687,981,6,0,6,1185,2248,3432,2342,3645,5988,156,147,305,202,320,514,3,0,11,364,470,830,2735,2872,5607,14344,15511,29853
20202,524,426,949,1478,1379,2857,457,438,899,174,167,343,2110,1985,4097,860,795,1647,386,402,784,378,374,752,1627,1561,3191,64,69,130,47,91,138,155,75,233,164,236,400,5,0,9,436,471,908,161,265,425,58,178,239,19,48,73,155,451,607,0,5,11,399,948,1347,833,1424,2259,41,33,73,73,132,207,9,5,12,119,170,290,2308,1898,4210,7527,7465,14993
20203,97,87,184,320,330,651,95,99,194,10,17,31,432,449,880,259,286,548,49,59,105,25,34,61,338,381,720,14,12,23,9,25,32,37,22,59,25,45,73,4,0,0,88,103,188,23,60,78,11,30,43,3,12,13,9,48,53,0,0,0,45,146,193,128,253,381,6,10,19,4,32,31,4,0,4,17,39,56,666,639,1302,1669,1849,3522
20301,294,292,585,828,737,1565,178,194,372,165,125,292,1173,1061,2229,444,385,825,199,244,440,254,193,446,896,822,1721,26,40,61,14,19,33,106,50,153,69,136,214,0,0,0,215,246,469,85,155,238,14,53,68,22,32,54,48,138,185,0,0,0,168,381,549,383,634,1016,10,23,32,41,58,101,5,3,3,57,76,137,628,629,1257,3437,3513,6945
20302,2503,2192,4693,5318,5119,10431,1977,1985,3960,972,918,1887,8280,8014,16295,3345,2980,6329,1581,1975,3556,1596,1422,3017,6527,6383,12912,397,462,858,368,586,951,820,462,1280,896,1099,1995,13,8,23,2494,2614,5107,2227,2996,5224,1012,1169,2187,299,456,758,820,1597,2421,10,11,21,4375,6232,10607,6878,8853,15728,368,344,710,466,734,1203,8,4,12,844,1081,1927,6230,5148,11379,31263,31680,62942
20303,1131,1002,2132,3043,2730,5773,803,847,1648,319,299,612,4170,3874,8043,1317,1231,2553,934,971,1903,719,656,1383,2972,2865,5838,110,119,232,102,145,242,360,149,503,341,471,814,6,0,7,914,886,1802,539,799,1340,188,356,545,92,124,216,337,756,1097,4,7,14,1156,2051,3206,2074,2940,5010,64,66,131,156,258,409,3,5,10,220,328,547,2271,2335,4607,12839,13343,26180
20401,540,497,1040,1465,1358,2829,614,598,1213,103,99,207,2190,2058,4254,1104,1038,2145,430,436,864,222,314,542,1760,1790,3555,100,82,187,43,91,133,207,130,340,133,359,494,3,0,7,492,668,1157,158,236,391,56,145,203,29,60,86,149,323,470,0,0,0,386,758,1151,880,1427,2309,57,52,116,125,171,294,11,5,15,192,226,421,2482,2400,4887,8048,8403,16449
