SA3_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
20101,679,2236,555,700,43,5187,1144,822,3076,1466,2066,201,8779,56,22,216,105,208,17,631,66,32,162,242,832,27,1360,55,14,189,153,448,138,996,3708,2264,10732,5932,14015,944,37589
20102,185,365,122,142,16,1089,202,144,530,336,379,48,1641,14,16,65,44,75,7,224,20,7,35,63,253,6,383,13,10,68,49,179,45,371,914,609,2425,1722,3884,374,9930
20103,68,241,91,110,6,576,83,90,344,289,446,37,1297,3,6,20,17,27,0,76,7,3,12,34,202,5,262,4,6,27,24,141,64,257,258,274,1163,1081,3293,277,6348
20201,570,1682,408,560,55,3790,1009,737,2815,1434,1939,196,8130,24,22,121,77,151,17,405,61,33,168,226,850,22,1363,42,23,127,115,441,125,876,2478,1959,8871,5134,13001,921,32363
20202,377,786,181,235,18,2141,453,345,1019,558,629,83,3091,61,40,150,69,80,8,417,30,19,110,90,378,9,643,43,33,135,68,204,74,552,2035,1320,4921,2737,5613,518,17140
20203,42,115,44,58,10,291,44,40,133,108,179,29,532,0,0,11,6,12,0,23,3,0,6,17,90,5,114,0,4,9,18,71,31,127,116,133,624,523,1609,167,3168
20301,125,354,132,127,10,886,83,125,428,265,381,32,1317,3,4,23,34,31,0,101,10,5,14,45,237,4,323,6,9,47,38,134,29,267,437,406,1812,1437,3606,253,7954
20302,1069,3798,1134,1106,102,9031,1821,1266,5651,2599,3687,353,15377,95,43,331,196,300,27,987,135,64,372,500,1524,68,2655,175,43,490,334,875,336,2255,7529,3826,22109,12057,25036,1919,72466
20303,573,1862,476,417,56,4249,822,643,2333,1051,1144,137,6127,62,30,256,125,157,13,652,54,32,214,243,605,35,1188,81,38,287,176,334,127,1042,3348,2056,10656,5601,10157,855,32671
20401,272,757,267,326,38,1928,194,195,700,615,742,96,2544,9,11,72,82,112,4,284,27,14,85,110,492,9,738,26,8,80,103,297,106,623,977,803,3688,3241,8127,704,17555
20402,234,650,220,314,22,1617,277,276,963,742,917,94,3272,13,7,29,36,72,9,176,18,11,49,91,433,13,612,18,7,48,56,245,97,472,825,767,3247,2676,6719,608,14848
20403,442,1074,385,500,23,2854,428,445,1545,1005,1416,117,4956,28,25,84,61,107,4,308,20,15,76,129,677,26,932,27,18,99,106,404,104,753,1541,1395,5690,4376,11303,791,25096
20501,291,902,303,435,36,2318,301,263,1014,702,937,110,3332,9,12,63,62,118,6,267,20,9,60,123,611,19,845,13,12,77,76,325,100,600,1088,841,3982,3102,8425,622,18061
20502,206,559,207,298,24,1458,206,170,726,636,807,72,2633,10,8,54,39,67,4,178,13,10,54,82,365,16,542,9,6,42,68,221,91,438,635,570,2480,2234,5909,564,12390
20503,335,941,301,326,34,2251,338,285,1085,770,1013,120,3612,41,27,170,103,178,11,525,24,17,104,113,607,23,883,23,21,101,114,319,112,691,1229,1050,4603,3420,8979,801,20085
20504,235,819,282,438,43,2127,393,290,1336,893,1448,145,4501,12,3,38,45,82,6,193,21,3,59,124,655,17,876,14,8,79,81,429,121,731,1089,808,4127,3396,10693,761,20876
