SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
20101,..,13555,13555,14215,1256,15472,6177,322,6498,6044,116,6160,2634,31,2663,1006,22,1031,30077,15310,45382
20102,..,3404,3404,4428,255,4677,1500,20,1523,1404,3,1407,671,3,673,290,0,295,8300,3684,11983
20103,..,3626,3626,3890,236,4126,1215,15,1234,1070,8,1072,494,0,494,273,0,272,6942,3885,10828
20201,..,11908,11908,12658,1051,13711,5598,251,5850,5164,80,5247,2243,22,2262,1036,15,1045,26704,13322,40027
20202,..,5511,5511,7288,418,7707,2685,56,2740,2693,9,2699,1043,5,1046,439,7,441,14136,6008,20145
20203,..,1364,1364,1697,98,1794,562,5,567,505,4,508,255,0,255,132,0,130,3150,1475,4624
20301,..,1221,1221,2468,101,2569,1175,14,1191,1483,0,1479,713,0,713,291,0,291,6128,1331,7459
20302,..,23245,23245,24814,2075,26895,11897,752,12645,11349,371,11729,4478,116,4600,1783,70,1855,54329,26628,80964
20303,..,8246,8246,13034,617,13648,4620,175,4792,5352,94,5447,2179,16,2192,573,15,588,25751,9162,34913
20401,..,6969,6969,8495,437,8926,2876,73,2947,2575,19,2600,1214,4,1214,530,7,536,15680,7510,23190
20402,..,6126,6126,7033,394,7422,2339,49,2388,2158,12,2171,1028,5,1037,391,7,392,12937,6591,19530
20403,..,8119,8119,10243,579,10816,3879,100,3978,3775,21,3794,1670,7,1677,675,3,681,20239,8831,29065
20501,..,5473,5473,7554,353,7909,3009,46,3056,2938,21,2960,1427,7,1437,642,4,646,15572,5906,21479
20502,..,6224,6224,7704,417,8124,2226,52,2278,1879,18,1894,892,0,894,394,9,400,13095,6719,19815
20503,..,8944,8944,10852,562,11413,3260,70,3327,2985,16,2996,1454,5,1461,593,3,596,19140,9597,28734
20504,..,9856,9856,9964,701,10668,4040,85,4126,3651,18,3678,1510,11,1515,706,9,718,19870,10690,30560
20505,..,5310,5310,6284,358,6643,2123,44,2164,1996,4,2007,948,5,948,418,0,417,11767,5727,17492
20601,..,12156,12156,10928,2055,12983,4773,1258,6034,4489,582,5077,1187,124,1313,390,30,422,21770,16207,37979
20602,..,7024,7024,6059,870,6934,2940,570,3504,3115,233,3346,827,60,884,208,13,223,13150,8773,21919
20603,..,9388,9388,7982,977,8960,3809,337,4150,3856,119,3978,1336,23,1363,352,14,364,17337,10871,28208
20604,..,30520,30520,21064,6909,27971,5737,1922,7656,2823,676,3497,616,169,781,264,62,326,30508,40243,70753
20605,..,21352,21352,14732,2464,17195,4652,609,5260,3531,147,3678,973,32,1010,238,12,251,24123,24616,48743
20606,..,13596,13596,9481,1838,11320,2529,590,3118,1808,131,1938,587,22,609,138,0,146,14548,16174,30727
20607,..,15117,15117,12733,2539,15278,4145,1552,5698,3104,554,3659,859,124,983,248,26,277,21095,19914,41005
20701,..,16223,16223,18251,1663,19914,9186,564,9747,11190,260,11453,4112,88,4200,1150,37,1183,43878,18840,62715
20702,..,7629,7629,11383,502,11883,6469,140,6614,6551,83,6629,2248,40,2290,881,24,904,27527,8413,35944
20703,..,10544,10544,11543,1270,12814,6391,537,6932,6598,316,6915,2195,117,2311,765,69,830,27494,12856,40344
20801,..,9581,9581,11847,530,12376,5691,90,5780,7106,35,7147,2514,22,2537,511,6,519,27673,10264,37936
20802,..,17043,17043,17628,1842,19469,9152,524,9673,10019,264,10279,3314,93,3409,1011,36,1042,41115,19794,60906
20803,..,13781,13781,14424,903,15328,7623,159,7782,8214,45,8259,2504,19,2524,656,5,663,33416,14915,48335
20804,..,4933,4933,4785,528,5305,2195,173,2367,2601,87,2689,965,31,997,204,3,214,10745,5758,16501
20901,..,11903,11903,14735,955,15684,7548,321,7875,8435,143,8573,2700,45,2749,859,26,878,34279,13389,47666
20902,..,11180,11180,10855,1494,12346,5575,560,6140,5079,277,5350,1621,88,1707,790,59,851,23916,13652,37564
20903,..,3358,3358,6952,208,7163,4006,31,4041,5095,13,5105,2043,6,2051,622,3,622,18712,3621,22333
20904,..,14906,14906,22189,1411,23593,15662,391,16052,17311,184,17496,7341,75,7413,3686,50,3733,66185,17013,83197
21001,..,5242,5242,6979,350,7330,3833,84,3916,4255,20,4280,1502,11,1515,459,9,468,17036,5715,22754
21002,..,1980,1980,3768,129,3899,1744,21,1767,2252,0,2251,976,0,976,358,0,358,9091,2132,11227
21003,..,7799,7799,8342,836,9177,4711,265,4975,4621,165,4783,1733,86,1816,950,37,990,20358,9177,29537
21004,..,3548,3548,5032,309,5341,2910,45,2953,2909,11,2922,1132,0,1137,432,0,433,12413,3915,16329
21005,..,9817,9817,14097,953,15051,11547,259,11812,12889,152,13045,6548,70,6613,4982,30,5012,50064,11281,61344
21101,..,12183,12183,17258,1095,18356,10448,195,10644,10826,74,10897,3810,30,3839,1507,10,1515,43844,13583,57431
21102,..,1370,1370,2635,69,2709,1440,20,1458,1930,7,1939,864,4,862,305,0,305,7175,1465,8641
21103,..,10691,10691,12964,850,13807,7045,163,7215,7360,56,7419,2689,31,2725,1000,7,1004,31061,11799,42858
21104,..,5390,5390,6673,439,7116,3847,140,3991,4431,67,4499,1482,34,1513,505,18,521,16937,6082,23020
21105,..,11824,11824,17858,919,18778,9139,145,9276,9894,52,9940,3935,14,3951,1777,10,1781,42593,12962,55559
21201,..,7677,7677,11387,722,12109,6856,114,6970,7707,36,7746,3356,14,3364,1802,0,1809,31104,8565,39673
21202,..,7984,7984,12266,792,13054,8143,235,8377,9028,109,9134,3793,40,3833,2294,14,2313,35525,9175,44695
21203,..,9654,9654,15881,1128,17007,13418,290,13707,15944,118,16063,7136,34,7163,5046,15,5061,57428,11238,68665
21204,..,14109,14109,16400,1656,18051,11408,712,12119,10528,429,10957,4977,193,5166,3760,119,3879,47066,17204,64274
21205,..,13366,13366,18359,1723,20081,11119,986,12102,11983,614,12593,3905,246,4147,1594,158,1752,46956,17082,64036
21301,..,12402,12402,16006,1308,17310,10891,521,11415,10754,292,11041,4909,129,5037,3537,65,3604,46092,14716,60809
21302,..,8637,8637,9995,658,10651,5421,116,5546,5558,53,5611,1810,16,1830,652,3,655,23441,9484,32922
21303,..,9996,9996,9688,1520,11207,4989,612,5604,4555,218,4774,1406,86,1495,570,50,622,21213,12482,33695
21304,..,10657,10657,15090,998,16084,11641,158,11797,13627,48,13673,6056,17,6073,3560,11,3570,49975,11884,61861
21305,..,14152,14152,20873,1871,22741,19135,620,19755,20689,389,21070,8124,169,8291,5458,90,5545,74276,17281,91560
21401,..,14700,14700,15680,1305,16980,8679,214,8887,8085,34,8122,3099,18,3120,1194,9,1204,36737,16282,53019
21402,..,17727,17727,23197,1004,24206,8621,126,8744,9079,36,9116,3610,18,3625,1231,3,1234,45733,18918,64650
21501,..,8130,8130,8488,531,9018,2882,84,2966,2462,25,2489,1249,13,1259,468,4,470,15549,8786,24334
21502,..,6177,6177,6909,471,7376,2905,120,3019,2650,47,2698,1289,26,1323,659,26,692,14414,6868,21283
21503,..,4490,4490,5104,372,5475,1759,71,1833,1503,40,1542,851,11,858,423,14,438,9639,4992,14635
21601,..,4465,4465,5437,291,5724,1864,43,1905,1725,17,1738,884,3,887,407,3,410,10316,4818,15130
21602,..,3579,3579,4443,263,4710,1334,35,1363,1247,10,1259,661,4,666,324,10,335,8013,3903,11917
21603,..,6888,6888,7773,550,8324,3447,154,3600,3346,51,3394,1584,14,1599,905,16,918,17051,7670,24727
21701,..,4929,4929,5369,306,5670,1853,31,1883,1563,11,1570,713,6,715,283,0,286,9782,5273,15056
21703,..,4797,4797,5306,351,5654,1751,53,1805,1598,30,1627,887,12,904,395,4,398,9940,5244,15185
21704,..,5858,5858,7018,413,7432,2719,102,2817,2571,29,2603,1228,11,1242,469,4,475,14008,6419,20425
29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
