SA3_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
20101,226,399,620,99,152,251,95,434,535,150,992,1139,506,2694,3204,700,1808,2507,2046,1126,3165,1877,1449,3329,2242,1485,3730,2633,1049,3682,1906,859,2761,1974,636,2616,3944,839,4786,2925,141,3061,2288,189,2475,1348,45,1394,3077,274,3348,1685,219,1899,363,509,873,30077,15310,45382
20102,87,126,214,42,51,96,48,125,170,49,271,315,158,806,961,152,368,519,586,263,851,480,318,795,601,304,908,686,209,893,519,196,715,550,125,682,1038,210,1247,781,15,796,559,41,600,351,3,354,919,89,1003,555,22,582,140,145,282,8300,3684,11983
20103,69,129,194,43,55,99,40,182,220,63,363,423,207,1035,1249,213,462,674,794,266,1063,611,310,922,619,287,910,677,158,835,421,111,532,482,78,560,775,90,870,494,6,500,298,20,326,155,7,159,319,42,364,459,31,494,179,255,430,6942,3885,10828
20201,166,339,503,95,151,247,99,384,482,144,877,1018,468,2280,2749,597,1575,2172,1842,1040,2883,1764,1251,3016,2034,1274,3307,2311,904,3215,1674,734,2411,1730,580,2312,3732,743,4479,2660,139,2799,2078,139,2220,1169,42,1206,2312,204,2514,1479,202,1677,337,473,814,26704,13322,40027
20202,141,200,338,76,99,178,62,217,280,47,425,475,245,1269,1510,261,675,931,946,464,1410,817,552,1367,963,480,1438,1151,307,1461,831,301,1132,859,201,1058,1767,310,2075,1298,25,1322,1055,57,1116,710,6,718,1768,124,1892,939,71,1006,208,228,433,14136,6008,20145
20203,35,58,93,17,26,45,18,75,92,16,144,154,85,368,456,74,133,208,312,111,420,238,156,397,257,114,373,320,57,378,211,49,261,222,39,262,384,31,415,263,4,267,156,6,160,83,0,84,174,15,183,217,11,226,67,71,147,3150,1475,4624
20301,48,54,100,28,16,39,21,38,58,31,78,105,75,185,266,115,150,257,297,79,379,297,122,422,344,127,473,421,117,533,341,72,422,350,64,409,848,93,943,682,10,693,572,21,591,328,0,328,806,31,834,438,22,454,91,50,143,6128,1331,7459
20302,458,750,1206,214,287,493,231,777,1003,260,1662,1921,899,4337,5231,1100,2967,4070,3284,1835,5117,3063,2278,5346,3632,2333,5966,4161,1830,5992,3098,1597,4700,3181,1219,4399,7262,1866,9123,5534,329,5861,4634,407,5039,2851,148,2998,6888,603,7490,2940,465,3404,647,947,1591,54329,26628,80964
20303,283,291,580,144,114,252,95,238,337,85,484,576,418,1405,1819,440,1088,1530,1406,758,2162,1329,737,2063,1725,793,2516,1926,559,2493,1289,550,1843,1380,397,1783,3085,668,3757,2604,96,2702,2228,185,2412,1432,52,1487,3984,325,4311,1581,138,1713,305,280,587,25751,9162,34913
20401,193,274,468,95,112,207,66,244,314,90,560,651,349,1456,1807,344,837,1185,1221,586,1807,1044,643,1692,1227,707,1935,1300,435,1728,952,356,1311,1025,262,1290,2051,327,2377,1354,37,1390,994,72,1065,571,12,578,1277,121,1395,1205,72,1281,321,388,716,15680,7510,23190
