SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
20101,38773,97179,4802,7964,540,1012,5345,8975,1021,1462,88,129,3,5,0,0,12,29,1124,1619,12,22,4,13,0,6,47,103,68,137,73,151,45382,108061,3566,..,48947,108061
20102,11495,27317,210,332,44,76,251,405,102,120,0,0,0,0,0,0,5,17,105,137,48,71,13,22,9,16,39,77,110,186,22,47,11983,28094,2822,..,14802,28094
20103,10123,23032,400,549,16,35,422,582,66,86,0,0,0,0,0,0,0,0,64,82,77,109,51,74,3,12,53,103,184,298,30,48,10828,24047,1813,..,12642,24047
20201,36178,89387,2801,4350,454,849,3252,5201,399,626,17,44,0,0,0,0,15,19,429,688,27,37,22,41,0,3,32,74,84,158,77,178,40027,95612,3028,..,43048,95612
20202,19153,46219,719,1064,50,99,772,1163,24,37,0,0,0,0,0,0,3,8,33,48,47,65,61,150,9,20,55,112,171,339,22,36,20145,47803,2773,..,22924,47803
20203,4439,10499,77,119,0,3,76,126,4,3,0,0,0,0,0,0,0,0,4,3,38,67,9,15,8,7,24,46,81,138,24,35,4624,10803,1011,..,5631,10803
20301,7298,20791,131,224,8,12,133,236,9,4,0,0,0,0,0,0,6,4,7,16,3,0,5,8,0,7,0,6,8,21,7,8,7459,21073,644,..,8098,21073
20302,68363,175257,7905,12488,1665,3355,9570,15845,1817,2823,163,250,302,450,134,229,16,24,2432,3776,66,77,291,394,6,7,126,298,490,785,113,223,80964,195893,5802,..,86762,195893
20303,32417,81440,1286,2209,814,1691,2101,3897,178,275,41,74,7,16,0,0,11,10,239,375,25,41,63,107,4,6,24,41,116,197,47,82,34913,85990,13776,..,48687,85990
20401,21649,51051,1095,1577,45,76,1141,1654,56,93,8,22,10,22,4,3,12,31,81,179,82,135,138,188,8,21,36,66,265,412,53,113,23190,53410,5889,..,29080,53410
20402,17535,41488,1764,2458,58,99,1824,2559,19,19,0,0,0,0,0,0,0,3,21,26,62,89,22,34,0,4,37,90,124,215,29,55,19530,44333,2046,..,21585,44333
20403,26539,65395,1760,2613,103,202,1864,2817,386,567,10,29,5,15,10,17,15,25,421,660,76,113,20,30,6,12,60,119,160,281,77,189,29065,69340,3657,..,32725,69340
20501,19646,50637,847,1291,45,69,894,1358,590,877,0,0,0,0,0,0,6,16,595,895,16,25,282,395,0,0,9,23,310,444,28,59,21479,53392,1926,..,23403,53392
20502,17943,40968,1220,1787,123,238,1340,2021,155,232,9,12,0,0,0,0,0,8,168,247,100,134,168,259,4,10,24,56,297,461,67,137,19815,43837,4523,..,24343,43837
20503,26759,61709,974,1356,316,675,1288,2024,319,459,27,30,12,16,0,6,12,11,367,526,66,79,153,211,4,10,40,91,267,385,53,98,28734,64750,15050,..,43785,64750
20504,26892,65139,1649,2234,150,290,1802,2524,1696,2350,0,0,0,0,0,0,4,12,1703,2353,36,46,64,105,14,24,8,23,124,196,38,67,30560,70285,2949,..,33509,70285
20505,16048,38253,519,818,95,132,617,950,624,822,25,49,0,0,0,6,7,20,661,895,57,78,52,82,5,13,31,60,142,226,32,66,17492,40394,4651,..,22146,40394
20601,17522,47296,4045,8229,5029,11404,9078,19635,3518,5683,1484,2444,4952,7844,1131,1756,22,53,11107,17774,0,0,0,0,0,0,226,528,226,528,42,88,37979,85323,4735,..,42713,85323
20602,11048,30276,2535,5604,2936,6215,5471,11815,3188,4663,739,1128,1214,1964,105,119,12,23,5260,7898,0,0,0,0,0,0,128,269,128,269,14,35,21919,50292,2374,..,24295,50292
20603,11991,34118,2282,5004,3107,7251,5384,12250,3396,5927,2695,4256,3535,5644,1079,2085,11,14,10709,17924,0,0,0,0,0,0,89,183,89,183,25,53,28208,64532,3908,..,32114,64532
20604,1575,4056,2346,5055,5745,13900,8090,18960,1876,3401,4357,7500,9622,16521,44847,78445,9,14,60713,105874,0,0,5,0,0,0,131,261,132,259,237,406,70753,129557,26072,..,96828,129557
20605,4245,11599,5999,13894,5412,13135,11412,27030,6525,10812,11198,17732,6072,9767,8602,14422,43,94,32446,52824,0,0,5,3,0,6,561,912,565,922,80,133,48743,92502,11063,..,59807,92502
20606,5176,13409,2769,5842,2802,6210,5565,12051,3175,5518,6837,10676,5072,7817,4790,7408,3,14,19874,31435,0,0,0,0,0,0,69,126,69,126,45,75,30727,57103,7189,..,37916,57103
20607,5253,13656,8698,19587,6578,15665,15279,35254,3191,5251,4532,7349,6846,11145,5470,9992,31,60,20073,33802,0,0,0,0,0,0,345,727,353,732,48,91,41005,83529,7186,..,48191,83529
20701,34771,103222,7738,16545,4763,12163,12501,28713,5346,9470,4894,8197,4271,7128,636,1003,18,40,15162,25842,0,0,0,0,0,0,218,436,218,436,74,138,62715,158345,8147,..,70862,158345
20702,24086,68010,2551,5298,4431,12124,6988,17421,1335,2654,649,1163,1518,2780,1317,2434,8,30,4828,9063,0,0,0,0,0,0,5,20,5,20,32,83,35944,94593,3675,..,39612,94593
20703,24243,67841,5925,12064,3798,9798,9724,21866,1837,3481,1317,2295,1626,2715,1513,2779,27,68,6319,11335,0,0,0,0,0,0,15,43,18,47,42,78,40344,101171,4901,..,45244,101171
20801,23722,67756,4494,8563,4115,9825,8612,18390,2140,3621,1362,2300,1559,2434,240,386,18,37,5317,8778,0,0,0,0,0,0,252,458,253,459,36,82,37936,95455,3871,..,41805,95455
20802,29101,84246,8858,18918,5836,15635,14694,34553,9834,17532,2984,5226,3610,6264,385,609,38,87,16846,29715,0,0,0,0,0,0,208,414,208,416,66,126,60906,149055,6686,..,67594,149055
20803,26492,74882,7615,14296,5321,12685,12936,26978,6278,10971,810,1297,1150,1805,346,577,12,33,8600,14672,0,4,136,165,0,0,132,221,273,383,36,72,48335,116989,3829,..,52163,116989
20804,7622,22796,1960,4046,1440,3486,3396,7526,2489,4316,1616,2666,852,1358,224,375,0,11,5185,8721,0,0,0,0,4,4,279,429,281,424,20,48,16501,39517,2668,..,19167,39517
20901,36197,97923,4252,7576,3493,8215,7746,15790,1895,3375,476,790,932,1500,299,464,29,56,3636,6188,0,0,0,0,0,0,37,76,40,73,49,90,47666,120069,3941,..,51602,120069
20902,22592,60355,5984,11377,4721,10800,10709,22179,1298,2262,713,1193,1646,2715,344,537,22,61,4023,6774,0,0,4,5,0,0,210,428,219,430,26,38,37564,89769,4073,..,41639,89769
20903,20958,61339,311,546,428,952,736,1495,528,954,40,51,32,44,0,0,13,22,609,1075,0,6,4,8,0,0,3,10,8,22,9,38,22333,63962,1163,..,23498,63962
20904,72461,216999,4647,10485,3845,9359,8496,19839,1188,2536,421,658,518,812,0,0,32,70,2161,4077,7,8,0,3,0,0,14,51,25,62,57,109,83197,241084,4547,..,87741,241084
21001,17224,46945,2259,4306,2911,7280,5169,11587,148,270,14,19,117,171,0,0,10,15,285,484,0,0,0,0,0,0,54,118,54,118,15,24,22754,59160,1639,..,24389,59160
21002,10616,29914,493,853,26,58,525,911,27,56,13,30,0,0,0,0,9,25,49,106,6,11,14,18,4,3,0,0,22,31,15,32,11227,30997,863,..,12095,30997
21003,18529,51372,3452,6674,6134,14865,9587,21539,998,1926,224,403,81,120,0,0,25,61,1322,2504,0,4,0,0,0,0,67,135,65,139,32,75,29537,75634,2831,..,32365,75634
21004,14551,40082,543,911,189,372,733,1281,1024,1632,0,0,0,0,0,0,5,14,1033,1650,0,0,0,0,0,0,3,4,0,6,7,19,16329,43036,828,..,17158,43036
21005,53718,175254,3552,8292,2694,7024,6248,15310,1045,2714,0,4,128,286,0,0,34,68,1210,3072,47,52,63,68,0,6,5,20,122,142,61,156,61344,193941,3798,..,65145,193941
21101,47865,134060,5021,9207,2931,6847,7959,16053,671,1107,385,598,243,388,170,261,56,131,1531,2492,0,0,0,0,0,0,47,92,47,92,37,71,57431,152766,2979,..,60407,152766
21102,8065,23924,325,508,109,311,434,815,84,173,42,70,0,0,0,0,10,26,136,268,5,3,0,0,0,0,0,0,5,3,5,15,8641,25031,496,..,9140,25031
21103,37348,98610,2508,4674,1225,2755,3734,7428,420,790,618,997,575,958,74,117,28,62,1711,2925,0,0,0,0,0,0,20,48,23,44,40,83,42858,109096,2691,..,45549,109096
21104,16795,47292,4001,7745,1504,3993,5508,11737,78,161,116,202,483,784,0,0,20,50,697,1203,0,0,0,0,0,0,8,32,8,32,14,19,23020,60276,1528,..,24548,60276
21105,52046,141500,2067,3263,849,1652,2919,4914,245,380,11,15,0,0,0,0,50,92,313,497,66,82,113,148,0,6,28,68,210,311,71,147,55559,147370,3592,..,59147,147370
21201,36125,105630,2213,3898,821,1855,3028,5750,301,480,20,29,0,6,3,7,17,37,340,558,5,6,120,141,3,3,12,18,140,172,37,89,39673,112190,2120,..,41789,112190
21202,39362,118085,3209,6824,1631,4314,4838,11135,307,605,25,42,0,0,0,0,24,52,358,706,7,16,89,114,0,0,17,33,110,160,28,79,44695,130171,2069,..,46768,130171
21203,62780,204072,3898,9583,1259,3414,5159,13000,596,1084,25,39,0,0,0,0,31,59,653,1186,5,5,0,0,0,3,3,6,12,11,60,148,68665,218419,2566,..,71229,218419
21204,46276,141191,7550,16827,4252,12124,11801,28952,4663,9776,609,1168,570,1064,0,3,42,96,5881,12106,107,135,105,118,0,0,34,75,245,333,69,152,64274,182732,4704,..,68981,182732
21205,44568,126645,4600,10670,5045,14324,9647,24992,5972,13371,968,1727,1807,2970,951,1743,41,66,9745,19878,0,0,0,0,0,0,28,70,30,68,50,88,64036,171677,6598,..,70636,171677
21301,49382,147498,4741,11283,3821,10474,8557,21762,2295,4682,141,221,145,237,91,145,61,125,2726,5413,0,0,29,37,6,6,53,134,87,181,62,132,60809,174975,4098,..,64908,174975
21302,22603,59969,3425,6655,4490,11301,7913,17953,1470,2434,273,433,401,625,150,230,7,20,2305,3745,0,0,0,0,0,3,58,115,62,116,42,78,32922,81872,2868,..,35793,81872
21303,16731,45673,2558,5029,5563,13935,8118,18961,2898,5100,1787,3062,2360,3872,1525,2469,38,93,8613,14593,0,3,8,15,0,0,184,399,197,410,42,70,33695,79712,4955,..,38656,79712
21304,56202,174957,3505,6876,1452,3792,4956,10668,218,393,74,125,156,278,0,0,33,79,482,876,56,77,76,95,5,12,18,57,158,242,59,164,61861,186914,3248,..,65111,186914
21305,80583,255532,5934,14828,2813,7077,8741,21906,1560,2947,23,41,479,765,0,0,30,60,2089,3808,32,55,44,53,0,0,17,42,98,155,50,128,91560,281529,6378,..,97938,281529
21401,42288,112332,6872,11283,2219,4552,9090,15832,914,1335,180,282,116,177,24,31,50,95,1284,1918,26,36,253,310,0,0,32,97,307,441,50,83,53019,130605,3280,..,56304,130605
21402,55205,138457,5290,8454,1766,3662,7055,12115,1661,2654,129,205,40,67,0,3,51,89,1886,3019,41,49,372,524,6,13,33,58,450,639,52,99,64650,154331,24525,..,89181,154331
21501,22599,51768,933,1269,20,50,956,1318,579,800,6,7,0,0,0,0,0,9,587,816,64,103,22,35,9,10,56,119,145,265,43,79,24334,54247,4044,..,28377,54247
21502,18178,46724,1586,2577,72,136,1662,2714,1085,1656,19,23,0,0,0,0,4,4,1106,1683,101,152,145,291,8,19,22,41,281,510,57,108,21283,51737,2125,..,23408,51737
21503,13215,32029,656,1043,21,47,676,1088,444,704,7,10,0,0,0,3,4,3,454,715,115,197,59,115,3,10,42,83,225,407,70,146,14635,34386,2174,..,16811,34386
21601,13638,33343,1205,1759,21,31,1224,1793,38,60,0,0,0,0,0,0,4,3,37,69,37,62,135,212,3,4,16,45,200,322,31,57,15130,35579,1729,..,16859,35579
21602,10801,25838,856,1246,36,67,890,1316,20,39,0,0,0,0,0,0,3,6,30,48,75,116,90,139,0,5,13,29,176,291,17,48,11917,27530,2115,..,14030,27530
21603,21839,57383,2143,3531,102,199,2241,3730,48,62,13,16,4,3,0,0,4,7,66,89,209,274,83,122,6,23,230,334,528,756,44,103,24727,62059,2093,..,26816,62059
21701,14000,31957,689,994,46,69,739,1062,173,229,6,7,0,0,0,0,10,13,185,255,50,67,27,52,5,4,29,61,111,187,25,54,15056,33508,2398,..,17459,33508
21703,14116,33413,819,1120,61,106,878,1229,40,72,0,4,0,0,0,0,5,11,51,86,27,46,29,45,17,31,31,76,106,191,35,73,15185,34987,3888,..,19072,34987
21704,17872,44563,1390,2147,372,689,1762,2835,571,813,54,73,0,0,0,0,0,4,626,891,11,19,82,121,3,9,35,77,132,223,33,61,20425,48576,2848,..,23274,48576
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
