SA3_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
20101,280,579,371,270,312,72,34,1930,63,62,20,26,27,7,3,220,14,22,13,5,0,0,0,58,477,954,717,547,712,190,95,3690,22,31,26,19,42,5,6,157,35,56,40,16,18,5,0,167,59,85,66,37,59,8,4,318,538,1036,785,587,774,193,102,4014,585,567,332,230,217,60,15,2014,6,15,20,14,3,0,0,56,1125,1622,1132,829,995,255,122,6082
20102,48,93,66,55,44,12,3,318,18,8,10,3,7,0,0,46,0,0,0,0,0,0,0,3,71,154,125,107,116,28,10,611,0,5,0,6,7,3,0,21,0,3,7,0,4,0,0,11,0,11,3,3,11,3,0,32,75,165,131,112,128,29,10,644,64,81,40,27,24,5,5,250,0,0,5,4,4,0,0,9,146,244,174,144,156,28,18,911
20103,53,99,68,41,43,12,4,307,0,7,15,4,3,0,0,29,4,16,6,0,0,0,0,23,73,168,127,83,76,20,7,562,0,7,6,8,8,0,0,37,11,14,3,9,3,0,0,33,6,26,10,13,11,0,0,70,86,191,143,94,88,23,7,629,131,125,82,68,46,11,5,470,5,3,4,3,0,0,0,22,224,324,229,167,130,30,8,1114
20201,276,519,355,238,278,63,18,1750,63,58,30,11,22,5,3,196,12,26,13,5,4,3,0,71,466,900,700,510,609,178,67,3427,17,39,16,15,8,4,0,99,18,41,28,21,20,0,0,123,33,75,40,32,29,6,0,224,501,977,739,545,634,186,69,3650,542,567,289,225,206,39,24,1886,16,24,14,6,6,3,0,69,1062,1564,1044,775,846,231,90,5608
20202,57,172,119,86,95,32,11,569,16,18,20,6,10,0,3,67,3,3,4,0,0,0,0,7,92,296,238,171,221,79,22,1120,0,6,4,6,7,3,0,23,4,9,5,4,7,0,0,33,8,12,9,14,20,3,3,60,95,305,246,183,241,78,25,1181,126,137,81,57,59,18,5,484,6,0,0,0,7,0,0,7,228,449,331,243,302,96,35,1679
20203,8,17,22,13,13,0,0,71,4,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,18,28,40,30,35,4,3,166,0,5,5,0,0,0,0,9,5,3,0,0,0,0,0,11,5,6,5,0,0,0,0,15,17,39,46,30,38,4,3,182,46,57,27,20,14,6,0,163,0,0,0,0,0,0,0,0,66,94,74,43,51,14,6,344
20301,42,65,53,36,36,16,4,249,7,5,4,7,6,4,0,29,0,0,5,0,0,0,0,8,63,108,91,64,91,40,8,464,0,0,0,0,0,0,0,5,6,5,4,0,0,0,0,14,6,4,4,0,9,0,0,16,67,117,96,61,102,40,8,480,40,36,25,27,23,9,0,161,0,0,0,0,0,0,0,5,112,157,122,89,122,39,8,649
20302,367,801,538,383,491,149,80,2800,84,82,54,44,41,25,5,324,27,36,16,8,18,3,5,107,689,1459,1031,810,1167,432,203,5800,18,36,33,26,39,10,4,160,52,94,50,25,18,12,0,250,68,126,83,50,57,16,8,410,750,1589,1116,863,1223,449,209,6201,708,773,452,345,359,148,68,2862,33,30,11,3,6,0,0,84,1497,2393,1580,1217,1590,597,278,9151
20303,114,334,224,167,202,69,26,1133,19,26,23,13,19,0,3,102,0,11,11,6,8,0,0,38,201,538,466,343,454,153,76,2235,3,12,7,6,8,6,0,46,10,24,13,4,5,0,6,61,14,33,20,15,15,11,6,104,213,577,488,353,469,163,82,2340,162,207,138,90,84,25,12,722,7,6,0,7,0,0,0,25,385,786,629,450,556,186,92,3084
20401,104,192,152,89,117,33,10,699,16,26,15,6,11,3,0,77,4,7,5,8,9,4,4,42,176,360,294,198,283,68,31,1405,5,10,9,4,6,0,0,26,9,16,8,8,11,0,0,52,14,30,15,12,15,3,0,87,191,387,310,206,302,71,31,1488,205,183,116,75,78,23,7,693,8,9,0,0,0,0,0,16,402,582,423,281,378,97,36,2197
20402,101,177,150,90,100,25,6,652,15,14,11,12,8,3,0,60,7,13,10,3,0,0,0,37,170,328,281,202,253,62,13,1308,4,12,11,5,3,0,0,32,10,14,9,8,10,0,0,54,12,23,20,17,10,0,0,84,181,347,304,218,260,62,14,1393,176,182,119,64,76,10,3,626,0,3,0,3,0,0,0,9,361,531,422,286,334,69,23,2026
20403,161,313,217,149,186,33,13,1075,23,34,15,10,12,6,0,100,4,13,10,6,11,0,0,57,261,600,441,323,410,98,33,2159,8,21,9,11,9,4,0,60,18,22,12,7,5,4,0,67,23,40,27,13,13,11,0,126,291,640,466,336,419,110,33,2289,303,324,188,130,142,29,8,1116,0,3,3,4,6,0,0,25,589,969,652,470,567,138,45,3427
20501,122,221,160,134,144,37,12,829,24,31,18,14,15,0,0,102,10,21,9,4,3,4,0,51,202,408,301,272,327,89,27,1621,0,9,11,7,6,5,0,46,15,24,3,8,4,0,3,69,21,33,17,17,19,6,4,111,218,442,316,287,344,92,25,1733,240,204,132,95,80,29,18,783,3,9,7,4,3,3,0,34,461,654,452,388,430,122,46,2551
20502,89,190,109,86,89,11,4,582,23,12,11,17,15,4,0,86,0,3,4,7,4,0,0,23,156,297,222,183,213,36,7,1107,4,13,13,4,9,0,0,46,10,11,9,9,8,0,0,50,15,32,18,13,15,0,0,91,172,321,237,195,227,37,7,1196,186,217,109,82,70,10,0,671,6,12,9,3,9,0,0,39,359,551,357,286,300,44,11,1911
20503,114,272,197,142,161,28,5,925,19,21,13,12,16,0,0,80,5,5,5,4,12,0,0,40,176,427,331,269,327,76,28,1630,0,11,15,12,8,6,0,54,16,24,9,13,4,3,0,66,16,30,28,27,16,6,0,116,189,458,357,299,335,82,28,1748,230,250,133,92,96,27,10,828,0,6,13,7,0,0,0,32,415,716,504,395,432,104,34,2608
20504,187,335,227,131,167,43,15,1119,30,31,24,13,13,4,0,114,6,22,10,0,7,0,0,47,311,577,465,272,374,103,33,2142,19,37,33,20,21,3,5,142,37,48,26,11,16,4,0,140,48,89,57,31,36,6,6,276,364,667,525,304,409,110,38,2421,544,497,243,183,165,38,11,1680,15,26,20,7,3,0,0,74,919,1187,791,492,579,148,50,4171
20505,87,165,93,81,98,18,6,546,13,18,14,10,7,0,0,66,0,9,8,5,8,0,0,25,137,271,201,183,194,42,15,1037,4,8,14,9,13,4,0,46,12,26,8,6,9,6,0,63,16,36,21,16,22,3,0,111,155,310,221,192,214,50,15,1151,173,183,101,69,65,20,12,619,3,4,5,5,0,0,0,13,333,490,326,271,276,65,22,1786
20601,58,144,125,65,90,54,27,563,14,3,5,3,3,4,5,50,0,0,0,4,0,0,0,6,142,324,273,164,276,190,98,1458,6,12,7,7,15,0,4,45,0,10,5,3,7,0,0,35,6,20,11,13,15,4,4,83,145,349,285,175,292,193,98,1535,91,120,60,46,69,47,42,476,0,0,0,0,0,0,0,7,239,471,349,220,364,238,141,2022
20602,44,115,74,50,86,48,17,430,8,11,9,3,7,4,0,42,0,4,3,0,3,0,0,5,85,204,201,145,228,117,57,1035,0,0,4,5,7,4,4,22,5,3,4,9,8,3,0,29,3,6,9,7,10,7,3,44,93,215,209,155,242,121,58,1079,48,60,36,29,33,23,22,251,0,0,3,0,0,0,0,3,134,270,245,184,275,145,82,1331
20603,42,104,93,83,85,68,33,508,8,7,6,8,4,8,0,32,4,3,0,0,4,0,3,17,105,259,218,182,247,172,92,1271,6,11,11,10,8,8,3,60,14,4,7,9,8,4,0,45,23,15,17,16,18,11,8,97,129,271,236,191,267,182,96,1370,141,134,84,52,71,31,39,558,3,6,3,0,0,0,0,22,274,411,324,251,345,215,138,1952
20604,87,122,71,79,100,65,50,571,17,17,4,13,7,9,6,70,7,5,0,4,8,0,6,29,195,326,220,191,277,199,115,1520,11,10,3,10,0,11,3,47,17,24,11,3,15,14,7,91,28,35,13,11,15,23,11,135,223,360,232,198,286,221,122,1658,181,197,103,89,144,140,108,969,12,13,4,4,3,4,0,39,414,565,349,299,432,371,236,2663
20605,85,150,96,72,99,74,38,618,17,12,13,10,6,11,8,76,12,12,5,8,3,3,0,42,203,379,284,250,310,207,107,1741,12,13,8,5,4,5,6,52,9,25,8,4,12,4,4,60,19,37,16,10,20,14,3,111,221,411,304,265,322,221,112,1857,99,137,103,65,85,71,35,600,5,3,0,0,4,0,0,10,321,554,411,325,406,291,148,2462
20606,33,72,42,38,55,40,37,323,11,5,4,4,6,5,0,43,3,4,4,5,0,3,0,19,97,176,128,103,149,114,82,859,5,3,0,0,3,5,0,20,4,4,4,0,3,0,0,18,6,4,5,4,13,3,3,44,106,180,132,107,163,120,85,903,58,71,59,51,73,63,41,426,0,4,0,0,3,0,0,8,163,255,193,164,241,188,133,1336
20607,63,121,93,62,71,60,23,492,9,13,11,7,8,7,6,54,3,3,9,5,3,4,0,26,132,291,222,154,183,163,76,1231,9,10,15,10,14,7,0,61,12,17,9,3,5,9,6,65,21,32,26,14,20,14,5,129,153,318,256,174,206,173,84,1359,192,206,129,85,120,66,44,842,11,6,7,0,6,0,3,37,369,533,385,260,324,237,128,2239
20701,117,246,221,191,270,223,105,1374,19,15,11,19,17,15,5,102,0,10,6,8,10,3,3,41,255,598,593,483,731,577,321,3560,3,19,20,9,17,12,5,85,9,20,23,14,21,9,3,99,13,37,42,27,43,19,8,185,266,636,630,505,770,597,334,3741,119,233,227,198,313,231,151,1467,5,7,7,7,7,7,3,43,393,878,867,709,1086,835,481,5249
20702,82,211,147,134,202,122,74,979,10,13,14,8,17,11,11,87,0,6,12,5,5,3,0,23,161,451,340,298,450,301,190,2182,3,8,4,4,8,12,5,49,10,30,19,9,8,6,5,90,10,44,23,15,16,19,8,140,175,491,359,313,466,317,196,2321,87,201,142,106,168,107,95,907,6,10,0,0,5,6,0,26,267,704,505,415,636,437,292,3258
20703,77,186,165,140,197,121,98,977,11,17,12,10,14,12,7,84,0,3,3,0,0,0,0,12,166,397,348,297,466,342,234,2248,7,10,3,11,8,5,7,51,21,18,12,14,8,8,11,83,26,33,11,23,16,12,16,133,189,430,359,317,484,352,246,2383,131,168,133,142,185,136,91,985,3,5,3,0,0,0,0,14,324,603,491,460,673,489,337,3381
20801,62,142,147,119,187,113,82,838,12,17,15,11,18,9,5,89,5,8,5,4,9,3,3,33,142,357,377,302,499,359,203,2230,0,12,14,10,7,7,8,70,3,13,8,7,12,8,0,50,4,28,19,15,21,11,8,118,144,378,402,316,521,380,208,2349,76,130,111,89,117,93,53,676,7,0,0,4,0,0,0,16,227,515,516,412,633,470,265,3035
20802,141,281,238,209,246,150,96,1367,21,23,22,12,22,9,9,118,0,10,0,7,7,4,9,29,295,643,604,495,678,484,270,3474,5,11,11,14,10,6,4,66,5,23,12,7,11,8,10,79,11,33,21,19,27,14,10,139,309,682,623,519,705,497,286,3614,130,178,149,120,166,117,63,928,0,3,8,14,10,3,0,30,435,864,775,655,874,614,351,4571
20803,141,330,235,180,239,147,58,1332,32,28,22,14,16,13,6,123,9,14,3,5,9,6,0,45,284,690,567,412,616,394,206,3176,5,7,7,10,14,10,0,62,14,29,11,9,12,4,0,79,25,33,19,17,27,14,3,142,306,722,586,431,642,410,209,3313,143,232,114,102,126,63,35,823,4,10,10,4,0,0,0,25,459,959,709,539,775,473,252,4159
20804,29,67,49,44,60,49,26,326,4,5,7,0,0,8,0,23,0,4,0,3,0,0,0,9,73,134,128,101,169,127,65,802,0,7,9,4,0,0,4,27,0,7,3,6,5,0,0,22,0,14,8,7,6,4,5,47,75,154,136,109,178,130,72,849,22,43,42,25,44,35,33,243,0,0,4,0,0,0,0,6,95,190,180,139,220,162,98,1097
20901,109,277,226,188,242,131,75,1248,23,25,21,14,24,6,6,124,8,0,5,6,15,0,4,35,271,568,495,436,620,321,208,2916,3,15,13,8,15,3,3,61,10,30,15,14,17,3,6,91,18,45,27,19,28,9,13,152,282,610,519,459,647,332,221,3064,202,235,178,132,142,92,44,1023,6,8,3,4,5,0,4,24,494,857,697,591,790,416,267,4109
20902,108,187,131,106,151,78,34,785,21,11,8,6,8,7,5,66,9,7,3,3,0,0,0,23,202,404,279,236,344,177,109,1753,14,12,12,5,9,11,8,60,7,26,12,10,13,7,3,80,22,36,21,19,20,17,11,139,219,448,304,255,362,191,119,1889,250,277,168,123,125,73,54,1067,10,10,5,5,0,0,0,29,479,736,478,383,483,257,169,2986
20903,49,117,103,98,120,48,28,571,9,15,8,8,11,5,7,54,0,0,3,0,4,0,0,12,102,255,251,217,330,160,103,1418,3,4,4,0,10,0,5,23,5,10,4,5,4,0,4,28,4,15,10,7,9,3,4,54,105,267,259,226,340,162,110,1470,88,93,70,40,68,30,18,409,5,5,0,4,3,4,0,15,196,365,331,271,411,199,127,1900
20904,353,704,523,400,518,221,112,2837,72,68,45,36,49,13,9,296,22,27,16,9,14,5,5,102,686,1399,1096,814,1196,555,322,6069,32,60,51,36,34,25,12,257,55,119,46,26,43,21,3,304,82,178,89,62,80,42,13,554,771,1577,1194,882,1280,596,334,6629,899,1077,629,438,513,238,120,3906,32,38,20,16,9,6,3,112,1697,2690,1832,1333,1796,839,456,10645
21001,56,111,97,91,112,74,35,576,15,14,7,8,12,9,6,70,0,0,3,0,0,0,0,16,134,267,250,217,298,209,105,1472,0,5,0,4,3,4,3,22,3,13,0,6,0,0,0,26,10,15,9,4,9,8,3,50,143,282,251,227,310,210,107,1526,99,110,66,37,50,38,18,421,6,4,3,6,3,0,0,23,243,394,319,266,357,249,127,1968
21002,44,103,71,61,81,22,8,394,6,17,0,7,5,3,0,35,0,4,0,0,5,0,0,12,74,190,142,130,182,67,23,810,3,4,0,0,0,0,4,13,5,6,4,6,5,3,0,23,3,13,8,6,5,3,0,35,82,206,152,132,189,71,25,842,75,68,34,21,25,11,11,234,6,5,0,3,0,0,0,11,155,274,189,155,210,84,31,1094
21003,87,145,127,88,116,59,28,649,23,21,10,8,16,13,6,88,3,10,0,9,4,0,0,28,169,328,273,192,315,183,98,1557,3,7,9,11,9,6,6,52,16,49,18,15,4,10,0,115,22,50,29,28,19,17,6,166,190,384,299,218,324,194,104,1718,199,238,121,108,138,70,39,907,7,12,4,0,0,0,0,26,397,622,427,328,465,264,140,2650
21004,84,158,110,76,93,31,15,568,13,15,11,13,7,4,0,68,6,3,6,0,0,0,0,30,165,331,242,176,264,107,60,1341,10,7,6,3,6,4,0,35,15,18,4,5,0,0,0,45,23,29,10,5,9,4,0,78,188,359,253,180,269,106,58,1419,119,158,89,50,75,18,10,507,4,5,0,0,0,0,0,5,308,518,346,233,343,121,72,1938
