SA3_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
20101,6,23,0,2077,136,28,11,154,16,72,11,24,11,34,372,867,4,0,0,15,3,0,0,4,0,13,37,74,2624,624,109,4340,607,1738,177,599,138,781,432,12176
20102,0,3,0,482,41,8,4,48,9,35,5,9,8,14,95,280,3,0,5,7,0,4,0,3,0,0,9,33,628,203,43,1048,169,460,71,161,59,214,115,3165
20103,0,3,0,172,34,10,3,33,0,19,3,12,3,24,98,238,0,0,0,0,0,0,0,0,4,5,13,25,414,124,27,710,104,327,42,142,48,257,120,2311
20201,9,18,5,1519,96,23,11,119,12,53,8,28,12,47,323,726,7,0,5,8,0,0,3,4,0,13,32,76,2243,571,113,3729,519,1523,183,521,145,737,378,10670
20202,7,8,3,1055,85,31,7,94,16,30,7,17,12,26,169,484,8,0,9,8,0,3,0,0,5,4,14,50,1126,446,74,1940,290,698,138,284,98,317,203,5604
20203,0,0,3,98,23,3,9,21,0,10,3,4,4,13,47,129,0,0,0,5,4,0,0,0,4,5,7,15,227,53,32,410,66,152,20,46,23,122,51,1201
20301,0,7,3,541,44,13,6,51,6,24,3,9,3,10,101,274,3,0,7,4,0,4,0,0,0,8,10,38,654,160,38,1184,209,435,72,122,28,148,128,3177
20302,20,52,8,4622,225,37,18,240,37,131,23,45,24,119,569,1479,14,0,14,14,4,11,0,0,13,22,56,156,4695,1150,231,8231,1220,3467,386,1154,263,1731,674,23203
20303,14,25,0,2466,137,44,9,156,26,57,15,28,18,59,296,831,11,4,6,13,4,5,3,0,0,5,22,85,2190,690,142,4040,596,1330,222,424,135,529,342,10622
20401,5,13,0,656,90,27,9,91,15,46,9,28,9,36,218,585,8,0,9,7,4,9,3,0,5,7,18,69,1232,272,80,1810,285,806,122,272,100,394,256,5638
20402,0,3,0,542,95,15,10,74,9,23,9,12,13,27,162,453,8,0,6,10,0,0,0,0,0,5,17,48,1143,262,59,1549,222,523,95,207,57,308,198,4620
20403,8,7,0,1026,105,23,10,117,11,33,7,24,4,25,308,683,8,0,7,5,0,0,0,0,5,5,26,61,1995,390,107,2712,424,959,132,351,93,424,344,7931
