SA3_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
20101,500,3464,2464,38970,467,45865,17,82,54,1889,26,2060,1342,50,96,430,10,1932,262,66,27,196,5,560,1020,515,321,1422,17,3287,4379,3188,2328,38334,473,48708,695,26,139,32,14,900,153,39,21,312,0,531,693,320,250,3800,29,5104,221,66,27,296,0,617,127,41,16,88,0,267,1821,70,34,60,4,1985,1081,847,583,14938,101,17546,541,331,127,2109,25,3131,82,3,17,8,0,109,29,21,3,54,0,113,43,10,0,44,0,102,185,115,48,370,7,713,100,57,30,52,0,241,238,160,96,104,7,603,255,91,54,280,5,690,138,20,25,69,0,243,45,7,14,0,0,65,1227,980,640,11683,90,14618,109,30,15,43,0,190,152,47,24,27,4,258,135,20,17,101,0,276,142,33,22,27,0,224,175,6,12,6,0,208,164,75,51,421,4,717,4355,691,563,1558,48,7217,186,37,31,892,5023,6175,16843,6525,4581,82145,6114,116201
20102,170,1070,708,9404,157,11503,4,15,6,324,5,360,130,15,13,91,10,255,119,16,10,35,4,184,344,129,87,266,3,827,2003,957,746,8893,147,12755,84,0,22,9,6,114,67,14,19,68,0,168,370,129,68,863,19,1447,88,26,11,67,3,196,67,9,7,17,3,103,88,25,7,12,0,133,492,269,180,3998,69,5007,306,139,61,621,12,1139,6,0,0,0,0,6,11,10,0,18,0,46,46,14,0,17,3,85,265,71,38,172,6,560,38,15,5,12,0,64,83,40,39,11,6,177,153,37,25,73,4,293,50,11,16,19,0,97,9,3,0,0,0,8,539,284,179,3140,28,4176,80,18,12,20,0,137,46,14,0,3,0,63,32,4,6,27,0,71,14,6,0,0,0,30,41,6,0,3,0,46,79,26,18,112,0,235,907,212,148,409,24,1690,62,15,9,232,1990,2304,5289,2048,1375,19883,2373,30975
20103,106,657,566,9630,215,11173,0,15,9,432,10,467,75,3,12,92,0,188,29,7,0,24,0,67,255,59,36,191,8,553,1425,657,553,8784,231,11639,120,4,35,0,5,163,19,4,0,47,3,84,232,64,57,655,9,1021,62,16,5,37,0,119,54,7,8,23,0,91,45,11,0,5,0,58,238,139,89,2644,29,3150,123,44,31,385,8,600,0,0,0,0,0,0,12,0,0,3,0,14,14,7,0,5,0,28,100,35,10,60,5,202,36,4,0,12,0,57,58,26,20,5,3,108,66,13,0,30,0,113,15,3,0,6,0,33,3,0,0,0,0,5,318,197,123,2528,35,3189,18,0,0,11,0,31,15,5,0,0,0,21,29,7,5,16,3,54,12,10,0,0,0,22,17,3,0,3,0,23,49,11,19,77,0,148,449,106,81,201,7,851,32,6,7,203,2114,2362,3234,1235,979,18729,2584,26759
20201,416,2665,1770,36345,433,41629,3,80,30,2186,46,2336,858,59,68,554,13,1553,89,32,17,95,0,231,441,257,155,694,8,1551,2987,2582,1780,36147,476,43971,680,20,127,30,3,859,83,39,25,257,0,410,446,264,156,3601,31,4498,141,60,16,195,6,425,62,29,19,65,0,178,1241,59,26,44,0,1369,656,625,354,12393,116,14145,426,303,114,2367,12,3225,79,8,6,4,0,93,28,14,5,32,0,75,20,6,3,18,0,54,83,68,21,161,3,338,107,36,30,57,0,234,141,112,82,99,0,434,126,51,23,174,4,369,79,12,11,54,0,157,21,23,0,5,0,56,825,651,466,10104,75,12118,48,14,9,32,0,104,142,36,17,24,3,230,102,15,17,103,6,244,152,26,8,13,0,199,144,9,26,4,0,179,116,77,35,367,6,598,4600,515,362,1278,66,6817,214,38,32,961,4913,6160,13068,5058,3305,75634,5969,103034
20202,228,1979,1305,16488,223,20232,3,28,22,515,7,565,205,22,29,122,14,385,116,21,13,49,0,193,443,175,87,273,10,991,3389,1904,1292,15992,229,22803,150,3,36,0,0,189,136,25,25,106,6,298,559,236,156,1569,22,2538,151,43,25,97,3,316,106,47,11,40,4,204,166,30,6,22,0,222,753,564,358,6590,73,8338,468,190,92,938,19,1702,10,0,0,0,0,10,12,10,0,22,0,48,29,9,0,14,0,54,211,57,38,125,5,431,42,16,21,18,0,92,148,71,68,26,0,319,210,52,26,102,0,388,48,14,0,33,0,95,6,9,0,4,0,28,892,557,392,5301,56,7199,43,8,5,11,0,68,85,19,10,3,0,121,43,12,6,37,0,105,37,13,7,11,4,71,31,0,6,6,0,47,166,49,23,221,0,466,1387,406,255,714,25,2783,55,24,15,336,3693,4125,7954,3706,2456,34162,4229,52500
20203,26,234,198,4483,75,5018,0,9,6,238,3,260,19,0,7,42,0,66,10,0,0,3,0,16,90,27,16,54,0,186,465,230,187,4077,73,5034,118,0,10,0,4,127,11,0,4,20,0,37,90,20,17,340,0,466,25,3,4,17,0,48,18,9,0,3,0,26,31,0,0,5,0,35,93,43,39,1271,20,1468,57,27,0,159,5,250,0,0,0,0,0,0,12,0,0,3,0,16,7,0,0,4,0,11,35,8,0,27,0,64,15,0,0,0,0,23,15,3,7,3,4,36,16,4,4,21,0,49,3,0,5,0,0,10,0,0,0,0,0,0,135,80,64,1224,10,1522,3,0,0,0,0,3,3,4,0,0,0,13,10,0,0,15,0,26,0,0,0,0,0,0,5,4,0,0,0,11,18,5,7,27,0,56,191,32,22,101,5,350,13,7,3,128,1158,1311,1236,448,355,8861,1328,12224
20301,88,831,645,8256,96,9915,0,14,4,233,3,255,34,7,7,31,0,74,104,26,17,84,0,229,233,109,85,257,4,689,1245,775,591,6600,98,9306,32,0,16,5,9,61,31,8,9,64,0,107,211,90,56,688,7,1054,47,21,11,49,0,133,38,18,0,17,0,78,42,7,0,7,0,58,269,159,128,2179,18,2763,190,96,27,454,3,758,3,0,0,0,0,3,5,0,0,4,0,10,15,5,3,7,0,35,92,26,20,105,0,245,23,3,8,8,0,43,63,43,19,13,0,141,80,34,15,60,0,195,31,8,0,18,0,60,5,3,0,0,0,8,313,172,162,2121,20,2787,31,6,4,4,0,52,29,10,4,10,0,50,27,3,7,43,0,80,6,3,0,3,0,15,17,3,6,0,0,19,40,11,14,73,0,142,446,149,114,301,10,1023,25,13,7,199,1079,1325,3028,1520,1145,15488,1294,22483
20302,1557,7370,5401,58797,806,73931,38,133,92,2517,42,2819,3120,120,187,460,16,3899,2572,394,211,961,40,4185,2224,831,512,2196,34,5799,10777,6566,4740,55385,748,78220,2041,63,322,90,24,2541,326,94,69,427,6,911,2053,820,505,5940,75,9389,877,253,112,675,10,1923,518,118,71,281,0,994,4191,104,70,92,18,4471,2678,1715,1152,20506,162,26213,3436,1062,428,4780,63,9767,201,5,17,9,0,235,205,70,35,105,8,422,1120,183,84,368,11,1763,554,182,112,667,13,1525,357,119,60,62,7,605,521,312,233,152,14,1236,1206,258,176,730,7,2375,417,72,60,141,8,697,110,39,12,9,0,174,3056,1862,1373,17193,137,23618,1016,131,68,172,16,1398,396,107,63,80,3,647,594,105,102,224,10,1028,404,52,33,47,6,545,791,37,65,17,0,908,430,195,127,658,8,1418,14685,1663,1260,2864,166,20636,691,82,76,1147,10172,12176,53003,14409,10156,122235,12168,211986
20303,479,3765,2741,28230,391,35605,9,39,31,661,7,750,419,64,81,253,0,820,278,65,29,174,3,557,960,355,233,714,14,2278,6206,3412,2538,28242,373,40786,252,27,69,34,3,387,228,68,39,256,3,605,989,318,260,2629,34,4233,494,105,49,295,8,954,158,39,26,83,0,307,434,45,20,32,6,537,1465,891,605,11459,102,14524,1244,432,200,1866,33,3775,23,0,9,4,0,39,38,17,0,80,0,138,95,25,11,55,0,182,623,115,70,324,3,1133,119,58,44,31,0,260,270,169,134,74,0,645,404,115,53,280,8,869,97,31,22,64,0,205,24,21,4,3,0,51,1644,945,683,9230,92,12595,89,14,6,43,0,150,275,61,51,28,0,414,142,35,10,90,0,275,69,25,18,28,0,148,86,5,15,3,0,115,256,78,68,355,6,755,2780,770,653,1349,39,5589,141,44,43,579,3976,4776,16464,6926,5007,60171,4849,93417
20401,323,2056,1481,19740,317,23916,5,43,20,991,20,1073,414,11,27,104,4,564,96,33,7,63,3,212,525,199,118,338,13,1189,3145,1865,1384,18080,333,24804,258,0,55,13,3,334,96,18,22,142,0,281,658,225,153,1581,42,2655,177,63,11,158,4,412,84,27,13,36,4,161,256,13,17,10,5,296,736,477,330,6570,85,8208,644,224,103,1069,6,2045,18,0,9,0,0,24,24,23,0,37,0,80,45,23,9,38,0,107,218,74,57,228,4,580,71,19,17,21,5,127,169,76,54,51,0,353,202,44,30,132,4,405,66,12,14,23,0,119,22,7,5,3,0,31,832,508,359,5400,72,7173,50,7,3,16,0,76,72,24,7,16,0,120,73,14,13,48,0,149,39,10,7,3,0,60,64,5,7,5,0,78,115,34,25,167,4,345,1615,342,283,721,39,3004,110,45,16,539,4271,4984,8998,3756,2670,39546,5033,60002
