SA3_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
20101,2427,440,2878,19281,6304,720,26305,62684,5308,94299
20102,542,136,689,4509,1667,163,6339,17553,2038,25926
20103,647,105,750,3342,1393,155,4890,15471,2266,22630
20201,2379,410,2812,16745,5883,617,23239,55486,4912,83646
20202,1035,295,1340,8300,2897,286,11486,28527,3783,43799
20203,279,82,371,1605,678,67,2347,6708,1202,10254
20301,245,56,307,4353,1120,135,5609,10898,1062,17578
20302,4670,631,5340,34508,11353,1070,46933,117478,10482,174895
20303,1917,375,2302,16162,5823,520,22512,49519,4187,76217
20401,1419,186,1622,8237,2985,328,11548,34562,4279,50389
20402,1395,230,1632,6663,2826,248,9737,27827,2940,40503
20403,1515,221,1745,12182,4078,493,16750,41447,4187,62386
20501,1173,173,1359,9264,3389,392,13050,30827,2916,46790
20502,1232,277,1518,5857,2522,271,8649,29301,3569,41521
20503,1730,329,2074,9766,4102,406,14279,41384,4549,60212
20504,1637,301,1948,11064,4439,473,15981,42455,5073,63505
20505,890,139,1036,6273,2493,293,9060,24995,3736,37785
20601,1722,123,1854,12927,2748,294,15966,59255,3035,78253
20602,1001,166,1182,8895,1773,188,10867,32577,1807,45248
20603,1332,122,1461,10686,2749,182,13624,41891,2822,58337
20604,1016,156,1188,11470,3202,193,14861,113393,11244,139506
20605,1152,296,1468,12962,3554,287,16806,66987,6544,90328
20606,1203,210,1438,6295,2307,112,8718,44748,3541,57008
20607,1180,97,1288,10297,2995,226,13519,63330,4529,81376
20701,4497,419,4961,28851,7963,479,37291,98696,4976,140967
20702,3481,295,3807,16749,4851,244,21844,57830,3003,82669
20703,3137,348,3502,17679,4096,281,22056,64706,4250,91012
20801,3009,382,3422,18492,5238,378,24109,56202,3318,83632
20802,3763,390,4193,28393,6383,521,35303,88622,5299,129212
20803,3101,281,3404,22749,5593,511,28858,68115,3985,100957
20804,1157,141,1307,7021,1840,127,8987,25308,1388,35686
20901,3110,255,3400,22878,6248,474,29603,70342,3862,103806
20902,2337,412,2765,14734,3089,259,18080,58152,4729,80966
20903,812,78,906,12505,4317,353,17178,35526,1968,54668
20904,2912,501,3439,48025,10200,962,59180,128080,10459,197728
21001,1948,140,2104,10644,3057,170,13876,35213,1982,51071
21002,336,83,418,6326,1770,198,8292,16388,1410,26094
21003,2429,362,2805,13538,2396,249,16184,45428,4191,65794
21004,632,49,689,8361,2465,238,11062,23628,1697,36390
21005,1578,196,1797,35682,6799,614,43099,103465,10307,156874
21101,3104,418,3539,27640,8375,651,36669,90399,4966,132024
21102,680,60,749,4507,1637,116,6260,15003,703,21966
21103,2369,478,2874,21112,6109,556,27784,62141,3736,93662
21104,1651,312,1983,11699,2842,214,14756,35138,2108,52005
21105,2452,202,2672,28038,9336,1065,38443,82555,5352,126350
21201,1247,231,1493,23491,5620,764,29871,56465,5213,91543
21202,2154,257,2428,23658,6046,590,30293,74039,6126,110454
21203,1600,160,1779,47361,8891,1169,57417,105268,9050,171741
21204,3971,375,4396,28447,6947,475,35863,114691,10198,160760
21205,5247,700,5990,29965,7290,377,37635,109055,7749,154433
21301,2926,411,3377,26646,7578,505,34729,107716,11281,153723
21302,1874,166,2064,15969,3460,306,19733,47244,3429,70407
21303,1133,209,1348,13766,2432,262,16459,51045,4438,71946
21304,1391,167,1565,39615,7875,875,48365,91624,10823,150806
21305,1629,248,1904,64407,9742,1123,75271,131189,15409,221868
21401,2480,516,3017,24299,7279,868,32446,74217,6776,113444
21402,5037,934,6029,26027,10597,886,37513,94998,8930,141435
21501,1762,336,2123,8058,3229,375,11664,34191,4615,50466
21502,1318,193,1526,8222,2789,323,11339,31004,4079,46427
21503,1088,203,1297,5034,1997,178,7219,21426,3008,31652
21601,1036,235,1276,5403,2164,203,7768,21919,2557,32243
21602,899,151,1050,4044,1627,157,5822,17588,2061,25470
21603,1420,213,1648,10304,3267,339,13907,36344,4768,55021
21701,1041,136,1184,4936,1950,180,7070,21667,2144,30877
21703,1000,165,1171,5340,2194,204,7742,21963,2403,32101
21704,1210,225,1445,8359,3165,313,11841,28576,2872,43291
29797,0,0,0,0,0,0,0,12,27,38
29999,17,17,29,695,281,39,1013,3668,3262,7946
