SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
20101,55982,60219,116201,3407,3342,6749,7836,7316,15157,3631,3528,7163,3635,3707,7344,7793,7954,15741,6797,7597,14392,6780,7465,14251,6424,7227,13656,5589,6517,12107,3054,3719,6773,1030,1851,2878,53777,58107,111884,2206,2114,4320,987,1052,2038,46,35,75,23,18,45,1055,1113,2164,46910,50584,97494,6282,6774,13057,49281,53291,102572,3941,4096,8034,50536,54611,105145,1038,1021,2055,7338,6947,14284,2678,2759,5434,1108,1487,2599,1639,2869,4505,21419,26131,47548,6556,6964,13519,8138,7558,15700,3584,3429,7007,2134,2350,4481,183,170,354,51971,56023,107995,3646,3900,7548
20102,15481,15497,30975,731,735,1467,1851,1722,3577,852,742,1596,567,481,1048,1264,1346,2608,1751,1831,3585,2271,2335,4600,2526,2620,5145,2324,2252,4575,1065,1010,2079,274,414,689,14709,14803,29513,770,695,1467,185,169,353,9,3,13,4,0,7,200,178,372,12266,12313,24582,1963,1973,3937,13707,13716,27421,649,686,1328,13781,13801,27580,210,226,436,1694,1583,3276,604,570,1171,125,162,286,283,652,933,5493,6834,12332,1962,1855,3815,2526,1898,4420,1141,815,1955,632,496,1130,35,25,64,14024,14052,28079,1250,1296,2542
20103,13582,13170,26759,548,561,1107,1551,1472,3022,720,651,1373,592,514,1107,1170,1182,2355,1259,1275,2534,1859,1795,3654,2085,2059,4154,2257,2093,4352,1225,1131,2361,322,433,750,12978,12720,25698,609,451,1061,254,262,514,4,8,16,7,9,9,266,274,542,11122,10788,21909,1253,1254,2509,11868,11817,23686,335,372,709,11883,11795,23673,146,165,311,1401,1294,2688,467,450,912,90,139,233,150,385,539,3334,4388,7720,1801,1799,3601,2909,2161,5071,1313,1038,2349,899,700,1602,47,31,78,12037,12007,24041,1372,1084,2455
20201,49462,53577,103034,3118,3074,6186,6860,6351,13209,2984,2996,5980,3196,3295,6489,6723,7259,13979,5982,6600,12582,5766,6367,12136,5649,6563,12212,5212,5887,11096,2909,3449,6354,1081,1728,2812,47548,51720,99271,1914,1854,3767,1111,1172,2281,38,46,82,26,23,51,1181,1239,2416,41928,45474,87405,4927,5401,10319,43241,46934,90175,3559,3853,7411,44568,48375,92944,864,861,1726,6390,5965,12351,2178,2265,4446,934,1269,2211,1233,2253,3486,17469,21856,39328,5845,6213,12056,7736,7394,15130,3306,3133,6437,2199,2328,4520,333,326,658,45907,49646,95557,3341,3677,7019
20202,26167,26336,52500,1279,1125,2401,3250,3057,6300,1428,1344,2774,1016,823,1842,2267,2198,4463,2945,3154,6101,3724,3884,7608,3953,4173,8128,3800,3827,7624,1960,1960,3923,547,792,1340,25154,25360,50517,1015,973,1987,334,264,596,12,9,15,6,6,11,349,277,630,21013,21401,42413,3323,3091,6414,23012,23567,46577,929,997,1918,23056,23737,46789,396,312,710,3008,2818,5822,1050,1046,2092,261,308,562,497,1089,1593,10091,12310,22396,3013,2878,5896,4159,2968,7120,1627,1284,2914,937,894,1838,63,63,127,23536,24244,47778,2389,1932,4317
20203,6168,6053,12224,291,267,559,696,716,1415,318,317,635,233,229,457,480,548,1027,603,619,1215,814,783,1603,1102,1057,2160,1011,874,1887,468,436,899,145,216,371,5905,5816,11722,261,238,503,114,145,255,9,8,14,0,5,9,122,159,275,5041,4892,9932,411,494,908,5368,5262,10633,149,190,338,5403,5274,10677,69,65,137,618,645,1268,216,249,465,36,70,113,55,179,238,1433,1975,3407,898,795,1688,1248,942,2189,569,444,1017,375,287,660,14,10,24,5440,5364,10798,678,648,1326
20301,11359,11121,22483,754,718,1473,1813,1615,3429,770,742,1509,522,444,967,1193,1190,2385,1470,1667,3131,1587,1567,3152,1446,1445,2896,1203,1089,2289,498,449,943,112,195,307,10952,10780,21734,402,339,744,120,119,236,6,9,16,5,9,9,130,128,269,9677,9458,19132,1043,1048,2091,10442,10200,20638,323,346,674,10448,10219,20672,199,223,427,1692,1489,3180,569,578,1146,161,176,337,180,416,590,3705,4695,8404,1630,1381,3006,1807,1254,3061,695,535,1235,338,281,623,18,22,43,10627,10436,21070,546,590,1142
20302,103468,108519,211986,6384,5954,12345,12642,12106,24745,6205,5971,12177,7493,7224,14716,16361,15974,32338,13299,13990,27287,12521,13336,25859,11478,12636,24118,9596,11138,20738,5472,6849,12319,2013,3327,5340,99748,105001,204755,3713,3513,7227,1409,1438,2843,44,39,84,36,36,75,1491,1514,3005,78942,83574,162512,19564,20026,39591,83059,88966,172021,14255,14494,28750,88767,95538,184310,1963,1769,3730,11875,11378,23262,4756,4834,9587,2848,3305,6154,3570,5226,8797,42888,50012,92899,12434,11752,24192,13716,12325,26038,5587,5770,11360,4022,4653,8674,711,767,1476,95050,100700,195750,7601,7054,14658
20303,45240,48180,93417,2592,2528,5125,6286,5792,12078,2433,2251,4687,1989,1869,3855,4318,4691,9005,5597,6257,11854,5565,6149,11717,5733,6836,12569,6596,6978,13583,3198,3454,6650,922,1380,2302,42454,45579,88032,2777,2598,5380,371,349,717,7,0,9,9,8,18,388,358,745,36928,39359,76283,5997,6482,12479,40928,43456,84387,2118,2464,4574,41176,43937,85114,827,796,1622,5942,5489,11430,1956,1879,3835,760,859,1621,1086,1969,3060,19951,23832,43783,5573,5532,11099,5448,5085,10538,2084,1911,3998,1063,1102,2169,84,72,157,41484,44466,85953,2989,3336,6322
20401,30066,29941,60002,1447,1356,2798,3515,3306,6820,1708,1572,3284,1570,1253,2819,2996,3043,6040,3103,3283,6382,3713,3928,7638,4565,4712,9277,4499,4263,8764,2321,2246,4568,638,980,1622,28554,28602,57161,1505,1334,2846,533,544,1075,20,25,45,13,17,25,570,580,1144,24274,24042,48312,3169,3438,6604,26312,26217,52531,1357,1485,2842,26599,26525,53123,415,383,796,3184,3006,6193,1146,1174,2318,346,352,701,470,1087,1560,9361,11674,21033,4032,3803,7836,5345,4294,9639,2444,1852,4296,1436,1253,2690,119,83,204,26561,26812,53375,4239,3879,8121
