SA3_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
20101,228,361,395,346,1152,1485,566,1538,39,6104,632,1207,1434,1312,2592,2787,839,1423,71,12297,255,537,565,431,1800,2328,585,1010,91,7611,692,1751,1434,998,1185,832,184,334,97,7497,310,967,1047,710,1911,1147,285,293,39,6708,367,1850,847,393,755,543,151,196,54,5158,136,280,235,160,556,651,260,563,32,2868,359,1536,795,400,879,755,239,295,91,5353,70,80,54,39,132,126,29,76,205,812,3045,8574,6803,4790,10956,10652,3133,5732,721,54407
20102,104,182,198,155,313,520,228,808,34,2541,142,387,374,330,423,567,180,324,33,2761,87,224,179,148,466,609,160,306,43,2234,187,377,280,187,201,191,41,86,23,1566,84,238,278,170,375,235,62,84,15,1543,69,318,171,77,127,100,32,39,21,953,51,70,71,40,136,197,81,197,20,853,124,428,215,125,206,227,50,122,39,1542,29,29,21,11,22,31,14,40,73,268,876,2249,1787,1250,2272,2676,833,1999,299,14258
20103,40,126,97,95,190,318,134,513,33,1554,91,149,172,170,216,269,78,132,13,1277,72,172,121,98,356,413,106,201,37,1572,127,282,232,201,205,178,38,57,24,1356,56,178,174,108,257,164,30,56,7,1036,66,277,166,74,125,86,29,33,8,863,62,63,57,43,166,192,55,169,20,821,97,363,183,136,283,247,44,86,42,1483,19,16,14,7,29,29,3,20,77,219,627,1627,1213,936,1833,1885,524,1264,266,10177
20201,175,264,312,273,1055,1199,490,1154,32,4956,591,980,1194,1317,2456,2153,692,1144,44,10576,255,464,470,376,1522,1970,458,829,70,6415,570,1496,1265,874,1087,731,171,311,81,6590,236,791,875,603,1681,937,191,266,34,5622,311,1585,717,323,688,416,105,181,52,4383,147,261,193,151,571,569,229,667,47,2827,305,1540,755,463,1102,847,219,322,87,5641,53,68,55,35,137,124,22,73,189,758,2641,7443,5838,4412,10296,8947,2581,4955,639,47758
20202,147,282,289,284,511,878,329,1018,67,3816,319,834,856,732,850,1126,350,668,48,5787,163,372,300,238,600,973,226,436,58,3361,288,617,486,325,374,345,85,130,39,2693,144,430,483,269,519,406,102,150,25,2522,108,647,273,116,180,197,47,114,28,1715,81,120,100,80,169,249,70,260,26,1145,177,694,306,224,308,340,78,130,47,2307,41,59,32,22,53,54,16,34,101,407,1461,4058,3135,2287,3560,4565,1308,2946,441,23761
20203,46,89,100,59,105,220,80,583,34,1312,52,77,85,82,104,95,26,78,10,610,41,66,49,47,124,172,49,107,24,671,51,121,106,51,81,45,9,27,14,496,29,101,72,49,102,85,13,27,4,485,34,117,53,24,41,29,10,14,13,336,20,32,28,25,76,86,33,109,14,417,34,142,89,57,97,125,37,80,28,684,0,16,4,3,8,14,0,5,46,92,303,765,588,402,737,867,245,1021,173,5104
20301,60,117,116,107,254,392,131,550,34,1767,153,264,257,222,329,375,103,229,10,1950,80,155,127,126,427,609,142,322,41,2030,149,318,261,146,160,186,37,45,25,1319,70,222,172,133,308,224,47,60,10,1241,68,317,136,62,105,78,23,52,13,857,42,63,50,39,127,200,82,189,21,813,79,324,115,78,164,209,37,133,17,1153,11,15,8,11,20,29,11,24,53,184,706,1811,1244,927,1891,2300,601,1606,218,11308
20302,389,650,726,641,2215,2864,1051,2666,75,11273,1138,2317,2639,2376,5113,5233,1487,2551,132,22986,563,1244,1114,792,3398,4505,1165,1792,173,14741,1277,3469,2718,1661,1976,1700,412,613,182,14002,521,1621,1698,1149,3271,2200,459,593,85,11592,690,3435,1517,649,1284,966,220,381,85,9225,290,682,623,414,1400,1648,524,1049,117,6745,576,3109,1513,749,1635,1602,355,623,180,10335,109,169,120,96,321,315,52,154,452,1784,5553,16684,12655,8523,20602,21034,5727,10416,1481,102678
20303,310,457,518,405,1091,1680,597,1551,62,6665,679,1448,1568,1227,2039,2243,685,1307,108,11304,299,561,521,428,1242,1890,426,734,92,6197,666,1476,964,548,644,698,199,243,71,5498,242,873,897,569,1067,792,175,255,45,4924,304,1299,543,260,469,413,108,175,50,3624,75,180,146,90,240,334,139,250,22,1467,285,1116,433,203,335,454,103,230,49,3199,61,94,53,33,104,112,26,64,156,707,2911,7505,5631,3763,7242,8619,2458,4814,646,43580
20401,167,326,352,267,631,1026,369,1229,84,4442,219,427,501,431,661,791,246,567,44,3899,222,377,306,285,889,1283,297,588,88,4332,350,691,570,355,508,495,144,254,61,3426,149,491,433,299,668,525,99,168,33,2874,141,603,328,184,298,241,56,113,40,2003,117,156,149,83,311,488,176,428,41,1953,247,900,426,287,507,553,115,283,89,3404,29,55,30,40,75,88,15,57,163,550,1644,4027,3105,2234,4552,5487,1514,3684,645,26895
