SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
20101,44734,49562,94299,19372,11096,30467,6365,13809,20169,1551,2221,3766,1462,1228,2685,28742,28349,57092,13603,18649,32257,5.1,4.3,4.7,64.3,57.2,60.5,61,54.7,57.7,2118,2548,4666,1017,2044,3066,5747,8279,14025,3534,5125,8659,10975,6563,17543,457,737,1193,512,770,1273,11938,8073,20014,43747,47315,91060,8671,9307,17982,27163,29279,56441,22387,24468,46853
20102,12896,13035,25926,5101,2688,7790,1845,3447,5288,523,655,1175,306,228,533,7777,7017,14796,4157,5039,9190,3.9,3.3,3.6,60.3,53.8,57,57.9,52.1,55,567,723,1285,268,600,870,1336,2157,3491,1094,1554,2646,3409,1590,4995,115,154,269,178,222,403,3696,1968,5666,12745,12716,25465,1404,1468,2876,8926,8858,17781,4653,4753,9408
20103,11485,11142,22630,3611,1898,5504,1220,2557,3779,438,456,894,294,213,509,5571,5117,10691,4971,5169,10135,5.4,4.1,4.8,48.5,45.9,47.2,45.9,44,45,160,213,369,126,282,411,596,1124,1715,608,1137,1743,3155,1549,4700,107,229,336,141,193,329,3401,1961,5364,10816,10707,21523,1155,1238,2394,7934,7666,15602,3598,3827,7423
20201,39492,44151,83646,16901,9879,26783,5547,12148,17692,1335,1948,3282,1183,960,2144,24967,24941,49903,12401,16948,29351,4.8,3.8,4.3,63.2,56.5,59.7,60.2,54.3,57.1,1379,1748,3131,775,1771,2546,4388,6927,11312,3088,4531,7623,10285,6103,16387,404,718,1121,484,756,1233,11172,7579,18746,39421,42483,81903,6718,7562,14282,24862,26415,51280,18634,20990,39629
20202,21639,22157,43799,7974,4411,12381,3221,6254,9478,855,1050,1900,467,388,855,12512,12101,24615,7647,8520,16172,3.7,3.2,3.5,57.8,54.6,56.2,55.7,52.9,54.2,1159,1582,2738,598,1248,1849,2927,4108,7036,1851,2544,4390,5046,2266,7309,162,277,438,291,355,650,5505,2891,8395,20907,21330,42239,2743,2883,5629,14276,14587,28865,8268,8690,16960
20203,5186,5074,10254,1957,925,2879,541,1209,1755,202,269,473,122,114,240,2822,2524,5344,1783,1997,3783,4.4,4.6,4.5,54.5,49.7,52.1,52.1,47.5,49.8,45,99,144,51,132,183,260,572,833,280,479,763,1439,647,2085,40,101,136,65,93,159,1549,832,2382,4917,4822,9741,506,545,1044,3741,3544,7287,1452,1593,3045
20301,8790,8785,17578,4407,1995,6400,1133,2845,3977,402,527,924,162,140,299,6103,5500,11604,2199,2801,5002,2.7,2.5,2.6,69.4,62.6,66,67.6,61.1,64.3,237,291,532,128,353,484,792,1448,2236,777,1140,1916,2892,1306,4197,64,148,216,112,140,253,3070,1598,4666,9398,9168,18568,1150,1173,2322,6382,6061,12440,3580,3705,7280
20302,84444,90450,174895,36840,20941,57781,12287,25585,37869,2888,4143,7033,2787,2250,5031,54799,52912,107710,25338,33164,58504,5.1,4.2,4.7,64.9,58.5,61.6,61.6,56,58.7,4586,4589,9176,1506,3376,4877,11637,16131,27770,7240,10058,17293,19815,11609,31426,714,1128,1846,946,1492,2433,21472,14230,35700,80846,85689,166532,15114,16351,31472,50639,54051,104690,39937,42922,82856
20303,36359,39860,76217,14831,8299,23124,5446,11450,16891,1498,2062,3559,785,687,1472,22552,22501,45054,11950,15358,27304,3.5,3.1,3.3,62,56.5,59.1,59.9,54.7,57.2,2066,2461,4526,977,2067,3047,6315,8562,14877,3767,5236,8999,8987,4217,13199,239,425,666,528,739,1264,9753,5378,15132,35471,37577,73048,7017,7690,14706,20698,21816,42511,19584,21313,40890
20401,25103,25285,50389,9916,5319,15234,3144,6226,9368,1032,1264,2292,582,455,1039,14669,13261,27932,8381,10007,18393,3.9,3.4,3.7,58.4,52.4,55.4,56.1,50.6,53.4,538,758,1291,311,782,1093,1891,3209,5096,1822,2994,4816,7205,3261,10463,203,424,626,350,475,822,7756,4159,11916,23663,23607,47278,3598,3646,7246,15589,15401,30988,10504,10761,21262
20402,19449,21055,40503,7932,4593,12528,2535,5430,7962,735,994,1735,391,307,700,11597,11321,22921,6547,8331,14881,3.4,2.7,3,59.6,53.8,56.6,57.6,52.3,54.9,420,638,1058,328,750,1083,1574,2789,4361,1450,2442,3895,5481,2901,8382,175,352,528,280,347,630,5941,3597,9540,19082,20178,39262,2559,2864,5427,13335,13944,27281,7279,8022,15299
20403,30494,31891,62386,13412,7645,21051,3995,8800,12792,1222,1565,2792,732,574,1303,19362,18577,37943,9260,11491,20744,3.8,3.1,3.4,63.5,58.3,60.8,61.1,56.5,58.7,809,1129,1939,564,1296,1860,2802,4681,7484,2555,3757,6310,8815,4897,13718,304,529,838,425,633,1061,9553,6061,15612,29491,30828,60319,5209,5320,10527,19095,19856,38953,13844,14531,28372
20501,22491,24301,46790,9915,5152,15067,2850,6716,9565,870,1173,2043,560,496,1059,14201,13535,27734,6952,9396,16350,3.9,3.7,3.8,63.1,55.7,59.3,60.7,53.7,57,569,812,1381,362,816,1180,1956,3340,5299,1691,2844,4533,6888,3634,10518,180,420,600,332,470,800,7397,4519,11917,22408,23459,45864,3654,4088,7746,13841,14365,28205,10765,11750,22517
20502,20296,21233,41521,6341,3512,9856,2554,5169,7715,784,875,1659,528,358,880,10199,9915,20113,8446,9633,18078,5.1,3.6,4.4,50.3,46.7,48.4,47.7,45,46.3,384,534,926,287,636,917,1395,2439,3837,1542,2378,3921,5732,2850,8581,182,361,539,331,374,701,6240,3581,9828,18920,19506,38419,2862,3075,5935,12754,13026,25781,8050,8618,16671
20503,29166,31044,60212,9947,5228,15170,4168,8036,12204,1282,1530,2806,640,464,1110,16037,15252,31287,11086,13605,24692,4,3,3.5,55,49.1,52,52.8,47.6,50.1,777,1030,1812,494,1117,1613,2647,4323,6972,2223,3591,5816,8388,3890,12271,255,528,786,423,597,1018,9064,5010,14071,27631,28587,56212,4531,4907,9437,17623,18031,35657,13119,14101,27215
20504,30688,32821,63505,11685,6264,17951,3380,8215,11589,1081,1432,2514,1353,915,2267,17506,16823,34328,10802,13553,24353,7.7,5.5,6.6,57,51.3,54,52.6,48.5,50.5,564,805,1375,301,796,1096,2055,3435,5487,1913,3154,5066,9648,5005,14651,294,546,844,332,510,836,10270,6053,16325,30071,31309,61374,4190,4598,8789,20735,21143,41874,11693,12946,24640
20505,18941,18850,37785,7215,3781,10995,1945,4787,6728,717,825,1547,546,404,947,10419,9795,20216,7144,7685,14830,5.2,4.1,4.7,55,52,53.5,52.1,49.8,51,335,492,827,228,545,768,1299,2324,3624,1182,1976,3163,5517,2716,8225,192,306,495,222,321,541,5926,3337,9262,17279,17767,35046,2887,2895,5782,11714,11913,23622,7411,7753,15163
20601,37258,40992,78253,17903,14669,32571,6812,11047,17864,1447,1967,3416,1489,1116,2603,27647,28802,56452,8203,10765,18964,5.4,3.9,4.6,74.2,70.3,72.1,70.2,67.5,68.8,4882,6575,11450,1300,2566,3866,10411,12373,22783,3081,3421,6499,4310,2194,6508,190,259,446,409,469,882,4910,2924,7831,32758,35096,67860,8481,9725,18208,20131,22008,42134,19375,21164,40545
20602,21222,24027,45248,10308,8402,18706,3737,6741,10483,764,1124,1890,749,630,1376,15561,16896,32459,4865,6235,11102,4.8,3.7,4.2,73.3,70.3,71.7,69.8,67.7,68.7,2780,3967,6753,942,1781,2722,6217,7451,13675,1567,1987,3559,2251,1118,3369,111,127,237,214,256,467,2576,1493,4073,19928,21875,41805,4271,5005,9277,12988,14362,27355,10100,11386,21483
20603,27931,30411,58337,13688,10125,23817,4411,7735,12147,1013,1373,2384,1019,819,1835,20135,20055,40191,6524,9017,15537,5.1,4.1,4.6,72.1,65.9,68.9,68.5,63.2,65.7,3126,3555,6681,962,1708,2666,7313,8392,15710,2487,2948,5436,3575,1786,5363,162,234,397,331,517,852,4069,2545,6615,25994,27691,53687,5499,5904,11400,16766,18045,34811,13341,14215,27548
20604,69249,70258,139506,29790,23234,53028,13568,17567,31131,2872,3308,6178,3715,3758,7472,49945,47871,97811,13995,17264,31262,7.4,7.9,7.6,72.1,68.1,70.1,66.8,62.8,64.8,12486,13417,25904,1664,2507,4170,22289,23200,45483,5684,5909,11596,4171,2778,6947,344,340,684,508,677,1193,5028,3798,8822,39229,39487,78713,28993,29791,58786,15890,16529,32415,50414,51003,101418
20605,43821,46509,90328,22019,18412,40437,6669,10326,16998,1518,2074,3589,1538,1303,2840,31743,32121,63864,8875,11318,20196,4.8,4.1,4.5,72.4,69.1,70.7,68.9,66.3,67.6,5862,6778,12646,1325,2469,3791,12879,14870,27751,4085,4901,8981,4547,2563,7105,225,300,528,525,746,1267,5295,3604,8896,34614,36336,70956,11281,12234,23512,19189,20465,39655,24961,26370,51329
20606,26907,30098,57008,14318,11950,26268,4020,6152,10175,899,1228,2133,793,746,1542,20032,20077,40110,5278,8222,13495,4,3.7,3.8,74.4,66.7,70.4,71.5,64.2,67.7,4048,4345,8395,796,1432,2229,9700,10630,20330,2162,2916,5078,1943,1208,3149,113,164,277,251,426,676,2309,1797,4105,20262,22249,42512,7404,8405,15804,10851,12357,23211,15990,17461,33455
20607,39611,41763,81376,21323,17730,39053,6081,9373,15453,1321,1869,3188,1224,1053,2280,29947,30020,59965,7417,9722,17139,4.1,3.5,3.8,75.6,71.9,73.7,72.5,69.4,70.9,6096,7097,13189,1543,2420,3966,13694,14762,28463,2919,3296,6218,3293,1844,5135,209,261,470,331,444,773,3831,2548,6377,30428,32027,62453,11113,11851,22969,16904,18230,35136,23136,24227,47361
20701,66732,74237,140967,30537,21151,51690,11169,19301,30470,2071,2763,4832,2121,1832,3953,45894,45042,90942,18718,26788,45507,4.6,4.1,4.3,68.8,60.7,64.5,65.6,58.2,61.7,10879,10427,21309,2418,4217,6638,21550,24174,45721,5223,7160,12383,4790,2654,7447,273,402,679,663,1112,1779,5727,4173,9903,65468,71454,136925,12031,12713,24742,43629,48053,91684,31016,33293,64305
