SA3_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
20101,12081,24114,188,1007,1245,5819,338,1530,6932,27250,8699,35609,510,2158,980,3288,1984,6302,3476,11746,12176,47358,96,441,427,1430,219,819,2375,6348,3110,9032,202,634,548,1181,1928,4174,2678,5983,5785,15014,454,950,30499,87435
20102,4108,8189,58,336,327,1507,88,417,1629,6512,2105,8766,145,582,259,846,664,2108,1058,3541,3165,12306,6,33,74,231,35,134,387,978,501,1376,29,92,94,201,471,1023,594,1321,1100,2699,86,180,8463,23375
20103,3475,6969,47,280,253,1220,72,340,1126,4493,1500,6330,109,443,162,524,543,1700,809,2669,2311,8998,18,67,65,229,55,209,449,1258,586,1760,29,97,57,127,506,1083,601,1304,1183,3066,100,209,7072,19240
20201,10779,21530,212,1195,1057,4935,276,1270,6045,23683,7585,31089,516,2204,798,2675,1770,5613,3078,10493,10670,41581,99,448,427,1475,201,729,2177,5859,2906,8510,163,533,424,910,1776,3851,2367,5293,5278,13805,453,938,27171,77852
20202,6721,13432,82,459,571,2598,133,602,3042,11891,3828,15548,244,1021,486,1627,1048,3316,1780,5965,5604,21519,25,99,140,448,42,155,696,1757,902,2462,73,211,208,425,730,1570,1007,2200,1905,4659,159,326,14394,39944
20203,1559,3123,19,125,132,619,32,148,606,2447,791,3346,52,215,107,336,249,794,407,1350,1201,4698,5,16,20,78,4,18,148,409,178,518,10,25,27,64,180,381,217,469,396,990,55,107,3208,8916
20301,2396,4783,63,360,335,1554,78,353,1729,6902,2208,9166,173,732,246,835,551,1797,969,3361,3177,12526,15,54,52,177,19,77,246,637,326,938,34,113,57,126,262,579,360,815,685,1756,34,76,6290,19140
20302,21613,43302,344,1936,2063,9598,492,2265,13070,50532,15963,64333,1138,4820,1948,6702,4154,13441,7238,24959,23203,89297,128,593,711,2393,326,1159,3445,9002,4617,13147,424,1359,941,2128,3577,7900,4950,11383,9561,24535,913,1883,55293,159018
20303,12079,24020,131,719,1105,5007,203,912,6231,24465,7669,31106,441,1825,914,3082,1598,4983,2950,9892,10622,41003,39,184,286,903,72,245,1168,3039,1561,4370,128,390,348,753,1085,2324,1562,3467,3121,7838,254,518,26068,73380
20401,7699,15331,117,659,509,2318,149,665,3006,11860,3782,15497,279,1148,409,1351,1166,3646,1852,6148,5638,21644,28,113,169,584,74,262,852,2280,1120,3239,86,259,206,459,1065,2286,1353,3002,2476,6237,190,401,16000,43616
