SA3_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,8405,6718,3232,1218,57685
20102,3456,2778,1102,315,16695
20103,2315,2257,1023,239,12282
20201,7461,5980,3087,1276,50332
20202,5598,4879,2282,679,28732
20203,1267,940,398,139,5802
20301,1903,1296,495,157,11364
20302,14718,11072,5706,2111,108195
20303,9079,8922,3957,1246,52517
20401,5657,4840,2154,706,29966
20402,4454,3703,1872,668,24110
20403,6742,5283,2341,671,38795
20501,4716,3880,1845,505,28378
20502,4757,4850,2449,678,24301
20503,7238,6822,3074,907,36487
20504,6163,4639,2267,847,36295
20505,3883,3365,1356,428,21812
20601,5716,3098,1055,385,56491
20602,4208,2234,797,364,33208
20603,5647,3442,1263,499,40886
20604,7096,4756,2204,698,109325
20605,8979,5708,2615,817,70268
20606,4653,3791,2223,778,44842
20607,6423,4371,1868,486,63873
20701,17125,12066,6579,2763,103483
20702,8223,5901,4045,1491,54187
20703,8690,5810,3434,1642,62763
20801,11196,7873,4373,1881,59043
20802,12923,9170,4066,1904,93395
20803,10037,6619,3314,1448,66817
20804,3916,2812,1560,676,26151
20901,10403,7767,3899,1352,70544
20902,5549,3023,1436,779,51183
20903,7161,4715,1769,409,36905
20904,12555,7499,3076,1035,115618
21001,4355,3061,1753,609,30317
21002,3108,2124,922,215,17126
21003,4178,2179,1282,858,41626
21004,3292,2076,845,261,22347
21005,9035,4594,1815,485,85048
21101,12754,8568,4236,1607,83340
21102,2805,1870,960,356,14451
21103,8884,6129,3396,1427,61091
21104,4768,3595,2196,993,35228
21105,13063,9439,4299,1179,79977
21201,6911,4417,2133,651,56692
21202,9533,5658,2542,917,65001
21203,10444,5436,2209,592,102204
21204,9390,6816,3530,1329,85033
21205,13507,9153,5789,2704,104348
21301,9762,6130,2674,977,79053
21302,6660,3890,1628,656,44901
21303,4839,2442,901,470,49395
21304,9088,5437,2066,534,87858
21305,12519,7017,2489,687,146108
21401,10121,6869,3436,1337,69705
21402,15849,14588,8590,3019,89268
21501,5012,3934,1947,802,27485
21502,3912,2733,1301,483,24978
21503,2851,2219,1036,437,16194
21601,3197,2386,1263,520,17524
21602,2316,2051,1114,353,13438
21603,4606,3288,1709,695,30231
21701,3254,2713,1182,443,17108
21703,3295,2683,1175,416,17796
21704,4339,3341,1560,588,25833
29797,15,4,0,0,40
29999,779,411,85,18,5907
