SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
20101,6,0,0,0,3628,3631,58,6,0,8,3565,3635,1942,110,99,6,5639,7793,3844,271,357,10,2313,6797,3847,420,801,47,1670,6780,3908,344,984,116,1074,6424,3778,243,841,245,481,5589,2060,86,337,417,156,3054,563,15,49,365,33,1030,20010,1500,3474,1201,18553,44734,7,0,0,0,3520,3528,144,15,6,0,3544,3707,2494,171,137,14,5129,7954,4191,432,592,45,2339,7597,3904,558,1222,135,1649,7465,3915,467,1546,358,939,7227,3579,287,1345,909,388,6517,1597,66,465,1440,154,3719,329,10,93,1351,69,1851,20148,2014,5406,4253,17737,49562,8,3,0,0,7145,7163,200,24,5,3,7109,7344,4432,291,234,24,10767,15741,8033,702,948,54,4649,14392,7755,974,2022,176,3320,14251,7818,808,2531,473,2009,13656,7364,533,2188,1151,872,12107,3658,150,799,1853,310,6773,891,23,141,1716,110,2878,40160,3517,8879,5455,36293,94299
20102,0,0,0,0,850,852,8,0,0,0,559,567,370,9,19,0,870,1264,895,72,106,5,668,1751,1209,106,277,11,667,2271,1471,104,390,32,527,2526,1440,106,394,106,282,2324,695,44,136,112,82,1065,131,3,24,101,20,274,6209,442,1344,376,4521,12896,0,0,0,0,739,742,14,0,0,0,463,481,475,16,20,0,835,1346,992,64,107,12,654,1831,1298,88,324,39,579,2335,1473,106,499,86,454,2620,1279,82,423,247,234,2252,514,20,130,304,49,1010,62,3,26,305,18,414,6099,386,1528,992,4016,13035,3,0,0,0,1592,1596,20,3,0,0,1027,1048,840,31,37,0,1703,2608,1888,141,213,17,1322,3585,2508,194,599,56,1248,4600,2939,206,894,125,981,5145,2711,184,817,351,514,4575,1202,61,266,414,132,2079,192,7,48,409,27,689,12313,835,2881,1370,8534,25926
20103,0,0,0,0,716,720,13,0,0,0,576,592,310,19,10,0,832,1170,564,57,76,0,554,1259,911,108,247,17,578,1859,1071,124,382,49,473,2085,1318,146,449,122,225,2257,727,51,159,196,92,1225,149,13,21,126,13,322,5056,519,1348,506,4057,11485,0,0,0,0,653,651,16,0,0,0,495,514,358,36,28,0,763,1182,663,73,92,5,434,1275,940,115,290,34,413,1795,1130,114,418,133,268,2059,1192,86,393,312,118,2093,524,24,123,414,45,1131,73,0,28,317,19,433,4898,450,1373,1216,3206,11142,0,0,0,0,1366,1373,30,5,0,0,1066,1107,667,51,39,0,1593,2355,1222,137,165,9,994,2534,1852,221,539,53,990,3654,2202,233,796,180,737,4154,2503,230,845,433,340,4352,1249,79,285,607,136,2361,221,13,49,439,32,750,9956,970,2723,1725,7261,22630
20201,0,0,0,0,2980,2984,57,6,4,4,3123,3196,1788,128,85,10,4709,6723,3350,268,309,12,2039,5982,3259,340,688,40,1436,5766,3337,312,989,121,888,5649,3499,238,783,248,447,5212,2029,85,279,378,134,2909,612,8,51,365,39,1081,17933,1393,3193,1175,15798,39492,0,0,0,0,2995,2996,104,12,0,8,3162,3295,2336,202,142,17,4565,7259,3566,400,517,39,2080,6600,3251,411,1145,128,1431,6367,3543,406,1481,340,785,6563,3230,246,1217,839,350,5887,1632,65,418,1183,147,3449,329,15,96,1221,68,1728,18005,1765,5021,3779,15587,44151,6,0,0,3,5972,5980,165,21,6,9,6291,6489,4121,333,232,30,9271,13979,6915,674,823,45,4115,12582,6512,755,1837,170,2867,12136,6880,725,2474,463,1675,12212,6728,485,1996,1085,803,11096,3665,152,700,1561,279,6354,944,28,149,1589,106,2812,35935,3158,8219,4949,31383,83646
20202,0,0,0,0,1428,1428,23,0,0,0,993,1016,613,25,17,3,1609,2267,1637,84,137,6,1081,2945,2056,197,424,22,1021,3724,2364,189,602,72,727,3953,2380,174,666,162,416,3800,1260,61,309,219,118,1960,280,11,31,190,38,547,10603,741,2180,679,7438,21639,0,0,0,0,1344,1344,20,3,0,0,797,823,736,42,42,0,1375,2198,1749,135,191,14,1064,3154,2166,203,510,49,954,3884,2444,178,770,142,634,4173,2190,151,752,376,355,3827,908,28,335,583,106,1960,136,7,59,556,28,792,10357,745,2660,1722,6671,22157,0,0,0,0,2774,2774,42,0,0,0,1787,1842,1346,61,62,3,2987,4463,3387,222,329,18,2143,6101,4224,402,929,72,1973,7608,4808,370,1368,218,1367,8128,4572,320,1410,539,777,7624,2165,90,645,801,223,3923,416,19,97,745,68,1340,20967,1486,4845,2400,14107,43799
20203,0,0,0,0,316,318,10,0,0,0,221,233,136,4,3,0,336,480,339,27,36,0,201,603,424,40,107,0,236,814,607,85,187,15,219,1102,623,59,184,46,99,1011,301,18,57,58,40,468,68,5,5,63,7,145,2510,233,574,192,1673,5186,0,0,0,0,317,317,12,0,0,0,216,229,191,16,8,0,331,548,376,17,32,8,185,619,477,47,84,15,157,783,642,53,177,66,124,1057,549,36,137,110,44,874,231,8,34,151,9,436,38,0,9,168,6,216,2512,172,481,517,1391,5074,0,0,0,0,635,635,23,0,0,0,441,457,324,19,10,3,669,1027,713,46,65,6,385,1215,907,87,191,15,396,1603,1249,131,364,81,342,2160,1177,93,318,159,144,1887,533,18,92,209,45,899,107,8,15,232,11,371,5025,404,1057,712,3063,10254
20301,0,0,0,0,765,770,11,0,0,0,511,522,408,12,17,0,748,1193,969,50,85,6,361,1470,1082,80,133,8,278,1587,967,79,171,31,202,1446,870,38,163,49,76,1203,369,13,44,54,11,498,65,0,5,38,4,112,4751,274,612,187,2965,8790,0,0,0,0,739,742,9,0,0,0,435,444,507,15,25,3,633,1190,1105,65,87,5,397,1667,1060,70,171,31,236,1567,982,73,195,56,142,1445,764,24,151,104,48,1089,266,4,39,139,8,449,34,0,9,146,5,195,4730,250,679,484,2642,8785,0,0,0,0,1506,1509,22,0,0,0,943,967,918,32,42,6,1385,2385,2075,113,174,15,759,3131,2142,146,304,40,519,3152,1951,146,367,84,339,2896,1636,61,312,153,126,2289,635,19,83,187,24,943,104,0,15,179,9,307,9482,525,1292,672,5604,17578
20302,10,4,0,0,6187,6205,118,5,4,6,7358,7493,4382,179,185,8,11605,16361,7693,496,738,37,4335,13299,7211,705,1471,70,3068,12521,7021,623,1797,209,1828,11478,6601,380,1412,442,766,9596,3899,138,538,668,230,5472,1090,39,92,716,73,2013,38027,2572,6232,2154,35452,84444,7,5,3,0,5961,5971,224,23,3,0,6971,7224,5376,319,254,13,10007,15974,7902,711,1019,96,4252,13990,7295,911,2105,255,2779,13336,7040,700,2750,669,1480,12636,6257,399,2221,1623,635,11138,3062,107,881,2571,224,6849,565,22,169,2487,90,3327,37723,3189,9413,7725,32397,90450,15,9,3,6,12147,12177,338,28,10,9,14329,14716,9763,496,444,25,21616,32338,15592,1212,1761,132,8594,27287,14506,1609,3571,323,5848,25859,14060,1326,4543,879,3311,24118,12854,782,3634,2069,1401,20738,6960,244,1424,3239,457,12319,1651,60,257,3205,155,5340,75747,5763,15646,9885,67858,174895
20303,0,0,0,0,2434,2433,17,0,0,0,1971,1989,1145,42,28,0,3100,4318,3548,165,252,17,1625,5597,3627,256,582,37,1057,5565,3999,267,742,77,640,5733,5052,206,745,238,360,6596,2450,63,241,361,81,3198,559,13,43,282,23,922,20393,1018,2645,1018,11290,36359,0,0,0,0,2250,2251,32,0,0,0,1837,1869,1595,80,71,5,2939,4691,3860,247,414,32,1698,6257,3788,336,869,82,1080,6149,4283,311,1213,274,756,6836,4741,191,1025,632,393,6978,1858,67,434,986,108,3454,298,11,62,977,31,1380,20451,1238,4095,2986,11084,39860,0,4,0,0,4680,4687,46,5,0,6,3807,3855,2738,130,98,11,6038,9005,7411,416,668,42,3320,11854,7416,593,1456,116,2138,11717,8283,572,1955,357,1399,12569,9791,395,1773,874,748,13583,4308,131,678,1347,187,6650,859,22,110,1257,55,2302,40844,2253,6738,4004,22377,76217
20401,0,0,0,0,1710,1708,18,8,0,0,1541,1570,715,49,42,0,2193,2996,1619,130,184,10,1158,3103,1969,231,482,20,1003,3713,2607,260,840,102,760,4565,2848,231,787,232,400,4499,1509,93,336,276,100,2321,338,14,43,218,27,638,11617,1008,2715,863,8902,25103,0,0,0,5,1561,1572,34,3,0,0,1209,1253,964,63,62,10,1955,3043,1769,159,233,17,1098,3283,2089,275,577,68,913,3928,2803,248,900,231,532,4712,2570,156,798,517,228,4263,1114,55,247,749,80,2246,155,7,48,747,21,980,11505,965,2869,2347,7597,25285,0,0,0,5,3273,3284,56,11,0,0,2749,2819,1679,105,102,8,4141,6040,3386,287,416,30,2260,6382,4060,510,1064,87,1916,7638,5407,503,1739,335,1292,9277,5418,382,1579,750,629,8764,2624,148,590,1024,186,4568,497,17,92,967,46,1622,23126,1974,5578,3209,16499,50389
