SA3_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
20101,8,63,3,761,10,0,3,9,3,6,4,3,3,28,335,408,13,0,0,9,0,0,0,0,0,96,63,184,2278,625,79,1810,204,962,147,909,171,4423,477,12081
20102,0,26,0,360,5,0,0,0,4,13,0,9,3,22,130,179,7,3,0,0,3,4,0,3,0,27,40,85,657,272,47,584,97,393,48,348,63,1412,191,4108
20103,0,10,0,98,3,0,0,4,0,3,0,8,0,13,84,119,9,4,0,0,0,3,0,5,0,55,34,121,450,148,37,428,43,284,42,267,81,1535,148,3475
20201,8,46,0,551,10,6,7,14,6,5,0,5,3,44,322,415,8,3,4,4,0,0,0,3,3,93,59,195,1915,514,76,1579,179,826,117,810,157,4152,447,10779
20202,4,42,0,571,0,5,6,3,4,7,0,11,4,28,192,258,4,0,0,4,3,3,0,0,0,43,43,118,975,432,72,866,119,588,109,623,110,2545,273,6721
20203,0,8,3,54,3,0,0,0,0,6,0,5,0,7,33,50,4,6,0,7,4,3,0,0,0,14,15,49,271,85,18,211,40,143,19,107,26,579,66,1559
20301,0,14,0,185,0,0,0,0,0,9,0,7,0,7,68,99,4,0,4,3,0,0,0,6,3,18,16,50,476,119,26,406,61,205,25,205,36,736,102,2396
20302,8,98,0,1630,15,0,6,16,6,14,6,16,11,75,533,710,15,4,7,12,8,9,0,9,9,158,126,358,4320,1040,131,3279,439,1775,218,1579,290,7776,770,21613
20303,12,151,3,1239,8,4,0,8,4,9,3,4,0,40,349,442,7,5,6,6,0,3,0,5,0,97,51,189,1668,691,84,1423,195,834,130,1053,181,5351,462,12079
20401,6,48,0,471,10,4,6,6,9,10,0,3,6,35,299,385,7,3,11,5,0,3,0,10,0,87,62,188,1210,439,90,1001,158,631,106,631,124,2894,417,7699
20402,5,23,0,284,8,0,0,7,0,7,0,4,0,29,190,258,7,0,3,5,0,4,0,0,4,59,36,125,1070,361,66,936,110,453,92,459,95,2373,286,6299
20403,4,42,4,488,7,8,0,10,3,4,0,4,3,19,297,354,15,0,5,9,0,3,4,3,4,77,51,171,1701,524,90,1396,171,710,150,705,140,3215,405,9202
20501,6,30,0,417,13,3,0,3,0,8,4,5,4,32,171,250,11,0,3,5,0,3,0,7,0,65,41,151,1225,337,66,968,105,560,72,522,119,2667,259,6909
20502,5,39,5,237,3,3,3,8,6,11,0,3,0,33,237,306,5,7,8,4,0,6,0,6,0,94,58,190,754,385,83,771,82,438,72,653,97,3418,367,7117
20503,12,68,0,531,8,0,3,10,0,10,0,11,5,38,308,384,5,8,11,14,4,7,3,3,3,94,83,248,1127,661,109,1161,154,631,134,848,181,4455,473,9933
20504,7,40,0,474,12,0,5,6,3,7,0,6,8,35,268,349,4,7,0,12,4,3,0,4,3,81,65,188,1248,305,71,1172,144,741,109,667,154,3440,399,8442
20505,12,19,0,315,4,0,0,6,3,7,0,9,3,30,195,252,6,0,6,3,0,0,0,0,4,47,55,131,828,232,59,780,90,503,60,489,93,2256,291,5673
20601,4,25,0,1777,20,0,0,8,8,3,3,4,0,12,244,307,13,0,3,3,6,0,0,0,0,22,38,85,3473,569,49,1808,255,867,118,548,79,1828,307,9911
20602,6,16,0,1147,5,0,5,0,5,4,3,0,5,3,144,177,3,0,3,0,3,0,0,0,0,7,13,32,1896,305,38,911,118,416,72,337,51,1093,174,5422
20603,0,55,0,1341,5,0,3,3,4,0,0,5,4,12,191,222,4,0,4,0,0,6,0,5,3,33,27,79,2116,387,47,1131,164,615,82,450,65,1620,241,6928
