SA3_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
20101,166,3262,204,3631,203,3200,234,3635,535,6790,466,7793,771,5660,365,6797,1042,5396,342,6780,1091,5015,318,6424,782,4506,299,5589,377,2412,265,3054,94,780,159,1030,5055,37021,2657,44734,197,3112,219,3528,279,3206,226,3707,923,6585,446,7954,1365,5873,353,7597,1852,5292,320,7465,1907,5032,289,7227,1222,4973,321,6517,464,2939,317,3719,93,1453,308,1851,8301,38464,2799,49562,360,6369,431,7163,479,6407,458,7344,1456,13374,907,15741,2137,11537,723,14392,2891,10685,665,14251,2994,10050,613,13656,2008,9481,614,12107,843,5353,577,6773,184,2230,467,2878,13353,75480,5458,94299
20102,48,737,65,852,49,473,47,567,98,1064,103,1264,207,1407,136,1751,331,1768,171,2271,417,1933,177,2526,299,1854,171,2324,118,838,109,1065,27,186,61,274,1601,10265,1033,12896,41,643,58,742,43,411,31,481,167,1061,119,1346,344,1354,135,1831,490,1679,164,2335,689,1765,167,2620,435,1656,168,2252,134,753,129,1010,10,324,77,414,2354,9635,1043,13035,93,1378,126,1596,97,882,75,1048,263,2127,221,2608,558,2757,271,3585,822,3446,334,4600,1103,3696,345,5145,733,3505,337,4575,255,1593,232,2079,37,514,140,689,3953,19898,2073,25926
20103,43,583,94,720,43,493,54,592,98,932,144,1170,151,922,185,1259,295,1317,242,1859,335,1540,213,2085,287,1748,221,2257,133,946,147,1225,23,250,45,322,1405,8735,1348,11485,51,514,85,651,62,407,45,514,164,936,86,1182,238,930,106,1275,420,1211,160,1795,521,1404,139,2059,356,1580,157,2093,117,894,120,1131,15,358,61,433,1951,8243,948,11142,92,1102,182,1373,104,898,100,1107,260,1866,223,2355,386,1851,292,2534,721,2530,401,3654,854,2943,353,4154,647,3329,378,4352,249,1843,266,2361,42,608,103,750,3354,16980,2294,22630
20201,124,2674,188,2984,180,2823,196,3196,483,5789,448,6723,696,4927,357,5982,857,4559,350,5766,1000,4324,326,5649,761,4163,286,5212,366,2302,243,2909,114,814,149,1081,4578,32380,2534,39492,184,2634,181,2996,256,2885,152,3295,890,5945,412,7259,1224,5001,375,6600,1515,4537,323,6367,1744,4516,309,6563,1140,4453,294,5887,458,2701,288,3449,83,1367,278,1728,7495,34050,2611,44151,307,5304,368,5980,437,5704,348,6489,1375,11739,863,13979,1921,9929,726,12582,2371,9094,672,12136,2741,8842,633,12212,1901,8615,576,11096,824,5004,527,6354,197,2188,425,2812,12077,66426,5145,83646
20202,83,1206,142,1428,79,833,106,1016,174,1734,359,2267,337,2265,344,2945,558,2832,324,3724,603,3054,299,3953,452,3060,291,3800,189,1580,198,1960,42,406,100,547,2515,16963,2166,21639,85,1145,113,1344,84,670,68,823,245,1790,160,2198,558,2397,202,3154,927,2715,249,3884,1068,2860,244,4173,675,2889,259,3827,245,1494,223,1960,27,563,205,792,3913,16525,1723,22157,162,2355,258,2774,165,1502,175,1842,420,3523,516,4463,893,4663,552,6101,1482,5543,573,7608,1670,5907,541,8128,1125,5949,552,7624,435,3074,418,3923,64,973,308,1340,6423,33481,3888,43799
20203,17,265,40,318,11,191,32,233,33,402,42,480,73,452,72,603,96,622,104,814,185,793,121,1102,122,783,103,1011,60,340,70,468,7,106,33,145,613,3949,620,5186,22,256,32,317,24,178,25,229,61,437,49,548,125,424,72,619,199,500,88,783,252,701,110,1057,170,603,95,874,62,305,70,436,3,165,51,216,915,3562,590,5074,39,518,76,635,35,366,54,457,101,837,91,1027,200,883,140,1215,294,1114,195,1603,440,1493,231,2160,300,1387,201,1887,119,647,144,899,12,272,86,371,1530,7511,1214,10254
20301,33,678,51,770,27,466,28,522,86,1037,69,1193,162,1215,94,1470,236,1267,92,1587,272,1104,71,1446,172,952,77,1203,58,390,50,498,16,79,18,112,1057,7186,545,8790,30,654,56,742,21,391,26,444,124,1002,62,1190,310,1260,98,1667,370,1118,77,1567,395,965,81,1445,215,827,58,1089,53,343,49,449,12,149,42,195,1528,6702,556,8785,67,1327,116,1509,51,863,50,967,211,2040,133,2385,469,2468,193,3131,600,2382,171,3152,665,2072,156,2896,382,1773,131,2289,114,734,103,943,24,226,59,307,2585,13890,1100,17578
20302,261,5587,352,6205,392,6518,582,7493,999,13973,1396,16361,1364,10905,1030,13299,1905,9805,807,12521,1954,8906,623,11478,1298,7793,509,9596,704,4378,395,5472,197,1576,243,2013,9068,69438,5935,84444,329,5330,312,5971,516,6297,407,7224,1589,13568,823,15974,2364,10921,705,13990,3244,9494,593,13336,3410,8740,488,12636,1960,8566,608,11138,807,5470,573,6849,125,2777,431,3327,14348,71160,4946,90450,594,10912,668,12177,912,12816,990,14716,2584,27532,2219,32338,3729,21823,1738,27287,5152,19308,1402,25859,5364,17646,1111,24118,3259,16360,1116,20738,1513,9839,969,12319,319,4350,674,5340,23417,140599,10876,174895
20303,93,2194,143,2433,86,1811,95,1989,257,3861,193,4318,531,4805,270,5597,758,4521,287,5565,969,4454,308,5733,897,5287,413,6596,341,2594,265,3198,81,702,137,922,4015,30229,2111,36359,98,2006,147,2251,116,1660,90,1869,440,4031,221,4691,883,5092,280,6257,1393,4499,256,6149,1772,4748,314,6836,1257,5343,381,6978,447,2697,310,3454,54,1079,244,1380,6472,31144,2242,39860,194,4198,294,4687,202,3475,181,3855,702,7892,418,9005,1411,9887,549,11854,2149,9027,544,11717,2743,9206,624,12569,2154,10625,798,13583,790,5289,572,6650,140,1783,380,2302,10482,61379,4353,76217
20401,82,1457,170,1708,86,1336,152,1570,204,2522,265,2996,344,2466,285,3103,512,2876,320,3713,650,3510,410,4565,527,3611,361,4499,218,1884,220,2321,52,520,66,638,2680,20180,2245,25103,109,1283,186,1572,114,1016,119,1253,313,2476,256,3043,568,2452,264,3283,891,2723,318,3928,1009,3330,371,4712,748,3178,340,4263,282,1767,207,2246,38,812,129,980,4076,19031,2182,25285,187,2742,355,3284,203,2349,263,2819,518,4999,520,6040,917,4921,548,6382,1402,5598,636,7638,1658,6839,782,9277,1275,6788,703,8764,497,3643,422,4568,92,1330,199,1622,6756,39210,4420,50389
