SA3_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20101,38,1499,745,300,1885,0.7,1441,2.4
20102,48,1538,707,300,1867,0.8,1454,2.4
20103,50,1127,548,230,1386,0.7,1027,2.2
20201,39,1408,744,295,1857,0.7,1435,2.4
20202,48,1600,729,320,1967,0.8,1492,2.4
20203,50,1083,602,190,1510,0.8,1175,2.3
20301,39,1800,821,330,2194,0.8,1974,2.8
20302,38,1712,767,335,2056,0.8,1586,2.4
20303,45,1950,833,402,2176,0.7,1770,2.5
20401,47,1500,697,280,1737,0.7,1328,2.3
20402,47,1300,705,250,1707,0.7,1284,2.3
20403,42,1473,779,280,1894,0.7,1461,2.4
20501,41,1600,726,320,1876,0.7,1497,2.5
20502,52,1300,602,268,1417,0.7,1109,2.2
20503,50,1450,637,295,1551,0.7,1202,2.3
20504,42,1213,654,237,1677,0.7,1259,2.3
20505,44,1300,658,260,1663,0.7,1273,2.3
20601,35,2149,1030,418,2678,0.9,2049,2.3
20602,37,2300,1108,421,2994,0.9,2141,2.3
20603,37,2200,1059,370,2852,0.9,2046,2.3
20604,30,1962,959,396,2368,1,1677,1.8
20605,38,2170,1289,420,3051,0.9,2069,1.9
20606,35,2287,1371,425,3232,0.9,2141,1.9
20607,34,2326,1322,451,3137,1,2270,2
20701,40,3000,1071,451,3186,0.9,2376,2.5
20702,43,2400,732,462,2132,0.8,1810,2.6
20703,38,2300,765,412,2285,0.8,1790,2.5
20801,45,3000,1098,520,3361,0.8,2487,2.5
20802,38,2396,1016,435,2791,0.9,2129,2.5
20803,41,2167,940,410,2543,0.8,1965,2.4
20804,39,2817,1157,416,3393,0.9,2374,2.4
20901,40,2167,915,399,2521,0.8,2027,2.5
20902,37,2000,776,371,2121,0.9,1668,2.4
20903,42,2167,950,431,2717,0.8,2427,2.9
20904,35,1900,747,371,1987,0.8,1790,2.9
21001,42,2167,810,410,2366,0.8,1935,2.6
21002,41,2014,901,400,2468,0.8,2183,2.8
21003,35,2000,804,381,2155,0.9,1795,2.6
21004,37,1750,870,369,2237,0.7,1939,2.6
21005,33,1834,627,369,1767,0.9,1658,3.2
21101,40,2000,796,400,2194,0.8,1884,2.7
21102,45,2500,867,459,2854,0.8,2449,2.9
21103,39,2000,851,385,2306,0.8,1865,2.6
21104,41,2200,802,410,2324,0.8,1931,2.6
21105,40,1950,809,380,2203,0.8,1882,2.7
21201,34,1866,830,361,2097,0.8,1874,2.8
21202,37,1900,748,370,2057,0.8,1850,2.9
21203,32,1950,804,386,2039,0.9,1955,3.2
21204,37,1800,634,350,1670,0.9,1493,2.8
21205,38,2383,747,440,2210,0.8,1894,2.7
21301,37,1700,604,346,1652,0.9,1494,2.9
21302,40,2167,930,386,2500,0.8,2006,2.5
21303,35,2100,965,376,2494,0.9,1998,2.4
21304,33,1800,784,351,2057,0.8,1873,3
21305,32,1924,837,370,2123,0.9,2014,3.1
21401,39,1800,805,356,2098,0.8,1653,2.5
21402,48,1989,761,380,2054,0.7,1555,2.4
21501,46,1043,699,215,1667,0.7,1242,2.2
21502,40,1283,694,265,1700,0.8,1341,2.4
21503,45,1083,663,200,1582,0.8,1231,2.3
21601,46,1300,668,250,1632,0.7,1267,2.4
21602,48,1300,629,250,1505,0.7,1192,2.3
21603,39,1300,712,260,1758,0.8,1398,2.5
21701,48,1083,667,220,1640,0.7,1236,2.2
21703,46,1300,699,250,1700,0.7,1271,2.3
21704,43,1430,761,283,1900,0.7,1451,2.4
29797,50,0,2200,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
