SA3_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
20101,21902,14504,15741,14392,14251,13656,12107,6773,2878,116201
20102,5043,2645,2608,3585,4600,5145,4575,2079,689,30975
20103,4125,2479,2355,2534,3654,4154,4352,2361,750,26759
20201,19389,12471,13979,12582,12136,12212,11096,6354,2812,103034
20202,8704,4611,4463,6101,7608,8128,7624,3923,1340,52500
20203,1968,1097,1027,1215,1603,2160,1887,899,371,12224
20301,4903,2475,2385,3131,3152,2896,2289,943,307,22483
20302,37090,26893,32338,27287,25859,24118,20738,12319,5340,211986
20303,17200,8541,9005,11854,11717,12569,13583,6650,2302,93417
20401,9613,6101,6040,6382,7638,9277,8764,4568,1622,60002
20402,7949,4789,4828,5081,6129,7116,6839,4093,1632,48454
20403,14093,8375,8716,9113,9705,10517,9363,4856,1745,76475
20501,10992,6125,7161,6589,6936,7599,7080,3953,1359,57775
20502,7307,4136,4389,4510,5626,7770,8702,4878,1518,48830
20503,11331,6090,6226,7392,8750,11542,12038,6106,2074,71548
20504,13658,8625,9789,8845,9304,10630,9318,5057,1948,77168
20505,7740,4688,5161,5195,5555,6652,6397,3101,1036,45525
20601,11619,10417,21846,15561,11163,8269,5590,3551,1854,89874
20602,8023,5387,10564,8777,7816,5591,3623,2306,1182,53270
20603,10376,8317,12396,10311,9435,7991,5602,2820,1461,68712
20604,10094,31487,52964,23165,11739,9233,6588,3141,1188,149601
20605,11629,8843,23122,18287,14680,11602,8052,4268,1468,101956
20606,5529,7027,17543,9668,6802,5886,5128,3515,1438,62539
20607,9683,9260,27093,15326,10373,8523,6265,3247,1288,91060
20701,26933,24255,21044,20408,23812,20747,15917,9829,4961,167900
20702,15716,10929,11449,13247,12510,12114,10197,8421,3807,98386
20703,16177,15592,16286,14215,14161,11831,9132,6292,3502,107187
20801,17682,12177,7912,11814,16260,14041,11081,6937,3422,101306
20802,27256,18760,23697,22987,21477,16955,13559,7592,4193,156469
20803,21734,12809,14549,17974,18452,15074,11578,7119,3404,122693
20804,6481,5769,6204,5375,5830,4796,3849,2560,1307,42162
20901,22430,13841,16254,18164,16921,14862,12694,7678,3400,126236
20902,14333,10763,18020,15112,12577,9727,6946,5050,2765,95299
20903,12433,8879,6015,8200,10593,9954,7072,3050,906,67105
20904,54300,30158,39618,40738,30640,24959,18646,9527,3439,252026
21001,10620,6835,6936,8213,8613,7191,6337,4844,2104,61687
21002,6875,3691,3020,4386,4939,4451,3491,1700,418,32969
21003,14739,9106,15141,12942,9447,7441,4939,3977,2805,80537
21004,8669,5343,6854,6225,5955,5513,3979,1834,689,45064
21005,47200,26949,34528,31844,23282,19715,12596,6151,1797,204071
21101,27118,18985,20226,22278,21558,20534,16008,8903,3539,159148
21102,4420,3821,1898,2789,4272,3820,2877,1735,749,26386
21103,20920,12869,14998,16781,15307,13555,10729,6543,2874,114579
21104,10935,7206,7442,9221,8593,6971,6188,4398,1983,62935
21105,28907,18020,19073,20308,21344,20163,16273,8503,2672,155256
21201,26793,14377,18610,17520,14493,11675,8722,4646,1493,118342
21202,26836,18085,18322,19428,18323,16492,11354,6024,2428,137287
21203,56214,29386,37361,38576,26931,19713,12305,5685,1779,227950
21204,32885,24111,33086,27822,22866,20781,17176,10518,4396,193644
21205,28404,26299,27994,24798,22637,19073,15737,11896,5990,182833
21301,32342,23593,29712,25432,23403,22022,17238,8959,3377,186067
21302,16186,8408,11195,13504,12418,10604,7780,4441,2064,86589
21303,13259,9001,19257,15258,10931,8225,5253,2669,1348,85209
21304,47629,24967,30609,33096,25099,17257,12804,5409,1565,198439
21305,74874,34675,52248,57834,31868,22475,14687,6174,1904,296748
21401,25833,15585,19076,19695,18983,16928,12919,7236,3017,139281
21402,27514,17256,14555,17834,22616,23203,24115,15833,6029,168948
21501,9869,5988,6896,6198,7280,9097,8082,4811,2123,60340
21502,10544,6455,7619,6720,7076,7383,6137,3505,1526,56972
21503,6612,3796,4503,4175,4431,5575,4945,2936,1297,38264
21601,6642,4110,3910,3906,4947,5730,5159,3205,1276,38889
21602,5053,2947,3055,3039,3661,4402,4581,2735,1050,30522
21603,13184,7939,8876,8147,8499,8472,7190,4253,1648,68206
21701,5919,3678,3532,3756,4688,5738,5411,2898,1184,36792
21703,6398,3905,4143,4060,4872,5753,5227,2972,1171,38497
21704,9488,5718,6237,6106,6714,7198,6448,3430,1445,52777
29797,0,0,6,16,3,14,4,0,0,38
29999,1143,1131,1819,1736,1393,1074,613,152,29,9089
