SA3_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
20101,27163,29279,56441,3492,3771,7262,455,577,1030,15667,17318,32989,388,410,796,195,233,426,157,173,334,96,120,214,99,87,194,56,59,115,0,0,0,17116,18975,36093,1324,1329,2656,447,395,840,22387,24468,46853,3033,3130,6161,52574,56883,109451
20102,8926,8858,17781,893,929,1824,110,105,214,3204,3255,6458,77,79,159,33,39,69,41,43,85,26,22,48,20,38,61,15,17,35,0,0,0,3528,3594,7120,171,175,343,63,56,119,4653,4753,9408,1168,1145,2313,14745,14760,29506
20103,7934,7666,15602,802,938,1740,73,83,149,2424,2508,4929,69,67,139,39,41,86,23,26,48,14,10,30,13,15,30,5,7,14,0,0,0,2668,2766,5432,59,86,151,59,41,100,3598,3827,7423,1511,1118,2625,13038,12610,25650
20201,24862,26415,51280,3316,3633,6949,492,617,1109,12550,14135,26687,360,392,746,171,203,377,151,162,311,73,82,158,97,103,196,68,85,158,0,0,0,13963,15778,29744,1012,1177,2194,342,405,744,18634,20990,39629,2846,3091,5941,46354,50502,96851
20202,14276,14587,28865,1756,1873,3630,259,253,512,5446,5732,11177,125,156,282,50,56,105,81,69,151,37,27,61,33,46,76,22,18,40,0,0,0,6049,6357,12408,350,390,741,110,71,183,8268,8690,16960,2345,1935,4281,24890,25208,50098
20203,3741,3544,7287,327,346,671,43,41,84,926,1022,1944,46,50,94,13,15,26,17,15,29,4,8,14,7,3,15,5,3,11,0,0,0,1054,1163,2216,39,57,101,26,17,50,1452,1593,3045,689,654,1337,5877,5784,11668
20301,6382,6061,12440,589,594,1180,42,46,93,2707,2788,5491,49,55,106,12,18,31,21,18,38,10,9,21,14,28,45,12,11,20,0,0,0,2870,2969,5838,76,87,160,38,54,96,3580,3705,7280,645,638,1286,10603,10400,21010
20302,50639,54051,104690,6948,7437,14386,865,956,1822,25712,28419,54127,564,705,1276,262,295,555,291,291,582,208,233,444,132,151,286,103,117,216,0,0,0,28135,31164,59300,4120,3675,7799,732,640,1376,39937,42922,82856,6505,5587,12093,97081,102558,199643
20303,20698,21816,42511,4796,5073,9871,368,421,794,12590,13815,26411,269,298,562,96,87,179,132,140,265,78,84,162,76,99,174,47,56,101,0,0,0,13652,15009,28654,894,978,1870,245,253,493,19584,21313,40890,2371,2524,4889,42647,45648,88293
20401,15589,15401,30988,2974,3234,6207,385,357,740,5652,5842,11498,417,365,782,118,95,215,93,89,184,46,47,97,124,87,213,47,38,86,0,0,4,6896,6916,13816,486,488,970,148,118,268,10504,10761,21262,2525,2430,4952,28618,28589,57205
20402,13335,13944,27281,2627,2833,5465,467,500,970,3323,3687,7008,199,249,443,56,68,126,72,77,151,29,38,68,47,58,102,18,17,39,0,0,0,4223,4688,8911,313,365,674,117,132,250,7279,8022,15299,1702,1787,3490,22315,23753,46065
20403,19095,19856,38953,3049,3232,6286,2068,2230,4296,6272,6718,12996,732,669,1401,154,150,302,181,162,345,81,77,161,141,147,284,125,132,262,0,0,0,9765,10271,20039,738,764,1507,282,259,542,13844,14531,28372,2586,2384,4970,35527,36770,72294
20501,13841,14365,28205,2797,3076,5876,160,163,320,6912,7554,14469,154,190,345,33,49,85,67,50,107,29,38,63,32,30,60,12,15,32,0,0,0,7394,8087,15483,380,422,802,187,165,349,10765,11750,22517,1737,1803,3542,26341,27921,54259
20502,12754,13026,25781,2518,2737,5252,450,445,893,4142,4460,8600,193,239,432,47,45,88,108,90,201,54,55,113,49,34,85,41,47,89,0,0,0,5080,5421,10510,300,338,639,152,119,274,8050,8618,16671,2072,2131,4202,22879,23776,46654
20503,17623,18031,35657,4132,4454,8582,205,236,438,7779,8328,16109,194,198,395,33,48,82,103,100,205,36,57,97,40,49,84,23,15,41,0,0,0,8415,9029,17446,391,471,862,184,142,325,13119,14101,27215,2620,2762,5382,33363,34893,68254
20504,20735,21143,41874,3534,4006,7541,226,242,468,6698,7309,14010,216,239,455,63,64,125,90,96,188,40,60,100,49,54,101,14,12,26,0,3,3,7400,8068,15465,479,563,1050,277,305,585,11693,12946,24640,3149,3222,6369,35573,37316,72881
20505,11714,11913,23622,2471,2638,5108,310,307,620,3574,3729,7302,276,289,565,98,83,177,70,69,141,45,45,97,51,46,98,45,40,86,0,0,0,4477,4603,9084,318,377,695,139,136,275,7411,7753,15163,2577,1774,4347,21703,21428,43137
20601,20131,22008,42134,1464,1527,2994,986,1133,2114,11988,12899,24887,547,677,1221,238,268,506,325,338,660,131,141,274,71,97,161,213,246,455,0,0,3,14486,15802,30289,3037,3480,6516,386,360,748,19375,21164,40545,1529,1544,3071,41032,44720,85749
20602,12988,14362,27355,976,1033,2006,368,444,808,6772,7554,14325,226,268,492,84,100,187,113,132,249,43,64,105,30,32,63,64,87,159,0,0,0,7700,8681,16384,1187,1445,2635,233,229,464,10100,11386,21483,878,972,1850,23966,26719,50682
20603,16766,18045,34811,1340,1507,2851,413,442,865,8392,8991,17381,298,328,628,126,155,278,177,168,345,42,63,109,48,51,94,83,75,153,0,0,0,9584,10277,19863,2199,2211,4412,211,212,426,13341,14215,27548,1455,1535,2996,31565,33793,65351
20604,15890,16529,32415,3223,3193,6414,2212,2226,4433,21049,19965,41015,1506,1578,3089,620,707,1327,972,929,1899,365,370,736,145,143,289,466,430,896,0,0,0,27331,26356,53688,19150,20891,40038,711,559,1275,50414,51003,101418,5879,5539,11419,72171,73073,145250
20605,19189,20465,39655,3010,3189,6201,1047,1167,2206,13748,14512,28257,598,691,1283,216,237,451,376,416,792,125,129,249,42,67,111,132,144,271,0,0,0,16277,17350,33622,5211,5429,10638,465,403,867,24961,26370,51329,3451,3339,6792,47606,50172,97779
20606,10851,12357,23211,1420,1526,2946,782,914,1688,9060,9612,18671,470,579,1049,224,239,463,309,387,699,96,107,203,29,32,63,97,99,195,0,0,6,11073,11972,23041,3260,3747,7003,241,225,468,15990,17461,33455,1788,2001,3793,28638,31815,60453
20607,16904,18230,35136,2157,2251,4408,1163,1310,2473,13523,13897,27421,728,833,1556,308,338,646,470,495,962,139,150,290,65,83,154,216,246,457,0,0,0,16603,17354,33949,3912,4277,8187,460,349,812,23136,24227,47361,2569,2308,4879,42611,44769,87376
20701,43629,48053,91684,3420,3667,7095,845,906,1749,19437,20604,40038,525,606,1131,296,317,613,409,419,829,118,124,242,88,79,170,117,125,240,6,6,8,21834,23184,45019,5420,6114,11539,338,324,660,31016,33293,64305,2458,2800,5258,77102,84143,161249
20702,26710,28985,55697,1702,1839,3548,297,312,609,10540,11290,21824,215,224,440,144,163,308,178,155,338,43,55,102,12,22,44,41,35,80,0,0,0,11477,12266,23739,3617,3829,7442,193,169,361,16990,18100,35090,1450,1603,3059,45156,48689,93843
20703,26320,29292,55607,1882,1948,3833,438,466,897,11677,12296,23973,266,304,573,163,159,316,190,162,355,100,91,192,55,43,95,75,67,143,0,0,0,12955,13590,26541,5912,5828,11745,335,288,621,21084,21652,42740,2105,2182,4290,49507,53130,102638
20801,27047,29800,56851,2844,3114,5959,395,451,842,10881,11741,22623,245,248,498,89,92,177,133,139,274,33,36,69,7,13,22,54,59,112,0,0,0,11840,12774,24623,2492,2664,5161,209,244,451,17394,18803,36197,1726,2082,3815,46171,50683,96859
20802,38127,41520,79647,3638,3734,7371,738,765,1500,18866,19707,38571,412,485,905,191,223,415,314,312,618,66,76,140,53,53,107,105,106,215,0,0,0,20741,21733,42477,6218,6366,12588,471,400,878,31072,32236,63308,2513,2875,5387,71717,76624,148346
20803,33361,36370,69739,2795,2989,5784,414,433,852,13960,15300,29259,247,288,529,93,100,191,138,147,287,38,38,79,33,42,81,37,47,85,0,0,0,14960,16401,31358,1920,2229,4148,331,351,677,20002,21975,41975,2031,2125,4161,55397,60473,115869
20804,10435,11539,21974,979,1051,2028,205,228,431,5007,5485,10493,138,152,287,63,74,140,80,93,165,37,30,67,13,7,25,30,34,68,0,0,0,5566,6100,11670,1474,1534,3011,97,91,191,8113,8786,16899,699,729,1428,19250,21049,40299
20901,35828,38306,74130,2570,2626,5195,458,522,984,13297,14370,27670,404,349,757,155,152,309,180,163,343,59,63,122,65,70,137,82,75,157,0,0,0,14712,15765,30478,2282,2364,4644,278,251,529,19836,21008,40843,2112,2095,4206,57777,61410,119185
20902,23929,25589,49517,1486,1552,3039,471,521,985,11064,11376,22443,288,319,613,117,179,299,154,152,300,64,82,149,61,59,121,69,88,154,0,0,0,12299,12769,25061,3609,3211,6814,359,332,693,17751,17861,35612,2462,2401,4862,44136,45852,89995
20903,22253,22506,44764,1191,1235,2433,134,146,279,5996,6117,12115,101,131,237,41,42,79,60,49,109,20,22,41,23,32,53,22,24,45,0,0,0,6393,6556,12952,446,532,975,127,98,227,8155,8428,16578,1159,1144,2305,31567,32081,63649
20904,64380,66133,130519,5004,5155,10161,865,906,1769,30746,31355,62101,582,558,1134,311,358,668,311,302,617,104,114,221,175,157,336,77,93,168,4,0,0,33176,33843,67020,6848,6714,13561,732,580,1309,45759,46300,92057,5461,5407,10867,115594,117841,233437
21001,18413,19710,38118,1236,1282,2521,137,128,267,6365,6633,12997,113,130,241,84,80,164,62,62,125,19,32,48,16,10,28,17,25,38,0,0,0,6811,7097,13912,780,720,1499,157,203,359,8984,9301,18282,1027,1060,2082,28427,30065,58485
