SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
20101,397,483,875,3974,5210,9179,0,0,0,424,472,897,121,119,242,11356,13539,24897,336,470,804,231,238,472,133,172,304,39,72,112,217,265,485,39,36,78,123,151,277,370,422,790,974,1229,2201,93,144,235,78,105,184,2247,3236,5479,968,1150,2118,17,32,46,21726,27051,48786,731,585,1317,417,346,765,30,31,59,9,12,17,333,310,646,161,285,449,506,606,1115,28162,27235,55402,187,159,342,76,139,215,28426,27535,55962,3747,3584,7331,55982,60219,116201
20102,102,173,276,1363,1552,2914,0,0,0,76,92,161,0,0,0,3046,3105,6152,36,39,77,116,102,219,15,32,46,13,17,24,45,62,111,0,0,0,27,28,54,60,71,124,240,277,514,22,24,46,16,26,45,522,629,1154,269,277,545,10,18,22,5880,6346,12230,46,41,86,33,30,68,24,10,34,0,0,0,12,11,23,51,90,140,61,102,161,7790,7268,15056,64,53,114,41,60,102,7895,7382,15277,1436,1404,2839,15481,15497,30975
20103,57,77,129,1689,1854,3537,0,0,0,74,90,168,0,0,0,2000,2177,4172,47,60,104,68,54,115,44,56,98,8,17,23,55,52,110,0,0,0,25,24,53,54,72,126,341,306,648,37,60,93,13,23,34,717,841,1557,205,238,447,19,9,28,5401,5909,11309,34,24,54,19,16,38,11,12,16,4,8,10,12,9,17,46,62,107,59,71,132,6302,5779,12078,28,23,52,17,32,54,6349,5837,12184,1650,1233,2885,13582,13170,26759
20201,585,739,1326,4258,5603,9865,0,0,4,1098,1291,2384,85,89,178,8983,10622,19614,61,79,142,172,136,310,112,131,240,68,86,155,135,174,306,62,47,110,83,109,192,499,625,1125,729,858,1591,55,95,153,134,135,273,2081,2899,4983,1004,1220,2220,15,11,23,19651,24216,43865,432,371,804,389,345,741,22,22,48,9,4,18,215,177,391,113,201,315,338,380,714,24390,23895,48288,179,126,304,51,97,146,24621,24117,48734,3427,3376,6802,49462,53577,103034
20202,171,226,400,2106,2548,4657,0,0,0,310,345,655,120,109,234,3917,4111,8027,49,61,110,138,128,261,26,37,61,17,14,34,64,82,144,3,4,3,54,56,113,116,128,245,378,432,812,33,35,74,15,23,39,929,1188,2118,396,488,877,20,22,39,8675,9818,18497,56,61,120,54,32,83,36,54,87,4,6,11,19,17,36,77,134,216,102,156,258,14062,13507,27569,126,100,223,50,112,160,14233,13729,27963,2842,2260,5101,26167,26336,52500
20203,40,50,92,734,818,1555,0,0,0,94,119,208,0,0,0,1000,1037,2028,23,30,48,16,18,35,0,3,3,3,4,9,18,17,37,0,0,4,3,12,15,49,55,99,142,172,314,11,15,26,8,11,15,403,437,841,103,109,209,0,3,6,2615,2854,5467,5,10,15,10,15,27,0,0,0,0,0,0,0,0,3,20,28,49,20,35,52,2705,2355,5058,6,13,15,9,13,14,2720,2378,5095,761,714,1471,6168,6053,12224
20301,37,55,94,913,1044,1962,0,0,0,161,154,312,0,0,3,2119,2198,4320,11,21,33,79,76,154,21,19,49,5,7,12,88,95,181,0,0,0,20,12,34,69,75,145,316,362,673,22,13,35,33,30,67,449,517,964,258,263,521,0,3,6,4557,4905,9462,18,17,37,27,25,48,7,0,7,0,0,0,6,3,7,30,35,58,34,39,70,5792,5235,11033,25,36,61,8,17,27,5832,5288,11112,845,802,1644,11359,11121,22483
20302,1013,1354,2361,6879,8894,15774,3,0,3,1731,2079,3812,83,86,170,22093,25599,47698,117,167,285,1699,1786,3486,256,362,619,110,122,236,588,766,1356,80,72,147,227,261,493,585,754,1342,1753,2262,4021,164,245,406,104,123,226,2988,4362,7353,2468,3000,5470,80,94,169,42042,51021,93069,2027,1358,3382,2204,1666,3872,64,64,135,5,5,17,933,794,1732,287,390,679,1227,1189,2421,46386,44771,91158,367,259,625,120,252,372,46869,45285,92154,8015,6577,14595,103468,108519,211986
20303,236,400,639,3940,4924,8873,0,0,0,639,758,1403,0,0,0,9053,10373,19424,30,43,76,448,404,854,99,123,229,21,29,48,170,243,414,4,3,5,77,98,177,180,204,380,755,856,1608,52,50,107,16,18,37,1589,2314,3905,766,962,1725,25,27,45,17875,21436,39308,171,131,305,103,105,204,47,42,91,6,0,4,92,60,155,62,108,179,159,173,337,23388,22561,45952,171,119,288,57,150,211,23612,22832,46444,3027,3055,6078,45240,48180,93417
20401,185,283,466,3198,3779,6973,0,0,3,261,279,536,0,3,5,5946,6236,12184,16,27,51,198,183,380,40,38,73,31,50,84,97,114,206,5,0,9,70,68,138,99,114,211,705,759,1462,57,65,126,62,71,130,1002,1279,2275,452,519,972,20,22,36,12264,13599,25857,92,88,186,96,98,192,13,20,35,7,3,10,60,60,116,86,121,208,153,185,340,14111,12784,26896,99,81,176,50,69,121,14260,12935,27193,2995,2740,5733,30066,29941,60002
