SOS_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS20,337226,225715,112718,43662,2643702
SOS21,73141,62176,31687,11678,474760
SOS22,9483,7718,3280,1031,47574
SOS23,46120,34103,12488,2418,217392
SOS27,15,4,0,0,40
SOS29,779,411,85,18,5907
