SOS_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOS20,9709,1255,35752,2099,630,6072,3471,4296,566,17127,2577,963,6768,1736,1218,240,13504,8101,2426,20588,6902,4757,1025,43808,1677,523,5025,2827,3820,533,14406,20515,5532,46039,10382,7304,1474,91247,3206,1111,9703,5654,6087,901,26654,10685,5653,22336,9243,7767,976,56650,34137,18052,57111,15780,13060,1842,139991,37090,19346,90749,39584,39695,5682,232144,2026,936,6519,2722,2639,293,15134,2891,1134,7673,7388,11000,818,30914,4305,941,10745,4886,5021,4204,30109,149797,62749,360551,149782,150270,24674,897826,877,214,2477,1476,2375,315,7730,702,131,1441,399,1304,98,4078,12731,2514,34570,18086,38481,3058,109442,3668,783,7488,2683,4860,428,19911,8015,1828,28069,19991,92333,3686,153923,6603,1457,18488,8414,12551,1315,48824,13863,3196,47551,25221,32652,4110,126596,6643,1138,24011,18519,20595,2587,73498,9419,1829,22255,15388,20966,2731,72594,6796,1865,16955,4965,4241,733,35556,19322,5427,47923,13886,8528,2033,97115,3675,1006,10754,5379,8050,1032,29902,50386,10995,110051,22025,14679,3416,211555,6587,1816,18604,10558,14041,1733,53335,20078,9178,41650,20021,19423,2125,112475,54469
SOS21,3561,369,6809,102,70,454,635,1301,109,2671,97,92,397,217,282,26,1102,214,148,1002,888,1093,146,3486,50,36,331,440,965,112,1924,846,487,2921,1420,1748,170,7587,128,118,713,882,1798,171,3821,947,875,3238,2944,3050,239,11288,3432,3600,10323,3570,4363,334,25629,3863,3837,14270,10439,13841,1370,47621,161,129,604,468,674,49,2084,176,130,703,1465,3147,158,5781,162,121,675,737,1186,760,3643,11258,10345,41878,30858,47817,5187,147354,243,131,1316,1220,3493,452,6853,54,19,202,183,1001,36,1487,719,280,3252,2843,12089,723,19898,281,124,891,745,2803,104,4950,408,223,2095,2984,26423,763,32889,197,84,993,1048,3331,210,5856,610,338,3375,3589,10272,860,19046,393,166,2039,2521,6424,583,12134,408,196,1521,2347,6519,495,11472,230,148,906,516,881,74,2755,526,290,2090,1634,1552,213,6307,101,60,633,739,1843,171,3553,2041,903,6622,2831,3210,317,15927,254,180,1253,1435,3839,305,7264,1796,1350,5796,5955,7291,515,22698,5092
SOS22,372,30,756,9,7,53,60,108,25,262,9,11,29,16,23,0,94,13,13,70,74,91,8,279,9,8,37,37,68,7,165,76,48,283,157,165,18,748,12,18,79,84,152,22,375,96,88,291,257,262,12,1010,328,340,1042,334,388,35,2466,278,311,1168,929,1194,149,4030,32,20,93,70,69,3,281,6,10,62,105,278,11,471,12,14,62,52,121,75,342,957,957,3929,2825,4381,513,13563,21,28,201,182,759,77,1267,3,0,17,15,146,3,189,35,30,224,234,1142,66,1732,17,11,77,61,275,13,457,17,24,195,265,2686,97,3283,13,10,74,79,317,27,516,36,28,295,301,882,97,1642,40,23,259,258,722,67,1372,27,14,109,153,586,62,951,18,22,65,44,66,3,219,43,22,146,122,130,19,487,8,7,63,66,154,14,319,187,76,588,274,321,30,1486,26,26,137,140,373,30,734,158,132,496,524,712,43,2071,502
SOS23,1169,161,2417,29,21,188,277,487,76,1084,55,38,189,103,101,16,493,101,54,383,308,316,45,1198,23,15,133,149,354,50,722,462,262,1653,763,849,122,4113,48,54,295,354,567,76,1394,413,411,1326,1166,1065,106,4482,1365,1414,4387,1494,1645,200,10516,1480,1570,5657,3881,4571,639,17805,87,78,365,286,368,45,1226,105,62,315,533,1162,87,2258,88,68,421,459,641,415,2088,4909,4754,19966,14277,19497,3073,66474,579,486,3913,4068,9918,1256,20225,45,12,178,117,779,39,1170,301,173,1460,1291,5334,316,8864,94,51,371,320,1210,50,2095,137,128,1153,1509,12629,443,16001,90,60,500,498,1617,151,2921,144,112,1266,1182,3318,374,6408,110,98,701,746,1976,249,3877,89,62,451,717,2804,238,4355,96,54,359,202,260,25,1004,202,103,795,542,460,67,2172,55,36,260,277,711,93,1435,1017,470,3475,1334,1495,208,8000,104,81,492,596,1434,146,2854,696,585,2285,2244,2751,222,8789,1898
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,20,4,61,0,0,8,5,4,0,13,0,0,6,0,0,0,9,4,7,3,0,3,0,15,0,0,0,0,0,0,11,5,0,12,6,4,0,36,4,0,6,3,4,3,24,4,3,14,3,10,0,33,20,6,18,3,7,0,53,20,13,37,20,29,6,123,3,0,9,4,8,0,19,0,0,7,5,4,0,17,4,0,5,3,6,7,24,75,35,204,76,136,22,546,6,0,13,5,22,0,54,0,0,5,0,0,0,4,5,0,23,3,37,3,78,0,0,3,0,8,0,18,0,0,18,11,101,3,130,5,0,4,0,14,0,27,0,5,19,9,31,3,67,7,4,46,15,34,9,115,3,0,22,10,24,0,59,4,0,10,4,0,0,18,7,4,20,0,4,5,44,0,0,7,4,6,0,16,22,4,35,17,11,0,84,3,0,18,11,9,5,52,12,3,32,8,30,0,83,22
