SOS_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS20,10968,16842,21141,18220,67425,91867,30924,76902,2539,336839,25575,61133,62408,56394,150382,183712,44669,83308,4828,672403,12416,25516,27204,18416,70132,85336,19777,30118,4629,293546,25906,66935,50382,29425,40386,28344,6820,10935,3928,263064,11872,40794,43179,27459,90840,66534,13207,18007,2597,314496,15495,68681,33137,13824,31831,24875,6080,9789,2395,206112,5262,14525,15797,9625,34667,31617,9383,15975,2762,139613,10815,51487,32196,15011,37164,27759,6789,10608,3501,195328,2485,4648,3806,2379,9039,8249,1554,3735,12300,48200,120800,350558,289244,190759,531867,548288,139205,259376,39491,2469590
SOS21,2069,2885,3283,2828,9332,12470,4641,11894,528,49923,4269,8058,9215,8899,16375,17051,5038,8872,599,78371,2850,4990,4695,3799,15826,20895,5095,8569,1103,67824,5614,12580,10936,7469,9582,7162,1793,2790,937,58866,2350,7313,7899,5391,14045,9461,2035,2597,459,51548,2780,13589,6468,3240,6265,4256,1064,1718,546,39929,1500,2383,2388,1728,6396,7517,2867,6305,649,31735,3156,13620,6595,4225,9693,8656,2397,3481,1220,53034,588,813,539,413,1371,1391,285,680,2356,8432,25172,66225,52025,37986,88883,88866,25211,46901,8401,439658
SOS22,235,425,390,342,852,1286,462,1500,75,5570,446,930,920,822,1260,1330,403,788,55,6951,334,626,539,424,1392,1928,485,894,138,6755,574,1212,931,664,679,578,143,240,105,5112,239,800,797,498,1015,728,144,215,49,4479,243,1033,570,289,484,373,95,164,66,3323,161,215,278,155,500,716,266,689,74,3049,384,1331,618,411,781,830,244,355,131,5078,82,82,55,35,87,102,22,80,258,805,2694,6645,5089,3630,7054,7871,2264,4917,948,41112
SOS23,1465,3749,3755,2878,4825,9708,3324,18802,1097,49603,1948,4420,4619,3785,5223,6258,2039,4246,351,32892,1399,2714,2310,1844,5814,9003,2218,5139,642,31088,2210,4930,3823,2242,2647,2457,598,1034,354,20303,1052,4283,3968,2389,4439,3496,679,1182,297,21775,955,4800,2209,1085,1758,1554,376,817,268,13827,804,1052,972,665,2126,3046,1146,3222,334,13365,1580,5804,2837,1846,3343,4039,1113,2380,599,23534,349,480,285,195,436,551,141,467,1428,4329,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOS29,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
