SOS_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS20,1333,1827,6954,10053,12685,19922,37741,47797,27823,166139,310,1450,6357,7350,8513,10370,10216,9659,5993,60230,10632,16911,44797,34748,27251,23656,23578,22069,16386,220036,104974,335491,801723,738619,630375,532498,411096,242613,105564,3902954
SOS21,531,507,1805,2079,2538,4559,9632,12273,7857,41772,63,206,748,839,969,926,781,700,395,5623,3076,3095,7787,7449,7168,7618,8969,8372,5570,59110,22227,50273,124304,120461,119368,124433,119593,69716,28444,778832
SOS22,41,28,120,135,229,471,949,1115,631,3717,5,9,30,29,27,35,47,40,15,235,327,303,644,781,899,1152,1205,850,521,6673,1950,3771,9136,10285,12232,15380,14022,6780,2369,75922
SOS23,200,123,465,586,944,1903,3782,4059,1574,13630,28,43,116,109,146,164,193,253,133,1195,1880,1475,3262,3983,5033,5838,5296,3051,957,30768,10671,19178,37641,46829,62742,72463,59683,25282,5959,340447
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SOS29,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
