SOS_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS20,1841,1744,3589,142391,134853,277243,5360,5176,10536,149590,141774,291365,1753,1692,3444,149985,142230,292215,6142,5820,11959,157880,149738,307618,1703,1667,3375,143608,135838,279445,5714,5318,11032,151026,142821,293849,1616,1562,3182,134871,128621,263493,5202,4843,10044,141691,135024,276713,1807,1844,3653,162406,155919,318326,7614,6695,14304,171827,164449,336276,1765,1647,3411,186508,183616,370126,10008,9106,19113,198284,194372,392652,1345,1317,2656,189284,200099,389379,8977,8816,17795,199601,210230,409834,1065,1033,2101,186526,193337,379860,8213,8007,16211,195800,202372,398176,888,923,1811,161627,164512,326137,6938,6249,13188,169457,171684,341136,896,934,1828,149970,158219,308192,6216,5731,11949,157085,164882,321970,905,849,1751,143049,153418,296463,5711,5119,10829,149661,159381,309044,620,743,1360,129999,138117,268116,5146,4574,9716,135762,143434,279194,536,507,1043,116588,127846,244436,4293,4119,8411,121415,132474,253885,909,1067,1972,327568,398884,726455,14199,17423,31627,342676,417374,760050,17650,17519,35169,2324377,2415512,4739888,99735,96986,196722,2441753,2530013,4971771
SOS21,1329,1316,2645,27839,26701,54537,1503,1411,2914,30671,29423,60097,1435,1344,2780,29794,27918,57711,1915,1810,3725,33143,31074,64221,1378,1279,2654,28919,27421,56333,1878,1805,3681,32169,30501,62669,1086,1010,2101,25803,23948,49750,1533,1483,3011,28423,26444,54868,859,872,1727,23615,22322,45941,1447,1287,2741,25924,24480,50407,765,822,1584,26956,27957,54917,1666,1690,3355,29382,30466,59848,681,789,1472,28671,31014,59681,1673,1708,3382,31026,33508,64536,542,600,1145,28009,30438,58452,1700,1814,3517,30256,32859,63110,451,538,991,25708,27581,53292,1610,1527,3144,27775,29651,57424,468,542,1007,26446,28591,55035,1600,1524,3123,28504,30660,59168,462,559,1025,26779,29511,56294,1524,1446,2972,28767,31524,60291,421,483,904,27001,30305,57307,1519,1402,2914,28942,32188,61125,329,431,765,28058,31611,59669,1502,1450,2952,29893,33489,63382,589,747,1333,93733,110591,204322,5634,6575,12205,99956,117909,217869,10802,11332,22139,447329,475906,923237,26700,26940,53643,484834,514183,999013
SOS22,90,98,189,2121,2112,4233,150,100,256,2366,2314,4677,95,92,191,2510,2388,4896,161,175,332,2771,2655,5428,95,85,185,2707,2492,5198,203,195,398,3007,2771,5775,80,67,144,2165,2132,4300,171,172,342,2422,2365,4788,40,54,97,1788,1601,3393,159,131,287,1990,1790,3776,50,41,86,1917,1940,3859,151,124,277,2120,2104,4224,42,55,94,2197,2338,4531,141,148,289,2380,2539,4919,42,44,86,2267,2466,4732,178,182,357,2480,2686,5170,38,47,82,2294,2399,4692,169,178,346,2506,2616,5119,41,30,73,2536,2737,5274,201,193,394,2785,2959,5746,47,63,107,2914,3043,5964,251,173,430,3214,3282,6499,44,51,87,3270,3403,6674,264,234,496,3571,3685,7257,47,39,83,3727,3827,7551,249,243,494,4019,4109,8129,77,73,147,10849,10613,21460,812,747,1561,11740,11426,23172,822,832,1652,43281,43485,86759,3264,2991,6249,47368,47303,94668
SOS23,287,277,560,8903,8622,17523,636,624,1259,9827,9524,19348,321,313,631,11421,10577,21993,995,889,1885,12737,11776,24517,383,364,747,13355,12433,25787,1151,1065,2223,14889,13863,28752,258,305,563,12473,11347,23817,1019,970,1989,13752,12624,26374,234,185,420,9449,7942,17393,752,636,1388,10442,8759,19202,222,143,359,8322,7862,16189,687,646,1333,9232,8653,17880,217,148,361,9058,8909,17963,757,697,1450,10032,9745,19780,219,149,366,10138,10332,20476,861,837,1694,11216,11318,22536,174,161,333,11110,11037,22147,923,907,1828,12197,12112,24312,172,147,318,13167,13296,26463,1095,1039,2138,14434,14484,28923,200,198,398,15489,15542,31030,1275,1151,2427,16957,16892,33853,202,154,356,16496,16427,32923,1303,1181,2484,18007,17764,35770,167,155,323,17442,16382,33822,1368,1208,2572,18974,17743,36717,279,196,479,45131,38572,83701,3692,3077,6767,49104,41842,90947,3341,2885,6228,201957,189277,391234,16505,14938,31443,221807,207104,428903
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,3,3,3,5,5,6,9,0,0,0,4,0,4,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,13,24,3,27,36,6,38
SOS29,19,25,42,178,153,331,26,15,43,222,189,414,6,14,25,174,144,319,26,22,54,208,181,393,7,14,24,125,139,261,24,20,47,161,175,334,18,14,28,194,188,378,23,31,52,234,229,459,27,20,49,282,278,555,35,28,65,345,321,671,23,22,40,379,381,756,74,52,126,474,450,928,18,21,43,358,351,713,81,51,134,463,425,892,23,22,45,382,328,706,118,59,174,515,416,929,23,20,41,339,253,597,119,45,166,488,321,806,22,20,36,354,183,538,114,40,151,483,238,723,23,5,33,275,183,453,129,47,184,427,242,668,12,9,24,243,179,419,87,26,115,353,212,563,9,4,13,212,189,397,76,31,103,288,217,511,11,9,18,387,238,626,102,54,154,496,300,797,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
