SOS_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS20,56155,27168,28546,55721,27155,29026,56181,27594,28743,56333,26595,28214,54808,135762,143434,279194,26127,27968,54096,24870,27159,52033,24383,26402,50784,23383,25652,49031,22653,25288,47943,121415,132474,253885,22411,24577,46990,21328,23788,45122,20124,22911,43035,19654,22372,42030,19011,21795,40806,102523,115457,217982,18542,21584,40128,18088,20917,39006,17317,20111,37426,17405,20343,37750,18319,20966,39290,89682,103927,193601,15138,17186,32326,13905,16164,30069,13157,15455,28608,11519,13746,25269,11401,13452,24852,65119,76002,141129,44952,56749,101696,25869,37596,63465,11605,20563,32170,2691,6245,8930,234,845,1079,2441753,2530013,4971771
SOS21,11367,5660,6242,11907,5729,6377,12107,5910,6794,12699,6197,6855,13047,28942,32188,61125,6031,6803,12833,5994,6716,12708,6100,6782,12884,5926,6703,12632,5840,6490,12326,29893,33489,63382,5889,6507,12398,5860,6672,12528,5745,6506,12246,5879,6676,12555,5845,6290,12130,29213,32648,61866,5687,6098,11785,5570,6187,11752,5418,5938,11355,5405,5732,11137,5578,6163,11746,27656,30122,57773,4538,4943,9483,4179,4678,8855,3905,4395,8305,3442,3961,7400,3402,3909,7307,19464,21883,41346,12898,15514,28411,6956,10111,17067,3082,5694,8770,636,1695,2327,50,247,298,484834,514183,999013
SOS22,1320,670,712,1387,711,755,1466,751,754,1504,782,799,1581,3571,3685,7257,816,862,1672,800,799,1608,826,769,1594,821,835,1658,761,839,1602,4019,4109,8129,800,763,1566,774,763,1535,789,718,1516,738,718,1457,778,650,1429,3887,3611,7500,702,639,1338,781,691,1470,625,584,1208,696,564,1261,658,584,1235,3464,3055,6522,560,463,1025,484,428,917,443,437,875,368,345,712,347,370,714,2206,2046,4246,1232,1299,2536,639,821,1452,252,425,677,64,152,213,0,23,23,47368,47303,94668
SOS23,6862,3369,3392,6757,3635,3554,7194,3710,3694,7409,3865,3683,7550,18007,17764,35770,3987,3705,7685,3681,3596,7272,3889,3617,7508,3733,3507,7238,3685,3321,7009,18974,17743,36717,3699,3321,7022,3529,3195,6728,3503,3051,6552,3510,3028,6546,3244,2711,5957,17489,15311,32797,3219,2704,5924,3015,2597,5609,2905,2370,5275,2808,2262,5074,2777,2249,5024,14725,12180,26899,2309,1760,4070,2045,1624,3668,1688,1452,3135,1515,1255,2775,1491,1230,2721,9043,7320,16362,4920,3998,8923,2035,1978,4009,734,832,1568,158,202,362,8,11,19,221807,207104,428903
SOS27,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
SOS29,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
