SOS_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOS20,17410,21899,12680,13980,16620,7077,4781,5350,1404,101209,26283,26373,22801,39665,29585,13847,9241,10672,2670,181128,37407,17779,130521,50184,38335,21511,25344,31255,6271,358609,2003,1332,2254,3204,4359,2829,1725,2837,270,20811,4629,3478,3589,6475,7329,3911,2566,3376,628,35985,2117,4164,1650,1604,1872,1086,973,1200,439,15107,3571,5395,3542,4283,4289,2747,2486,3449,6243,36008,273036,633799,221769,193837,215846,98681,70031,87065,32022,1826085
SOS21,2852,3657,1756,3184,2690,906,604,863,234,16747,4698,5076,3411,9949,5437,2046,1281,1941,449,34287,11473,4737,40267,17269,11738,6754,9248,11763,1937,115186,530,270,601,956,1129,931,507,1082,56,6060,774,466,614,1477,1239,739,594,854,112,6868,235,414,217,262,261,104,132,233,52,1920,731,869,813,1174,813,699,674,1308,1023,8106,35955,73528,51579,44020,31611,15069,14501,21022,4856,292147
SOS22,310,390,166,297,225,83,37,85,19,1615,425,478,299,796,449,193,65,168,39,2922,1400,447,4129,1448,1037,624,1010,1233,204,11528,55,26,61,99,115,72,28,121,7,583,74,58,59,131,89,56,46,75,13,597,23,35,22,22,18,8,10,13,7,155,96,98,96,126,74,94,91,148,80,901,3890,6543,5167,3751,2777,1381,1366,2111,466,27456
SOS23,3222,1873,787,1290,1300,401,219,526,165,9787,3159,2078,1360,3043,2165,693,365,867,191,13915,11499,1864,18434,5418,4529,2262,4605,5590,946,55141,543,148,266,371,540,308,179,435,34,2819,841,217,349,507,608,273,249,404,60,3503,228,200,95,92,113,45,26,97,29,919,1266,481,465,480,482,380,327,673,512,5071,31773,30722,23365,14392,13381,5380,6323,9994,2443,137765
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
SOS29,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
