SOS_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS20,156971,681953,661946,193696,101542,1796101,23508,1819615
SOS21,19560,136002,147902,48435,25582,377482,6796,384277
SOS22,1087,11686,14419,5794,3402,36391,737,37124
SOS23,1726,26602,56675,32354,29281,146641,2573,149218
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
