SOS_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS20,53653,12619,105646,835226,1108068,460271,314082,1136625,224678,4078935
SOS21,14541,4212,28468,148311,217413,104400,78100,207791,56018,812034
SOS22,1119,391,2369,13882,21826,11276,8973,16375,6461,78795
SOS23,2306,903,5963,65495,96696,53383,42734,64628,33347,356286
SOS27,0,0,0,0,3,0,0,8,27,38
SOS29,12,17,29,1148,1118,391,326,1694,3270,7946
