SOS_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOS20,2278,32407,371,32774,..,10262,2203,12465,90,12551,..,26253,6357,32610,228,32833,..,79756,34521,114275,846,115120,..,191423,41280,232697,4178,236876,..,1395000,263026,1658028,16283,1674310,..,23399,5374,28770,207979,236748,3060711,1418400,268395,1686800,224268,4971771
SOS21,122,1214,13,1234,..,1176,327,1502,10,1509,..,1265,352,1614,17,1631,..,1944,1125,3067,61,3128,..,16138,3720,19854,466,20322,..,79006,13999,93006,1396,94398,..,3135,485,3623,56096,59721,844895,82146,14481,96625,57496,999013
SOS22,0,11,0,11,..,87,31,117,0,118,..,31,7,42,0,42,..,61,30,84,0,86,..,726,107,838,16,849,..,3141,400,3548,51,3597,..,214,20,232,6318,6554,84522,3357,416,3777,6371,94668
SOS23,13,95,0,98,..,357,167,521,11,529,..,281,43,321,0,321,..,298,128,425,3,428,..,3316,424,3740,65,3800,..,15944,2318,18261,230,18488,..,839,81,921,34317,35235,375179,16786,2398,19180,34543,428903
SOS27,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
SOS29,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
