SOS_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOS20,1983259,2095680,4078935,910378,568353,1478734,300451,530115,830566,69453,90839,160292,73488,64850,138333,1353763,1254160,2607921,530992,743155,1274146,5.4,5.2,5.3,68.3,59.8,63.9,64.6,56.8,60.5,176473,184606,361077,41947,81126,123069,391636,469663,861299,179970,223377,403354,329674,175402,505076,13571,20400,33968,24350,36690,61045,367601,232489,600090,1936149,2017740,3953890,363888,375221,739113,1225277,1294369,2519646,949972,980243,1930218
SOS21,388853,423180,812034,160837,89021,249860,48694,107535,156233,14547,19024,33570,11424,9529,20948,235495,225109,460605,128886,172239,301128,4.8,4.2,4.5,60.6,53.2,56.7,57.6,50.9,54.1,11022,14263,25281,5796,13835,19631,34870,56738,91606,29767,46821,76591,105142,58145,163289,3640,6457,10094,5081,7424,12507,113865,72023,185891,384788,408410,793198,62956,68143,131101,242328,255882,498215,179694,195881,375571
SOS22,39223,39569,78795,14589,7519,22103,5014,10347,15363,1651,1993,3644,933,737,1664,22183,20598,42782,14017,16148,30170,4.2,3.6,3.9,56.6,52,54.3,54.2,50.2,52.2,976,1311,2289,609,1330,1936,3114,5503,8618,2736,4538,7282,11429,5372,16802,313,656,971,504,678,1185,12245,6706,18960,37988,38013,76002,5187,5356,10545,26166,25837,52004,15047,15534,30581
SOS23,184354,171931,356286,80282,39377,119657,23698,50233,73932,7992,9141,17133,3471,2757,6227,115450,101508,216956,54461,57304,111759,3,2.7,2.9,62.6,59,60.9,60.7,57.4,59.1,4504,6218,10724,2485,6222,8712,15782,26379,42161,13377,20317,33698,52180,21546,73722,1431,2702,4133,2337,3176,5512,55945,27419,83365,180010,170168,350178,19020,18968,37989,133903,125007,258912,56914,56263,113184
SOS27,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
SOS29,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,21.3,28.9,28.4,28.7,22.4,22.9,22.6,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
