SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS20,2441753,2530013,4971771,149590,141774,291365,308908,292563,601471,141691,135024,276713,171827,164449,336276,397885,404599,802484,365252,374061,739313,306744,324269,631012,257175,275902,533084,192208,219376,411584,110073,132756,242825,40398,65245,105646,2375510,2462339,4837844,66251,67680,133933,16516,16484,32998,649,570,1217,480,464,954,17650,17519,35169,1484529,1522011,3006540,848499,901675,1750172,1511306,1549406,3060711,810422,863889,1674310,1980271,2059350,4039621,45002,42428,87428,290749,275835,566594,117452,116453,233904,81670,85336,167010,99200,140597,239795,1254883,1366413,2621286,197796,188527,386324,221322,201405,422723,93493,90979,184471,80156,102534,182689,25980,34304,60286,2295107,2379967,4675071,134707,135581,270293
SOS21,484834,514183,999013,30671,29423,60097,65309,61577,126891,28423,26444,54868,25924,24480,50407,60410,63972,124388,58034,62512,120541,57277,62187,119458,58832,65674,124510,56871,62767,119641,32359,37403,69758,10722,17740,28468,464070,494787,958858,20759,19395,40157,10222,10735,20953,324,313,639,259,288,550,10802,11332,22139,384078,407922,792003,70296,75279,145571,409340,435557,844895,45652,48749,94398,426870,454423,881292,8665,8413,17083,60278,56935,117214,20186,20220,40405,6320,7750,14078,10117,20585,30702,160211,200532,360742,62431,62884,125315,78541,71529,150068,33763,31203,64968,22320,23244,45562,2795,2846,5638,445928,473780,919707,35258,36856,72119
SOS22,47368,47303,94668,2366,2314,4677,5776,5423,11200,2422,2365,4788,1990,1790,3776,4494,4639,9144,4987,5302,10289,5995,6247,12240,7590,7792,15387,7353,6668,14017,3432,3349,6783,950,1415,2369,44705,44979,89688,2656,2326,4983,769,780,1549,33,23,61,24,22,48,822,832,1652,38442,38481,76929,5056,5227,10284,42261,42260,84522,1704,1894,3597,42430,42491,84927,660,654,1313,5326,4975,10304,1659,1748,3410,426,541,969,712,1647,2361,14471,18484,32954,6563,6165,12721,8529,6769,15299,3857,2870,6732,2185,1881,4073,127,113,240,42531,42820,85348,6200,6105,12308
SOS23,221807,207104,428903,9827,9524,19348,27628,25643,53269,13752,12624,26374,10442,8759,19202,19262,18401,37655,23421,23422,46846,31393,31378,62773,36977,35508,72485,32210,27492,59700,13965,11317,25286,2926,3033,5963,211307,198418,409722,10496,8682,19182,3161,2755,5915,105,67,165,75,68,141,3341,2885,6228,180744,168187,348928,22437,21977,44415,192589,182593,375179,9185,9307,18488,194890,184388,379277,2849,2698,5544,25088,23382,48473,9808,9648,19463,2532,3050,5580,2781,6730,9512,67735,86738,154470,31446,26976,58421,41627,26348,67977,16613,10696,27309,9412,6227,15637,683,521,1204,197193,189230,386425,21683,16479,38166
SOS27,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
SOS29,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
