SOS_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS20,543,124,1494,871,1684,182,4893,514,88,1039,315,1196,85,3229,8422,1470,21723,12004,31578,1999,77190,2338,405,4711,1740,3891,270,13358,5513,1085,20440,15167,86749,3012,131960,4075,807,10729,4893,9220,814,30539,7767,1301,21187,10575,16342,1784,58956,3447,474,11573,10039,10885,1333,37749,7322,1204,16184,11914,16672,2171,55467,4221,908,10186,3231,3020,489,22054,11220,3006,27330,6978,3769,1010,53307,1996,484,5725,2558,4230,502,15500,29878,5458,64006,11644,7383,1941,120309,3384,703,8902,4899,7959,830,26677,9396,3525,19319,10780,11657,1150,55825,20333,5778,21482,4580,4384,712,57271,17370,4330,29589,8803,9701,1602,71395,1731,585,6513,2657,3462,348,15294,2714,625,5799,4789,17845,787,32566,5858,815,12957,6170,13505,5420,44727,148037,33171,320871,134595,265132,26441,928259,328,89,989,609,690,133,2832,187,46,405,87,104,18,847,4312,1042,12849,6087,6904,1058,32258,1325,376,2775,943,969,163,6548,2502,748,7630,4825,5587,678,21965,2526,654,7757,3518,3328,500,18284,6100,1893,26369,14645,16310,2328,67642,3200,666,12446,8479
SOS21,159,67,750,764,2721,277,4731,35,17,148,142,934,26,1312,496,165,2027,1831,10134,501,15158,190,66,616,536,2423,81,3915,275,126,1440,2016,24813,633,29307,136,48,619,628,2615,135,4177,319,111,1435,1331,4967,322,8485,197,64,874,1114,2861,215,5316,304,126,1061,1714,5214,383,8798,135,57,509,298,599,52,1653,314,145,1088,747,462,63,2816,57,18,306,297,880,65,1623,1203,418,3704,1409,1464,148,8343,124,58,543,549,2040,132,3442,845,477,2559,3014,4241,279,11412,1660,1122,3544,912,1354,124,8714,1608,679,3457,1747,2758,287,10543,120,61,528,351,809,45,1913,202,87,539,579,5312,140,6853,234,71,750,599,3698,922,6275,8612,3985,26487,20585,80295,4834,144793,84,59,568,454,779,176,2123,15,0,50,40,62,7,175,218,115,1225,1007,1957,221,4738,88,56,279,212,376,24,1033,134,91,654,965,1603,131,3584,57,38,370,416,718,71,1676,294,223,1942,2257,5308,534,10559,199,106,1169,1410
SOS22,12,16,118,112,616,55,924,3,0,10,16,137,3,171,20,18,136,143,953,45,1325,14,3,52,46,254,3,375,12,13,107,178,2520,85,2908,8,7,45,49,255,20,381,14,7,116,101,404,37,692,16,9,112,90,349,40,622,16,6,60,92,476,43,697,12,10,33,29,41,3,121,26,11,74,47,34,12,208,0,3,21,30,90,4,155,110,31,309,123,151,17,737,11,10,51,56,221,10,358,66,47,204,273,448,29,1064,178,114,356,103,136,23,906,97,48,224,133,214,14,726,19,13,74,44,90,6,244,15,5,40,38,595,10,701,10,3,64,59,352,83,571,665,382,2208,1762,8334,546,13889,5,9,84,74,141,23,338,0,0,6,0,10,0,19,14,12,89,86,189,16,410,11,5,31,11,20,5,78,5,13,89,92,168,14,378,3,0,29,30,59,3,130,20,16,177,196,482,54,947,17,13,151,168
SOS23,326,161,2036,2314,7805,766,13417,31,0,132,89,724,29,1010,182,79,844,767,4452,188,6515,46,26,215,222,1071,33,1618,92,58,706,938,11758,342,13907,57,32,275,295,1241,87,1980,72,31,436,355,1545,121,2556,42,29,239,254,812,87,1461,63,35,260,439,2315,165,3273,44,15,176,102,157,16,512,104,56,409,234,148,22,971,30,25,133,132,359,40,712,558,205,1821,571,644,83,3888,55,24,194,243,867,68,1455,283,173,963,1083,1685,112,4311,536,425,1138,357,550,54,3061,512,235,1075,544,828,98,3289,54,33,265,172,457,31,1013,72,35,178,190,2718,78,3271,94,32,337,311,1817,480,3081,3247,1714,11844,9606,41966,2914,71296,257,322,1877,1753,2111,484,6811,14,12,41,31,56,6,158,119,93,606,520,885,124,2348,48,22,152,102,137,12,474,44,68,443,572,875,99,2095,33,32,225,209,379,66,942,75,81,831,829,1771,251,3846,67,69,455,490
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,8,3,17,0,34,0,0,6,0,0,0,5,5,0,10,0,30,0,56,0,0,0,0,8,0,15,0,0,18,9,97,0,123,3,0,0,0,13,0,13,0,0,3,3,23,0,34,0,0,18,11,13,3,50,3,0,16,6,22,0,45,4,0,6,4,0,0,10,6,0,11,0,4,3,24,0,0,6,0,0,0,12,13,0,21,12,8,0,54,0,0,10,10,9,3,27,7,0,18,5,24,0,48,7,3,3,4,0,0,23,14,3,11,6,6,5,45,0,0,7,0,4,0,13,0,0,0,0,10,0,21,0,0,9,9,13,11,44,77,10,187,85,299,34,695,4,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,14,3,11,0,23,0,0,7,0,0,0,5,0,0,0,0,4,0,8,0,0,3,0,4,0,7,0,5,13,3,11,3,34,3,0,32,8
