SOS_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS20,262,3271,102,56744,409,86,176,261,234,397,125,285,175,1176,11657,14976,349,103,220,226,106,170,41,162,116,2655,2701,6839,114217,23154,3020,64731,8939,44338,4625,32598,5590,148626,16651,466486
SOS21,59,563,20,6074,84,22,22,82,36,101,22,97,46,417,3244,4173,87,29,59,74,18,52,13,46,41,1054,874,2349,18371,5002,848,14639,1932,8954,1234,8296,1643,45244,4903,111063
SOS22,3,73,6,600,7,9,5,3,5,14,0,4,6,40,380,468,13,10,13,12,3,6,0,9,4,134,97,301,1618,688,133,1544,210,1023,150,1056,214,4927,556,12123
SOS23,58,385,7,4608,73,19,20,71,27,100,12,69,29,203,1725,2359,128,52,69,96,25,46,19,41,36,410,414,1342,10047,3665,773,8659,1109,4843,796,4697,1049,17692,2532,55871
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
