SOS_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS20,50221,118009,321722,306172,247668,176488,52091,7321,581,1280281,116,386,1190,1174,1178,803,275,71,0,5190,5,42,233,326,303,114,28,3,0,1054,2427,3485,10669,12733,13308,8912,1772,153,7,53477,31,368,2182,2934,1863,815,125,7,0,8321,371,2230,8505,8272,6725,4225,1023,116,0,31473,331,1649,5790,6964,6690,4052,895,90,5,26471,16697,24544,28244,20970,20275,14183,3327,288,12,128547,22512,16894,16607,9582,7759,5005,1042,89,7,79496,346,2012,6368,6625,6227,4071,782,48,5,26482,580,1496,4903,4757,3258,1539,359,40,6,16937,176,2912,15139,17784,11664,5375,1110,89,5,54256,260,1556,5519,4565,3886,2369,780,137,17,19092,585,7788,33703,28751,19427,10388,3081,341,20,104086,537,3483,10894,8994,8359,5593,1480,130,9,39469,377,3431,15936,18127,16286,10601,2126,201,7,67095,2994,10176,36657,37751,35740,25178,5701,414,14,154621,2712,22279,71274,61212,55127,42269,10348,648,20,265894,2171,3250,5388,4439,3462,1963,591,81,8,21352,1200,4082,10992,9351,8157,5326,1289,124,11,40540
SOS21,13055,18891,48636,47067,44468,37882,12183,1741,163,224078,152,356,970,771,691,599,303,103,11,3952,3,17,62,47,69,51,3,0,0,269,715,671,1869,1974,2028,1587,323,17,0,9183,14,91,329,398,371,222,40,4,0,1471,100,404,1381,1390,1292,943,234,21,0,5764,74,193,638,649,713,548,131,11,0,2976,4292,3264,4496,4095,4765,4195,955,58,0,26115,5055,2533,2872,2273,2201,1818,478,33,3,17265,72,314,1060,1070,1203,1036,250,21,0,5022,72,153,355,383,335,247,67,13,0,1615,36,289,1250,1445,1225,747,131,14,0,5136,46,281,659,603,646,407,133,19,0,2800,113,621,2344,2560,2018,1440,514,57,0,9654,158,484,1408,1594,1637,1367,335,36,0,7024,118,643,2859,3586,3679,2712,593,37,0,14215,487,1609,6268,7238,6939,5190,1173,61,0,28958,731,4000,12951,11929,12648,11688,2641,107,4,56703,315,348,637,656,563,412,131,16,0,3076,347,828,2034,1723,1490,1043,326,42,5,7833
SOS22,1090,1466,3637,4012,4552,4616,1644,228,22,21257,24,32,122,110,129,122,61,21,0,624,0,7,3,11,3,5,3,0,0,34,59,47,123,133,211,169,41,5,0,786,0,8,27,29,34,20,3,0,0,117,9,37,124,134,128,108,24,5,0,567,15,23,43,42,57,69,7,0,0,264,342,208,327,372,440,438,115,11,0,2252,438,196,291,217,244,290,67,5,0,1753,18,44,60,77,144,147,38,4,0,530,0,12,24,30,36,25,12,0,0,127,5,14,98,87,123,73,7,0,0,414,7,18,33,50,68,39,14,0,0,226,9,50,186,218,230,173,63,9,0,922,23,31,102,119,150,174,38,6,0,646,4,35,199,312,351,274,57,0,0,1234,38,120,477,670,730,597,134,6,0,2780,72,265,841,929,1182,1323,264,7,0,4882,32,30,67,94,77,69,30,3,0,396,33,69,146,135,136,96,29,4,0,640
SOS23,6651,7807,14609,18457,24663,25293,11331,2791,370,111976,390,494,1308,1673,2264,2926,2364,784,82,12282,4,26,34,56,73,46,12,0,0,260,397,263,548,744,1162,950,274,38,0,4374,10,31,108,169,179,133,19,0,0,649,64,172,550,793,962,744,186,22,3,3482,71,104,247,303,442,383,94,16,7,1665,1711,1027,1085,1263,1955,1719,390,37,3,9191,2022,802,682,660,904,834,250,29,0,6174,45,99,252,352,617,545,173,17,0,2106,21,41,115,127,169,142,39,7,0,661,18,83,295,463,490,362,90,4,0,1797,35,64,181,213,249,205,75,15,0,1032,101,297,789,1211,1340,1014,337,31,0,5113,69,133,354,448,692,607,154,16,3,2483,98,313,778,1287,1649,1267,228,13,0,5638,245,564,1712,2586,3380,2764,686,36,0,11970,315,1274,3196,3774,5522,5613,1274,54,0,21016,212,215,303,316,404,326,82,7,0,1868,180,263,611,622,737,578,172,18,0,3179
SOS27,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,43,104,316,210,182,131,36,7,0,1022,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,13,5,9,0,0,0,0,32,0,0,0,5,0,0,0,0,0,5,0,0,6,3,0,3,0,0,0,17,4,0,5,4,6,0,0,0,0,12,9,9,20,14,9,10,3,0,0,68,16,32,50,3,7,8,0,0,0,114,0,0,12,3,9,6,0,0,0,29,0,0,5,6,0,0,0,0,0,13,0,0,12,5,0,0,0,0,0,21,0,4,3,0,0,0,0,0,0,10,0,3,13,5,6,12,0,0,0,39,0,0,15,6,4,6,0,0,0,30,4,6,8,9,5,9,0,0,0,46,0,7,18,18,16,8,0,0,0,65,0,18,54,26,23,33,3,0,0,156,3,0,11,8,0,0,0,0,0,25,0,6,4,5,7,0,0,0,0,22
