SOS_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS20,25670,23766,49433,6844,9394,16238,318,123,447,8987,11420,20409,3003,2795,5798,676052,479722,1155773,33572,47011,80587,10216,219,10435,5307,616,5928,13387,5790,19173,6486,3913,10396,23376,26830,50211,813221,611602,1424823,4773,5880,10649,7,3,10,2642,3276,5915,4506,2810,7314,620,1306,1923,1200,674,1872,13743,13946,27687,23,0,22,634,817,1453,526,442,972,557,1133,1688,281,370,657,2025,2764,4787,7597,5092,12681,23358,21797,45157,4047,4984,9030,321,410,734,435,249,680,4808,5636,10442,329905,372973,702876,103289,172988,276279,5701,4314,10010,1280281,1189306,2469590
SOS21,1179,908,2089,584,643,1226,90,22,114,27,19,44,287,283,566,153654,124412,278068,10003,10697,20700,2577,69,2648,701,100,796,1784,680,2456,1048,584,1631,5533,6353,11884,177462,144772,322230,128,183,312,0,0,0,51,51,107,374,256,630,75,64,135,84,26,101,706,581,1289,7,0,7,0,0,0,78,59,145,60,107,168,28,29,59,177,193,372,1502,763,2269,2390,1540,3928,200,192,394,22,37,58,68,24,93,290,251,540,24101,35708,59802,18367,32083,50451,1466,1238,2700,224078,215583,439658
SOS22,32,15,48,59,45,105,4,7,11,4,0,3,13,6,16,14160,11241,25402,758,718,1474,397,12,415,57,5,61,122,50,165,169,79,244,905,955,1862,16671,13130,29805,10,0,11,0,0,0,0,0,0,16,13,25,0,4,7,3,0,3,29,21,52,0,0,0,0,0,0,6,3,9,3,6,8,0,0,0,8,9,18,139,73,214,172,99,279,9,8,13,0,0,0,5,0,8,16,8,23,2384,3367,5749,1812,3068,4884,191,182,373,21257,19858,41112
SOS23,196,124,319,245,131,371,26,12,36,11,15,23,41,25,63,65614,52609,118223,3644,3649,7290,2810,79,2892,716,149,866,342,107,451,980,457,1445,5227,3049,8272,79845,60404,140252,18,11,31,0,0,0,9,3,13,116,56,173,20,18,34,16,6,15,176,91,266,0,0,0,0,0,0,21,15,39,21,46,62,10,11,17,56,72,122,832,309,1144,1062,472,1530,47,27,71,5,4,13,88,15,99,134,51,184,21680,23657,45335,8037,13109,21144,1220,1056,2273,111976,98750,210724
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
SOS29,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
