SOS_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS20,892833,612989,802484,739313,631012,533084,411584,242825,105646,4971771
SOS21,186984,105274,124388,120541,119458,124510,119641,69758,28468,999013
SOS22,15880,8567,9144,10289,12240,15387,14017,6783,2369,94668
SOS23,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
SOS27,0,0,6,16,3,14,4,0,0,38
SOS29,1143,1131,1819,1736,1393,1074,613,152,29,9089
