SOS_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SOS20,4515,7830,8331,7150,37205,60175,20588,55842,1654,203297,6214,19236,15408,14543,73244,103018,23916,49002,2333,306911,8074,16311,17677,13504,59313,77893,18283,28080,4016,243149,8830,16614,10433,6359,11381,13794,3794,5517,1228,77944,2558,7167,6182,4330,28492,25622,5923,9591,837,90694,4537,20774,10507,5203,15925,15232,3996,7088,1027,84283,4298,11345,12721,7617,28828,28338,8712,15229,2461,119550,6273,29047,17935,8974,25326,21967,5658,8953,2396,126530,1157,2246,1853,1152,5279,5318,1111,2758,7035,27906,46461,130571,101051,68830,284987,351349,91980,182059,22992,1280281,6456,9002,12811,11069,30220,31696,10330,21057,881,133536,19358,41897,47001,41852,77135,80690,20745,34309,2495,365489,4341,9203,9526,4918,10818,7443,1493,2038,609,50397,17080,50321,39949,23070,29002,14552,3034,5418,2694,185118,9315,33629,36994,23128,62352,40911,7288,8418,1766,223794,10957,47908,22626,8623,15905,9645,2088,2707,1374,121821,962,3176,3073,2011,5842,3275,669,746,299,20059,4544,22443,14264,6033,11835,5790,1127,1656,1109,68796,1335,2398,1956,1227,3762,2932,446,975,5264,20288,74342,219988,188192,121929,246877,196941,47223,77318,16501,1189306
SOS21,961,1254,1252,1149,5125,8398,3290,8929,347,30706,978,1985,1704,1825,7052,8398,2372,4524,232,29076,1946,2962,2647,2607,13592,19453,4796,8147,956,57103,1556,2161,1572,1208,2504,3457,959,1384,223,15025,370,810,746,524,3183,3012,868,1252,107,10878,723,3595,1556,942,2788,2597,703,1239,182,14316,1308,1817,1873,1395,5665,6975,2719,6103,591,28445,1648,6709,3211,2346,6867,6982,1971,2928,817,33489,282,401,218,216,865,965,231,537,1333,5047,9770,21695,14783,12216,47639,60234,17911,35047,4774,224078,1107,1631,2033,1675,4206,4069,1344,2963,183,19213,3297,6072,7510,7072,9322,8655,2657,4343,376,49300,906,2024,2048,1189,2233,1444,299,423,151,10717,4054,10420,9365,6258,7078,3705,835,1403,720,43833,1979,6498,7155,4863,10857,6453,1168,1342,351,40671,2055,9998,4914,2299,3476,1661,366,480,368,25613,193,565,518,335,726,542,147,201,58,3291,1504,6910,3379,1874,2828,1676,426,552,398,19549,309,406,319,196,507,426,59,140,1025,3383,15397,44529,37243,25769,41239,28634,7299,11845,3627,215583
SOS22,129,196,177,162,494,832,318,1134,56,3497,94,251,191,190,492,622,174,402,25,2445,231,390,343,304,1211,1807,464,847,121,5715,173,227,132,115,171,273,70,108,27,1287,40,87,65,51,188,203,58,104,9,802,70,249,130,65,197,235,58,116,16,1131,142,173,209,130,446,675,255,657,70,2749,207,557,303,229,563,697,210,300,72,3146,40,39,24,20,55,75,15,65,144,480,1125,2167,1583,1265,3821,5418,1614,3730,525,21257,113,222,212,177,356,454,143,364,24,2070,350,677,730,633,770,708,227,383,30,4501,104,238,192,118,184,116,24,42,21,1033,401,979,798,553,505,301,74,129,74,3826,197,711,730,447,824,528,92,113,45,3679,175,791,433,222,295,140,40,48,57,2190,13,47,68,27,56,43,13,32,9,294,173,775,317,181,214,126,35,55,57,1936,43,39,33,17,33,29,5,15,113,326,1569,4477,3505,2366,3237,2449,650,1182,423,19858
SOS23,792,1632,1592,1372,2788,6465,2402,14718,710,32471,437,1036,857,734,2073,2839,933,2252,121,11286,964,1574,1403,1290,4953,8286,2076,4758,533,25825,629,789,457,336,704,1072,316,526,87,4919,127,343,272,184,817,801,236,462,50,3296,254,1263,490,280,687,931,246,584,101,4836,704,825,763,555,1882,2811,1097,3090,310,12026,864,2838,1342,1027,2349,3170,899,1904,388,14772,167,216,140,104,283,400,103,367,753,2541,4933,10508,7311,5885,16528,26780,8307,28669,3061,111976,672,2108,2163,1502,2039,3251,916,4085,392,17130,1516,3378,3766,3047,3149,3417,1109,1993,234,21609,432,1147,913,555,862,714,145,381,107,5256,1581,4151,3365,1910,1942,1383,284,507,271,15385,927,3936,3691,2209,3620,2692,443,726,243,18481,706,3543,1712,805,1077,623,132,234,169,8995,101,228,211,114,246,234,47,132,18,1336,716,2969,1500,812,997,871,214,471,209,8761,176,267,140,91,152,148,37,98,673,1787,6831,21726,17466,11048,14075,13340,3335,8626,2310,98750
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,6,12,9,4,17,28,11,18,4,108,6,10,14,8,34,63,7,15,3,159,15,20,17,12,48,52,19,26,8,207,10,10,7,11,6,15,5,5,0,68,0,6,3,0,11,9,0,3,0,36,5,14,10,0,13,5,0,5,3,56,11,26,7,11,27,32,7,27,3,147,14,34,29,24,39,39,3,19,8,207,4,0,0,0,4,3,0,0,14,33,74,114,105,63,202,240,60,114,44,1022,10,9,5,0,14,14,8,8,0,63,15,27,25,18,38,36,10,12,3,176,11,11,5,6,5,9,4,4,0,44,21,53,34,18,11,3,7,7,6,155,0,17,18,8,31,19,4,5,0,109,8,25,10,3,7,4,3,4,5,74,4,11,3,0,4,3,0,0,0,32,11,32,17,9,15,14,0,4,0,104,0,5,0,0,6,0,0,0,0,16,85,190,111,71,129,98,29,43,16,771
