SOS_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOS20,..,464036,464036,519593,51824,571422,287661,17409,305068,299545,7619,307169,113724,2583,116307,54384,1228,55612,1274911,544705,1819615
SOS21,..,112881,112881,126585,7949,134533,52314,1411,53722,50327,435,50767,22184,156,22343,9890,137,10027,261301,122976,384277
SOS22,..,11352,11352,13352,758,14108,4492,54,4549,4317,25,4338,1966,3,1970,801,8,809,24928,12203,37124
SOS23,..,31273,31273,56910,2484,59395,20277,312,20594,21337,99,21431,11106,28,11138,5362,27,5393,114997,34223,149218
SOS27,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
