SOS_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS20,564133,32769,14620,4897,462,217,1529,618623
SOS21,89485,8404,4893,872,152,65,627,104491
SOS22,8138,712,420,59,15,0,74,9416
SOS23,43739,3361,1886,405,69,21,315,49784
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
