SOS_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS20,56570,51723,108296,140602,130911,271517,39508,38436,77942,23253,24155,47408,203663,193777,397444,91437,84348,175789,34913,35985,70894,34106,35008,69115,160687,155551,316232,12322,10885,23204,12360,16585,28940,14898,6940,21840,20336,28583,48913,240,182,422,60158,63173,123327,69320,84047,153368,27033,33159,60190,8192,9975,18170,22168,36531,58696,308,342,645,127025,164049,291072,187490,227514,415004,11605,11134,22739,14621,21447,36065,295,274,570,26517,32861,59375,118062,113945,232008,752987,775375,1528364
SOS21,11399,10531,21930,28860,26586,55445,10072,10196,20265,3376,3245,6622,42358,40072,82437,18485,17731,36214,7949,8509,16459,4342,4354,8695,30798,30624,61423,1500,1701,3200,1132,2221,3357,3883,2342,6230,3437,6033,9469,82,59,138,10035,12357,22389,3253,5592,8850,1407,3132,4542,617,1138,1757,2499,6031,8530,24,50,78,7809,15943,23754,17872,28337,46208,1284,1182,2463,1902,3201,5106,69,66,130,3250,4447,7701,30883,31123,61999,136555,145139,281693
SOS22,906,857,1760,2905,2716,5618,512,473,985,271,261,530,3692,3452,7145,1780,1803,3579,523,569,1092,418,381,793,2716,2757,5471,73,123,198,71,165,236,326,176,506,272,505,778,0,6,8,748,977,1721,204,384,584,101,237,344,31,78,104,166,520,684,7,5,10,506,1223,1727,1253,2196,3450,80,74,156,140,228,366,7,6,9,230,303,533,3552,3322,6877,12347,12885,25233
SOS23,3890,3553,7441,11438,10251,21689,3810,3807,7617,1794,1804,3603,17055,15872,32926,7592,7135,14724,3974,4127,8099,2962,3119,6082,14531,14391,28919,489,590,1076,221,546,765,1914,840,2752,1083,2021,3112,43,20,68,3745,4021,7768,1551,2574,4125,325,955,1275,257,491,752,730,2239,2972,14,27,40,2880,6289,9163,6635,10311,16948,405,356,760,534,1014,1552,34,36,72,974,1398,2376,20633,15812,36444,63724,61339,125059
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
SOS29,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
