SOS_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS20,348,4289,42,4674,130024,6986,141691,1982,3508,65,5556,155696,10578,171827,63296,6292,961,70540,300223,27119,397885,183753,4230,2557,190545,154356,20353,365252,113270,4294,1448,119008,172899,14836,306744,20601,14113,325,35033,210668,11473,257175,3355,25829,168,29351,153907,8945,192208,580,6651,39,7276,95605,7189,110073,58,330,7,398,35788,4214,40398,387240,69538,5605,462376,1409178,111707,1983259,483,7175,45,7703,120894,6427,135024,4904,7051,255,12209,143519,8721,164449,106207,12096,3006,121306,260355,22934,404599,220847,7969,6048,234860,121786,17416,374061,111983,11524,2531,126034,185120,13113,324269,10692,41767,666,53127,212065,10716,275902,2859,45216,340,48412,161041,9923,219376,672,7812,82,8570,115202,8989,132756,108,371,8,497,56766,7984,65245,458751,140980,12978,612710,1376749,106217,2095680,824,11462,86,12376,250922,13418,276713,6884,10562,319,17763,299214,19299,336276,169497,18384,3962,191845,560584,50055,802484,404605,12196,8606,425402,276147,37768,739313,225250,15816,3980,245046,358023,27950,631012,31292,55877,990,88158,422727,22190,533084,6209,71046,510,77766,314948,18873,411584,1251,14465,122,15842,210806,16178,242825,168,706,11,888
SOS21,110,1099,12,1222,25060,2137,28423,1020,780,32,1828,22282,1811,25924,17580,1469,430,19477,36632,4306,60410,31278,1014,778,33074,20975,3982,58034,17519,1551,383,19454,34158,3664,57277,3012,4409,92,7511,47873,3450,58832,564,5875,22,6455,46866,3548,56871,96,1156,3,1258,28357,2741,32359,12,63,0,77,9177,1477,10722,71187,17420,1745,90353,271393,27107,388853,202,2014,17,2229,22238,1978,26444,2272,1552,114,3935,19024,1520,24480,26731,2517,1323,30566,29389,4017,63972,37974,1772,1920,41668,17116,3730,62512,17323,4064,630,22019,36834,3324,62187,1525,11956,141,13621,48807,3253,65674,402,9890,55,10348,48765,3654,62767,101,1480,8,1590,32327,3488,37403,18,95,0,113,14994,2631,17740,86550,35341,4208,126097,269490,27589,423180,310,3114,28,3453,47301,4114,54868,3288,2329,145,5767,41308,3332,50407,44307,3989,1752,50044,66023,8320,124388,69255,2791,2698,74743,38089,7711,120541,34846,5612,1011,41469,70994,6990,119458,4536,16362,229,21126,96678,6703,124510,965,15766,76,16802,95636,7196,119641,202,2634,10,2849,60684,6226,69758,31,161,3,196
SOS22,12,68,0,80,2057,283,2422,67,56,0,124,1692,176,1990,1390,108,31,1530,2616,353,4494,2747,87,70,2907,1697,386,4987,1714,160,31,1908,3619,471,5995,322,492,16,831,6213,559,7590,54,614,5,672,6105,576,7353,16,110,0,125,2977,333,3432,3,6,0,6,800,151,950,6329,1706,151,8184,27762,3275,39223,14,173,3,192,1917,265,2365,160,107,5,273,1364,153,1790,2032,182,114,2322,2008,308,4639,3261,126,162,3550,1365,389,5302,1634,414,69,2119,3733,397,6247,168,1254,19,1437,5860,502,7792,49,911,4,971,5277,422,6668,8,122,0,134,2872,340,3349,8,3,0,14,1165,246,1415,7332,3285,375,10995,25558,3016,39569,23,246,3,271,3971,543,4788,230,163,5,400,3053,329,3776,3420,286,148,3857,4623,656,9144,6011,215,229,6458,3061,771,10289,3351,574,95,4024,7352,868,12240,495,1745,28,2263,12067,1055,15387,106,1522,7,1641,11380,999,14017,25,230,0,254,5853,678,6783,6,11,0,15
SOS23,35,436,0,478,11854,1421,13752,279,311,3,587,8862,996,10442,5176,431,111,5725,10889,2642,19262,12599,377,321,13295,7235,2892,23421,9696,822,159,10673,17676,3040,31393,1991,2721,41,4749,29151,3071,36977,385,3205,24,3611,25770,2823,32210,48,570,4,624,11927,1413,13965,3,14,0,20,2475,435,2926,30209,8899,657,39774,125841,18744,184354,64,798,3,863,10435,1319,12624,479,538,26,1042,7016,704,8759,7563,791,385,8741,8178,1480,18401,14802,630,731,16157,5409,1859,23422,9027,2057,311,11397,17689,2291,31378,850,6543,73,7470,25505,2533,35508,191,4850,35,5071,20310,2109,27492,41,615,3,661,9416,1240,11317,7,33,0,44,2535,457,3033,33018,16858,1565,51444,106496,13991,171931,98,1229,10,1338,22292,2739,26374,753,847,26,1631,15877,1699,19202,12742,1221,496,14462,19067,4127,37655,27397,1009,1049,29449,12641,4750,46846,18723,2884,468,22077,35364,5334,62773,2845,9268,111,12220,54663,5603,72485,577,8061,57,8690,46076,4936,59700,90,1190,9,1286,21349,2658,25286,14,55,0,62
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,3,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,6,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,8,0,10,133,94,234,12,7,0,20,199,128,345,99,15,7,118,433,385,939,132,16,4,158,324,523,1008,64,11,0,77,374,463,912,11,12,0,23,327,294,644,0,26,0,27,231,135,392,0,0,0,0,61,29,90,0,0,0,0,4,11,15,319,104,16,432,2082,2059,4576,3,14,0,19,125,84,229,28,17,5,46,187,91,321,157,34,10,202,372,306,878,135,25,3,166,219,345,730,52,18,0,74,227,181,479,6,45,0,51,262,117,429,0,23,0,24,128,62,224,0,3,0,3,42,7,58,0,0,0,0,12,10,19,376,181,25,583,1582,1205,3373,9,28,0,33,251,174,459,38,25,5,63,389,216,671,252,49,16,315,806,691,1819,261,43,12,321,545,870,1736,115,31,9,152,600,644,1393,15,58,0,74,591,403,1074,3,48,0,49,364,196,613,0,10,0,10,107,40,152,0,0,0,0
