SOS_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS20,62924,44796,58679,49435,43459,34887,25368,16966,10209,346725,892833,612989,802484,739313,631012,533084,411584,242825,105646,4971771
SOS21,17946,9889,10551,10440,10145,9644,8842,6042,3506,86999,186984,105274,124388,120541,119458,124510,119641,69758,28468,999013
SOS22,1486,923,768,963,1114,1377,1186,659,351,8824,15880,8567,9144,10289,12240,15387,14017,6783,2369,94668
SOS23,7484,4975,4847,5718,6814,7225,5760,2781,763,46350,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
SOS27,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SOS29,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
