SOS_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS20,336839,672403,293546,263064,314496,206112,139613,195328,48200,2469590
SOS21,49923,78371,67824,58866,51548,39929,31735,53034,8432,439658
SOS22,5570,6951,6755,5112,4479,3323,3049,5078,805,41112
SOS23,49603,32892,31088,20303,21775,13827,13365,23534,4329,210724
SOS27,0,4,0,0,0,0,0,4,0,15
SOS29,174,334,250,227,143,129,177,308,49,1797
