SOS_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS20,1936149,2017740,3953890,57328,59224,116555,7232,7711,14940,263553,271299,534848,4680,5007,9692,1949,2059,4004,1874,2004,3875,1359,1424,2777,752,825,1574,1021,1084,2108,7,3,10,282417,291419,573837,19052,20395,39446,5089,4183,9276,363888,375221,739113,112737,109227,221964,2412782,2502191,4914969
SOS21,384788,408410,793198,20302,22757,43057,2144,2336,4478,35284,37877,73165,1135,1171,2309,451,463,915,356,308,661,215,245,460,229,235,460,154,143,294,4,0,3,39966,42789,82752,1651,1683,3335,1047,914,1957,62956,68143,131101,31132,31886,63017,478880,508432,987313
SOS22,37988,38013,76002,1309,1349,2658,181,191,371,3221,3342,6559,122,138,260,42,40,84,34,22,59,39,23,60,22,31,58,20,19,45,0,0,0,3677,3807,7493,121,97,216,79,96,179,5187,5356,10545,3743,3509,7248,46917,46876,93794
SOS23,180010,170168,350178,4250,4299,8550,743,765,1514,12037,12181,24219,490,446,938,200,172,371,161,113,271,68,73,142,99,100,201,86,51,140,0,0,0,13884,13906,27787,552,506,1063,335,258,592,19020,18968,37989,20966,16162,37134,219996,205299,425293
SOS27,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
SOS29,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
