SOS_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SOS20,71,307,708,3748,2131,1977,4465,3945,1651,19006,28,426,890,2196,2522,6378,10727,15336,6294,44806,227,1626,2374,9675,3167,3729,2950,649,202,24594,2128,13941,25232,153093,21029,12133,8662,3608,1134,240956,96,592,3043,9748,2752,1223,1321,480,125,19387,91,1490,2278,11806,2833,1557,839,352,95,21338,60,2252,2971,9732,4489,3083,1580,670,183,25024,60,585,585,6850,1864,1648,1539,1033,524,14688,25,351,635,4736,2427,7920,15781,15919,9889,57684,118,576,836,3882,1858,663,436,136,65,8569,94,681,1578,8439,2505,987,403,170,26,14884,111,378,707,4817,3879,3980,2753,1173,298,18097,267,2676,6689,24571,7612,7038,6237,2188,501,57775,0,20,56,407,585,2063,5340,3964,1313,13742,12,117,733,3991,1447,2201,1805,880,388,11574,24,428,1969,6694,1988,1042,585,250,102,13087,46,329,5042,12481,637,266,132,27,0,18960,30,232,354,1299,899,1141,3438,2982,1389,11766,912,6999,10184,31789,12779,9962,5390,2101,583,80690,11,113,267,3057,2761,4004,4959,2314,718,18194
SOS21,8,39,52,440,262,427,1504,945,366,4043,5,14,13,58,74,186,374,344,113,1172,11,33,50,247,51,71,62,10,3,533,132,853,1221,10985,1032,680,512,208,67,15682,11,53,62,468,173,58,66,23,17,940,0,54,68,221,57,38,16,4,0,458,0,86,100,451,164,103,47,7,0,966,9,92,75,499,254,275,325,238,92,1859,5,23,31,268,178,649,1548,1320,793,4808,3,48,28,208,111,36,31,7,7,485,6,22,42,273,53,26,12,7,0,440,0,11,20,114,70,59,41,22,4,346,21,267,367,1998,517,341,162,43,6,3721,0,16,37,121,114,368,913,503,104,2172,0,16,41,247,78,106,76,32,4,599,8,39,117,587,150,62,42,8,13,1021,3,53,163,841,29,6,9,0,0,1117,4,17,33,189,252,380,1630,1281,445,4239,99,938,1141,3578,2252,2096,1576,639,138,12455,0,3,10,118,78,125,140,54,13,546
SOS22,0,4,7,38,27,72,151,91,32,419,0,4,0,4,9,17,28,22,5,89,0,4,7,18,0,6,9,0,0,33,3,25,14,176,28,28,21,11,5,306,0,3,5,32,14,5,6,3,0,65,0,0,0,6,0,5,0,0,0,17,0,0,0,0,0,4,0,0,0,5,0,0,14,41,29,44,31,18,10,192,0,0,4,14,18,40,98,44,19,247,0,0,3,11,8,8,4,3,0,36,0,0,4,15,0,4,0,0,3,21,0,0,0,0,0,3,3,0,0,14,0,6,10,65,32,32,17,4,0,158,0,0,0,3,5,25,51,29,10,124,0,0,0,10,0,8,19,3,0,40,0,0,4,12,5,8,8,0,0,33,0,0,5,30,0,0,0,0,0,38,0,0,0,22,24,55,182,120,22,432,0,28,31,215,204,270,236,82,6,1069,0,0,0,0,6,5,4,3,0,26
SOS23,3,15,35,191,175,305,659,384,98,1864,0,0,0,14,27,114,190,138,71,543,0,10,15,61,21,29,16,0,0,159,0,46,93,530,139,169,100,59,6,1156,4,13,20,93,37,21,32,16,3,231,0,5,5,38,14,7,10,7,4,87,0,0,4,31,20,12,5,0,0,77,0,12,17,176,98,132,137,89,25,687,0,9,10,64,71,323,791,564,197,2039,0,5,17,52,42,25,20,8,0,154,0,5,5,41,9,4,0,0,0,73,0,0,8,64,47,53,31,8,3,224,4,33,76,490,148,129,47,12,6,939,0,0,4,27,41,165,378,154,33,802,0,0,0,26,18,53,22,5,4,127,0,0,13,31,5,10,3,0,0,68,0,0,0,24,3,0,0,0,0,34,0,8,23,163,168,295,809,465,90,2014,19,190,267,1112,1085,1245,795,224,42,4974,0,0,0,20,40,71,87,24,10,254
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,9,0,11,3,0,0,33,0,0,0,5,0,0,0,0,0,10,0,3,5,0,0,0,5,0,0,9,0,4,9,71,4,0,0,0,0,90,0,0,0,11,3,0,0,0,0,15,0,3,0,12,5,0,0,0,0,24,0,4,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,27,0,0,0,3,0,0,5,0,0,13,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,4,0,6,5,0,0,0,0,14,0,0,12,43,13,6,0,0,0,74,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,8,3,0,22,0,0,17,64,27,23,14,6,0,157,0,0,0,4,0,0,0,0,0,3
