SOS_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS20,2323,8044,21244,18593,16939,12279,3517,498,41,83464,3385,10913,31340,27468,22197,15168,4329,951,223,115979,106152,234410,624358,582336,486105,334795,89813,10781,837,2469590
SOS21,803,1772,4154,3502,3226,2644,920,130,8,17153,908,1531,3962,3689,3631,2777,986,279,88,17845,26359,36573,94473,92798,90250,75121,21300,2533,246,439658
SOS22,81,139,327,294,312,300,92,12,0,1550,106,138,295,292,392,341,132,50,10,1746,2253,2753,7025,7891,9181,8938,2720,335,24,41112
SOS23,481,675,1286,1341,1673,1519,520,58,0,7549,647,684,1210,1457,2060,1897,919,427,71,9381,12922,14329,28255,36121,48723,47196,18600,4083,499,210724
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
SOS29,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
