SOS_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOS20,384150,243759,303728,272143,209091,147348,81481,33059,9017,1683772,39842,41454,54557,56688,58617,63686,58324,34582,11857,419605,2057,4228,7793,9121,12599,19574,25568,19745,8081,108763,117,298,840,1675,3953,8851,14891,14961,7684,53272,42018,45981,63185,67490,75173,92114,98777,69292,27618,581646,32331,23782,30974,25621,22486,17716,11948,7727,3762,176341,458500,313517,397885,365252,306744,257175,192208,110073,40398,2441753,374714,216196,289245,268140,211736,152475,91331,37568,12103,1653499,27452,52825,71011,64857,66374,69449,67124,43526,19653,482283,1501,8933,14980,14224,18496,24814,30229,24686,14007,151881,69,500,1657,3021,6688,12000,17269,17727,13037,71968,29027,62265,87646,82099,91562,106261,114628,85944,46701,706128,30595,21021,27707,23820,20971,17167,13421,9242,6445,170382,434336,299474,404599,374061,324269,275902,219376,132756,65245,2530013,758863,459949,592974,540287,420826,299824,172812,70620,21119,3337276,67297,94276,125571,121545,124995,133138,125444,78111,31513,901885,3564,13168,22774,23350,31097,44385,55798,44434,22089,260642,191,797,2492,4697,10640,20849,32164,32696,20721,125242,71047,108245,150831,149593,166731,198373,213410,155233,74314,1287777,62924,44796,58679,49435,43459,34887,25368,16966,10209,346725
SOS21,75009,38781,42359,38587,34881,29641,20893,8277,2183,290610,10925,8913,10530,11262,12404,15295,17413,9799,3029,99570,813,1241,1777,2265,3468,5803,8542,6226,2078,32207,34,94,269,561,1305,3174,5759,5300,2144,18650,11776,10256,12577,14082,17170,24274,31714,21323,7257,150425,9193,5316,5484,5355,5228,4918,4264,2755,1280,43795,95983,54351,60410,58034,57277,58832,56871,32359,10722,484834,73558,32916,40396,38355,34701,31277,22805,9437,3111,286558,8012,10999,14205,13828,14669,17358,19076,11912,5257,115315,654,2264,3737,4045,5370,7572,9723,7172,3645,44190,26,172,571,1193,2528,4737,6583,5594,3501,24918,8700,13436,18511,19068,22563,29677,35381,24680,12409,184424,8747,4574,5070,5084,4920,4729,4579,3282,2224,43205,91003,50925,63972,62512,62187,65674,62767,37403,17740,514183,148573,71697,82750,76941,69578,60924,43700,17712,5293,577170,18939,19912,24736,25088,27069,32651,36493,21712,8289,214888,1474,3511,5510,6311,8829,13376,18261,13394,5730,76395,60,270,838,1754,3830,7915,12338,10902,5649,43562,20471,23691,31083,33153,39733,53943,67099,46006,19666,334841,17946,9889,10551,10440,10145,9644,8842,6042,3506,86999
SOS22,6352,3183,3172,3301,3611,3810,2660,947,198,27235,964,626,774,940,1289,1927,2238,1107,263,10121,66,105,108,211,379,725,1055,589,188,3427,4,12,19,58,122,409,752,467,165,2018,1029,740,902,1207,1789,3062,4049,2164,622,15569,761,487,424,475,592,720,647,327,135,4568,8147,4412,4494,4987,5995,7590,7353,3432,950,47368,6300,2690,2977,3193,3505,3744,2514,882,249,26055,657,845,1030,1174,1463,2007,1965,1110,426,10676,48,168,258,353,536,876,1024,583,262,4110,0,13,35,97,220,519,628,433,265,2206,707,1029,1317,1623,2225,3393,3614,2132,953,16995,724,435,345,487,524,655,540,331,216,4259,7733,4156,4639,5302,6247,7792,6668,3349,1415,47303,12654,5871,6149,6501,7113,7552,5167,1830,445,53286,1623,1475,1804,2111,2753,3927,4198,2220,692,20798,111,269,366,560,918,1602,2085,1170,446,7536,6,28,55,149,344,925,1381,903,437,4224,1736,1768,2223,2828,4010,6455,7661,4296,1573,32558,1486,923,768,963,1114,1377,1186,659,351,8824
SOS23,29854,17854,12972,15375,19781,19972,13184,4315,760,134063,3536,3244,2813,3842,5921,8815,9337,4184,858,42541,195,336,357,675,1378,2926,4120,2238,532,12762,8,22,70,135,482,1296,2364,1707,404,6486,3741,3595,3240,4652,7784,13043,15818,8124,1799,61788,3855,2741,3043,3395,3827,3966,3212,1527,369,25946,37453,24196,19262,23421,31393,36977,32210,13965,2926,221807,28720,14858,11837,14877,18998,18614,11374,3371,726,123380,2659,3706,3767,4824,6557,8780,8077,3662,891,42931,151,553,837,1138,2093,3297,3499,1810,597,13963,10,47,151,275,753,1563,1988,1220,425,6427,2822,4295,4756,6235,9398,13639,13567,6690,1912,63314,3626,2229,1803,2320,2977,3253,2550,1253,391,20401,35171,21383,18401,23422,31378,35508,27492,11317,3033,207104,58576,32708,24815,30246,38780,38586,24557,7691,1485,257447,6195,6950,6576,8669,12480,17594,17412,7847,1755,85474,351,882,1196,1811,3468,6220,7616,4049,1125,26726,16,68,219,407,1234,2860,4350,2932,832,12909,6564,7898,7995,10884,17179,26677,29379,14816,3712,125111,7484,4975,4847,5718,6814,7225,5760,2781,763,46350
SOS27,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29
SOS29,273,237,381,275,225,184,109,24,0,1707,56,96,127,147,137,98,73,24,0,755,7,14,28,48,48,44,53,18,0,260,0,7,10,12,39,36,25,3,4,138,58,118,167,203,228,174,153,43,4,1152,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,258,206,345,176,105,153,66,13,3,1322,44,121,161,128,88,80,47,16,9,696,6,39,40,48,68,34,20,12,3,264,0,8,21,27,38,46,23,9,0,164,48,165,223,204,190,155,91,40,10,1124,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,535,449,725,446,326,333,176,41,10,3028,100,209,293,272,223,178,121,42,7,1453,10,59,71,99,114,75,74,23,4,520,0,10,25,37,80,78,52,15,5,303,109,278,386,408,411,335,242,85,14,2271,501,403,707,880,652,410,198,23,9,3785
