SOS_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS20,67381,126461,317009,287793,247957,164966,38782,3545,268,1254160,62542,30287,66613,70039,64093,101115,171025,120353,57081,743155,5100,7699,20982,16229,12223,9818,9572,8855,7895,98372,135024,164449,404599,374061,324269,275902,219376,132756,65245,2095680,12840,93953,410917,389332,328912,202951,37166,2528,137,1478734,80174,119854,168681,160275,136190,112492,45501,6948,447,830566,11574,15505,32105,23971,15129,15628,5898,882,105,120800,1564,5104,12661,8757,5876,3723,1241,427,149,39491,106152,234410,624358,582336,486105,334795,89813,10781,837,2469590,3073,10188,19758,14334,12706,8929,1206,67,14,70272,20516,13088,11130,8233,6714,6314,1835,202,22,68061,23587,23278,30886,22564,19421,15246,3045,270,41,138333,129737,257687,655245,604904,505526,350037,92856,11054,874,2607921,136395,61928,103103,100755,99843,162782,300692,215942,92705,1274146,10583,16658,44139,33658,25648,20260,18033,15827,12063,196865,276713,336276,802484,739313,631012,533084,411584,242825,105646,4078935
SOS21,15010,18863,47735,47375,47297,38599,9323,819,91,225109,9982,4202,12462,11577,11737,24005,49932,33234,15103,172239,1453,1417,3770,3552,3146,3073,3511,3352,2550,25834,26444,24480,63972,62512,62187,65674,62767,37403,17740,423180,5441,19664,59748,57433,57862,41377,7717,572,51,249860,17848,13957,26628,29463,27427,27837,11411,1554,105,156233,2430,2007,6035,4280,3534,4879,1736,234,34,25172,639,949,2056,1624,1423,1028,436,175,61,8401,26359,36573,94473,92798,90250,75121,21300,2533,246,439658,944,1711,2658,2011,2040,1679,234,11,3,11306,2761,1181,1546,1298,1122,1324,363,45,12,9641,3708,2893,4209,3311,3161,3001,595,54,12,20948,30065,39471,98685,96104,93413,78128,21896,2591,263,460605,21763,7872,18161,17316,19516,40121,90902,61238,24244,301128,3038,3066,7543,7115,6538,6261,6838,5936,3961,50301,54868,50407,124388,120541,119458,124510,119641,69758,28468,812034
SOS22,1262,1351,3504,3993,4783,4477,1106,107,5,20598,936,291,854,934,1083,2812,5166,2916,1157,16148,170,145,289,377,381,493,400,327,250,2826,2365,1790,4639,5302,6247,7792,6668,3349,1415,39569,530,1488,4187,4614,5633,4579,965,100,3,22103,1389,1010,2119,2672,2957,3582,1438,183,13,15363,245,168,529,439,408,628,242,32,5,2694,87,83,191,169,179,143,69,25,3,948,2253,2753,7025,7891,9181,8938,2720,335,24,41112,61,103,177,133,217,233,38,0,0,963,133,64,94,87,112,160,44,5,0,702,199,169,274,219,328,390,82,5,0,1664,2447,2918,7297,8116,9506,9329,2804,336,26,42782,2004,545,1222,1443,1892,5031,10272,5810,1945,30170,335,316,617,731,845,1031,949,629,398,5846,4788,3776,9144,10289,12240,15387,14017,6783,2369,78795
SOS23,6819,6818,14028,18025,24569,22478,7347,1305,129,101508,4895,1298,2943,3598,4607,10575,18112,8809,2464,57304,903,647,1422,1803,2207,2451,2036,1208,438,13123,12624,8759,18401,23422,31378,35508,27492,11317,3033,171931,3356,8170,17725,22409,31094,26615,8427,1696,157,119657,7859,4989,7860,11379,14515,16806,8441,1857,237,73932,1219,742,1904,1578,2073,2868,1135,209,38,11764,491,430,765,760,1041,912,595,321,70,5376,12922,14329,28255,36121,48723,47196,18600,4083,499,210724,247,428,588,467,702,741,94,4,4,3267,874,299,303,272,403,614,173,23,0,2963,1120,729,886,738,1109,1349,266,29,0,6227,14043,15048,29141,36857,49824,48548,18867,4113,507,216956,10452,2710,5589,6343,8330,18765,36292,18653,4634,111759,1875,1437,2931,3648,4614,5173,4543,2523,822,27568,26374,19202,37655,46846,62773,72485,59700,25286,5963,356286
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
SOS29,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
