SOS_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOS20,110032,59224,36733,21425,7959,1447,361077,2545,23636,29715,27370,21059,13893,4155,690,123069,67635,256156,219607,143054,88807,57208,22563,6261,861299,27884,82228,90080,79115,59341,40400,18646,5659,403354,45964,108224,95950,94670,80819,47709,24057,7677,505076,6801,6699,6129,5402,4707,3007,1003,222,33968,3857,7507,9939,12470,12102,8906,4608,1653,61045,56627,122433,112017,112540,97629,59626,29662,9550,600090,1800,4865,5111,3680,3505,3488,2397,1021,25853,32766,53091,42665,34237,30160,29684,27331,19033,268961,196892,659034,609231,459214,337226,225715,112718,43662,2643702
SOS21,6620,4502,3689,2911,1001,149,25281,377,3218,4171,3907,3721,3224,911,110,19631,4072,22327,21876,15604,11840,10625,4291,976,91606,3149,13275,15038,14232,13266,11323,5088,1222,76591,13310,34986,30724,28706,26905,18650,7938,2077,163289,1874,2009,1820,1534,1416,1058,304,78,10094,823,1456,1824,2283,2366,2316,1090,341,12507,16008,38454,34376,32524,30679,22022,9327,2499,185891,189,525,594,470,550,759,595,241,3920,7698,9083,8793,8607,9391,11301,10472,6491,71833,31846,92933,91452,79841,73141,62176,31687,11678,474760
SOS22,466,434,467,441,137,14,2289,20,216,348,436,446,373,88,13,1936,271,1556,1798,1613,1531,1317,432,83,8618,202,888,1276,1381,1598,1340,499,91,7282,1061,2869,3011,3116,3524,2234,831,165,16802,146,167,152,146,187,132,36,8,971,56,110,148,187,263,271,115,27,1185,1261,3152,3307,3451,3973,2636,986,193,18960,9,33,35,65,60,77,50,21,340,858,739,857,1064,1411,1535,1091,606,8157,2634,6902,8087,8443,9483,7718,3280,1031,47574
SOS23,1846,2442,2513,1954,566,75,10724,110,846,1497,2029,2154,1705,347,29,8712,1576,6584,8612,8812,7942,6461,1912,271,42161,1121,3549,5512,7423,7834,5974,2016,267,33698,5206,11158,12749,15675,16148,9268,3023,492,73722,749,609,740,647,773,487,110,12,4133,303,475,707,1120,1376,1093,381,63,5512,6258,12239,14192,17444,18297,10847,3519,571,83365,61,155,179,253,332,376,215,49,1615,4430,3580,4430,5759,7043,6793,3913,1167,37118,13649,28184,36269,44161,46120,34103,12488,2418,217392
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
SOS29,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
