SOS_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS20,6623,13939,12277,6450,17250,15227,3958,6936,810,83464,4148,12350,10455,6420,24973,23636,4656,9736,19609,115979,120800,350558,289244,190759,531867,548288,139205,259376,39491,2469590
SOS21,1211,2805,2169,1258,3414,3450,910,1697,239,17153,881,2098,1423,1002,3240,3303,723,1635,3530,17845,25172,66225,52025,37986,88883,88866,25211,46901,8401,439658
SOS22,94,249,197,115,281,308,89,190,35,1550,134,211,141,94,287,281,60,179,365,1746,2694,6645,5089,3630,7054,7871,2264,4917,948,41112
SOS23,459,1257,908,544,1227,1597,373,1064,123,7549,554,1194,797,505,1181,1628,405,1092,2017,9381,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOS29,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
