SOS_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOS20,102556,107508,54635,32584,41394,27572,16492,382752,21526,20535,11930,7848,10287,5523,2913,80563,22988,21225,11128,6901,8438,4722,2415,77804,102565,98828,59596,40192,52814,27565,13238,394804,1077,1079,534,322,211,81,49,3349,250717,249174,137820,87853,113143,65469,35103,939276,7108,12413,8749,6819,9809,7095,4618,56611,3363,4855,3473,2571,3542,1776,998,20585,1833,3407,2378,1795,2521,1310,714,13967,13389,21263,15150,11598,15462,6907,3498,87271,1095,1269,669,477,346,154,75,4086,26788,43209,30430,23249,31684,17246,9908,182511,277500,292378,168249,111104,144833,82708,45014,1121792
SOS21,7595,7342,3605,2117,2563,1101,497,24810,2812,2834,1672,1084,1278,420,159,10261,2987,2873,1497,905,1007,340,138,9741,33608,32881,18948,12513,15025,4462,1570,119014,196,221,130,86,60,12,0,706,47203,46146,25850,16702,19929,6337,2365,164534,605,892,639,407,583,254,121,3484,689,1030,708,509,618,154,82,3788,308,540,406,319,430,113,58,2170,7288,10749,7151,5161,5985,1538,535,38399,341,424,263,159,103,27,8,1325,9221,13628,9160,6554,7717,2090,801,49168,56424,59779,35010,23257,27640,8430,3165,213703
SOS22,145,179,95,66,83,39,7,619,184,271,153,94,136,27,15,881,217,250,136,69,105,32,7,817,3241,3386,2105,1381,1537,418,145,12220,32,26,17,12,11,0,0,101,3814,4114,2513,1625,1875,507,187,14641,10,16,19,12,23,3,0,90,42,76,55,50,50,9,4,289,27,30,33,32,40,9,5,178,460,745,538,402,406,87,28,2657,26,17,20,16,5,0,0,85,561,892,657,511,521,111,39,3299,4375,5009,3170,2141,2397,621,223,17934
SOS23,638,826,555,408,567,247,110,3362,704,978,700,479,677,247,92,3885,1066,1207,736,511,617,201,99,4428,13779,16699,11376,7869,9764,2892,1045,63419,77,138,64,43,33,4,0,365,16264,19849,13430,9310,11667,3588,1352,75461,34,63,66,43,53,26,15,297,97,190,143,126,117,54,19,747,52,91,89,80,98,31,26,456,1316,2172,1590,1203,1417,357,143,8193,79,58,45,39,29,11,4,266,1579,2574,1934,1484,1709,470,203,9960,17841,22424,15365,10794,13375,4064,1558,85421
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
