SOS_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOS20,13113,3396,5392,645,22546,3981,812,1498,216,6506,2821,1427,3034,276,7558,2185,1293,4443,213,8129,10935,3077,7595,576,22179,7749,4585,11731,614,24683,41566,9300,14305,1222,66402,28189,14045,19207,2131,63569,31598,23378,20976,2259,78210,37205,32855,19515,2745,92322,22716,32000,14964,1813,71483,26043,34498,12589,1729,74858,58123,82816,21574,3268,165779,44710,71028,9822,2017,127584,34174,64695,6727,1191,106789,22830,44593,2870,647,70935,56744,153729,8027,1143,219639,14976,36144,12943,749,64808,6839,4950,2950,408,15148,466486,618623,200167,23858,1309134
SOS21,2073,384,634,39,3132,938,95,229,30,1289,594,149,577,36,1355,502,126,1172,48,1853,3097,367,2291,106,5857,2181,593,3989,108,6882,14448,1414,4659,253,20770,9766,2321,5828,492,18406,10177,4326,5655,454,20610,11060,6914,4730,414,23115,5746,7106,3306,268,16422,6774,7763,2519,270,17326,13596,17764,3747,405,35515,8770,14352,1543,219,24885,5799,10918,872,105,17693,2940,6812,335,57,10146,6074,14250,728,77,21129,4173,7899,3182,162,15415,2349,940,928,137,4346,111063,104491,46930,3674,266154
SOS22,219,24,46,10,297,101,12,22,0,140,79,17,47,5,151,73,13,86,3,175,402,34,160,9,608,272,59,294,6,628,1770,116,370,17,2273,1091,236,460,49,1836,1099,386,417,41,1941,1256,663,331,27,2282,662,696,236,26,1619,734,689,178,16,1610,1348,1582,263,28,3218,841,1235,96,19,2189,531,909,51,8,1501,263,549,8,0,817,600,1171,47,9,1823,468,934,293,18,1711,301,107,86,15,500,12123,9416,3484,301,25325
SOS23,1190,228,215,18,1646,570,66,76,6,725,375,100,179,12,670,352,79,243,12,694,1724,206,502,46,2477,1156,305,808,24,2302,5686,670,897,58,7320,4259,1052,1235,146,6686,4907,1884,1257,143,8195,5329,2929,1041,112,9414,2788,2902,739,44,6475,3622,3272,642,65,7599,6679,7142,981,96,14902,4273,6030,453,60,10817,2977,4920,278,29,8209,1662,3261,137,19,5086,4608,8862,375,39,13883,2359,5192,1116,60,8723,1342,681,272,37,2335,55871,49784,11459,1045,118159
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
