SOS_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOS20,428567,72739,38621,1284,337,541546,512701,86804,56744,677,382,657308,191292,94560,139436,1712,602,427605,14446,11293,12400,8,33,38181,2500,2653,3679,22,49,8905,44028,16204,16594,586,208,77638,6353,1880,1736,1042,101,11119,1330,617,605,26,20,2600,259951,127215,174457,3399,1021,566049,14295,9202,6133,200,75,29897,16247,4638,3665,130,126,24813,1231761,300598,279623,5693,1934,1819615
SOS21,128540,7640,1712,1302,159,139352,131725,3559,794,136,126,136343,46094,10465,3513,171,85,60326,6648,3012,992,13,3,10675,1142,832,425,17,4,2424,15455,2069,599,138,74,18336,1940,412,155,432,38,2978,476,204,75,17,3,774,71764,16995,5766,779,206,95519,4059,1096,324,178,26,5684,5839,1059,250,167,64,7379,341926,30348,8847,2566,586,384277
SOS22,16161,174,102,258,30,16715,13512,111,58,56,9,13744,2104,148,150,10,3,2419,104,110,40,0,0,254,50,49,18,0,0,121,1891,52,35,28,10,2015,276,19,24,74,12,403,43,10,0,0,0,58,4474,393,270,113,23,5270,555,24,10,22,9,619,688,22,16,40,9,773,35398,719,457,487,67,37124
SOS23,69717,258,61,940,139,71115,54863,149,29,137,82,55254,4511,54,34,39,19,4660,79,29,5,3,6,115,80,6,8,5,6,99,6878,40,27,63,39,7041,2118,20,10,323,47,2518,127,0,0,24,3,157,13786,150,86,454,111,14585,5388,28,9,77,38,5547,2574,12,3,105,19,2713,146332,587,189,1712,393,149218
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
