SOSR_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
SOSR201,42745,120484,94253,63701,264920,327183,84911,168476,21593,1188278,194,827,737,538,1176,761,174,229,52,4692,55,56,80,67,115,264,75,173,10,892,1788,6867,6010,4159,14626,10568,2426,3370,285,50097,342,344,663,626,2448,2128,493,611,43,7700,1056,4549,4406,2448,6197,6802,1313,2342,301,29406,1005,2557,3020,2115,7428,6033,1391,1803,97,25453,9628,35881,21796,10088,19353,12293,3020,4450,1044,117561,7949,30905,13366,4696,6782,4371,1083,2126,818,72093,1551,3079,3505,1883,6470,5568,1256,1627,260,25195,985,1832,1596,1166,4025,3779,988,1671,79,16132,2598,2720,4834,3765,12951,16380,3048,4976,293,51566,759,2105,2237,1354,4986,4233,859,1406,111,18057,3989,11224,12102,8414,22451,25242,5677,10009,468,99573,2170,8367,7332,3005,7704,5064,1050,1641,361,36694,3717,4592,6666,5431,18963,13059,3544,5126,337,61439,7175,26162,21752,14225,28760,20065,7975,14933,844,141900,13683,38075,46383,38737,46741,35028,7043,11310,1886,238881,2989,5306,2860,1576,2870,2512,544,1102,152,19913,4359,8704,7494,3653,6368,4112,1020,1465,339,37510
SOSR203,3713,10092,6794,5127,20066,24169,7072,13581,1402,92003,25,136,77,51,85,83,17,32,6,501,11,14,16,12,18,36,13,37,3,164,153,654,431,257,787,689,179,202,28,3377,48,32,79,71,165,154,30,38,3,616,65,419,327,203,447,405,74,119,12,2066,66,137,139,99,261,207,50,46,9,1018,824,3652,2148,1025,1725,1008,231,283,90,10988,833,3461,1244,479,620,419,67,200,84,7403,94,208,227,117,298,200,46,90,17,1286,65,152,128,56,168,117,62,50,9,803,178,178,356,281,845,566,120,164,13,2693,31,134,110,77,361,202,40,68,6,1039,216,671,692,457,1102,837,199,318,14,4512,205,926,512,260,491,216,47,87,26,2779,415,518,696,529,1640,1149,290,388,33,5649,663,2183,2126,1406,2679,1487,761,1342,72,12725,1877,4203,5516,4911,4978,3486,742,1131,154,27010,176,468,240,116,208,129,44,62,5,1438,294,807,639,299,473,310,68,116,25,3028
SOSR211,957,2212,1703,1440,6420,7290,1996,3576,645,26233,4,17,17,15,32,19,3,4,3,115,0,0,6,5,5,9,0,0,0,15,43,138,88,78,313,245,43,44,4,998,7,9,18,11,50,29,4,5,0,118,30,110,108,53,160,151,33,30,11,692,17,35,27,26,137,76,14,21,4,362,245,942,603,301,524,290,58,73,37,3085,193,699,280,115,157,93,20,52,22,1630,46,96,104,75,309,222,52,85,10,1004,21,21,18,5,57,28,4,3,0,153,46,28,72,51,244,188,26,37,9,693,17,24,36,23,107,53,16,23,3,300,38,100,128,72,251,168,31,49,4,842,61,238,176,105,213,85,10,30,14,936,79,135,175,114,489,358,81,96,16,1536,142,393,423,379,748,337,152,234,9,2826,339,785,1087,1042,1299,715,147,263,70,5750,60,71,37,22,40,29,3,11,5,279,95,169,170,64,120,75,15,30,6,735
SOSR212,2631,5951,3982,3211,13436,16823,5257,9768,1159,62220,32,156,150,136,286,186,52,69,25,1101,4,3,8,5,5,18,8,7,0,60,90,430,251,174,513,447,138,150,13,2212,25,31,52,52,167,153,26,27,4,535,66,294,252,168,290,313,75,93,22,1580,40,107,92,76,201,185,50,59,7,822,566,2400,1406,696,1188,612,151,190,72,7281,530,2137,767,298,463,279,64,174,58,4770,102,174,219,111,299,267,83,92,10,1358,35,78,58,41,131,64,25,29,6,467,91,100,203,133,412,346,78,101,12,1465,40,102,102,72,228,145,36,61,10,792,120,454,482,339,706,542,127,238,7,3015,122,558,300,180,402,219,51,84,29,1942,273,438,559,415,1201,872,200,244,38,4231,512,1301,1358,1007,1803,1109,553,940,62,8640,1109,2316,3249,2890,3200,2265,424,705,135,16289,114,239,124,86,127,96,23,36,4,847,252,585,455,234,379,219,54,87,24,2283
SOSR213,2244,5502,3616,3023,12055,15136,4420,8746,1110,55852,43,191,148,100,204,138,34,57,17,940,3,0,10,7,12,16,7,10,0,71,123,405,302,203,611,461,103,133,17,2351,18,37,45,28,106,84,22,16,0,356,55,286,208,127,264,277,53,60,7,1333,38,93,103,87,179,137,33,31,0,698,494,2182,1316,691,1021,575,138,171,75,6654,475,1990,738,267,384,211,49,176,51,4341,76,145,180,98,191,199,48,64,29,1029,28,71,63,53,126,55,10,23,4,441,81,105,171,132,393,285,43,65,4,1289,30,68,61,63,240,125,32,46,4,667,87,389,360,254,533,401,100,137,17,2280,115,595,332,155,352,150,28,44,22,1793,251,359,462,318,997,722,191,239,30,3570,385,1236,1290,968,1519,810,402,767,62,7432,1023,2357,3205,2791,2658,1917,389,606,110,15062,94,235,113,58,100,57,6,27,4,689,205,506,424,236,354,196,42,90,32,2087
SOSR214,1525,3221,2197,1808,5952,7848,2271,4599,661,30084,31,119,105,66,87,77,19,43,19,558,4,6,3,9,7,11,6,4,0,46,86,311,184,116,369,332,78,75,15,1557,7,13,15,21,38,41,9,7,0,151,27,163,129,74,138,167,36,62,5,786,26,66,55,45,86,64,22,20,0,381,260,1119,719,378,518,297,83,120,47,3552,343,1105,379,153,236,146,41,122,52,2583,38,112,116,45,121,89,20,40,4,585,27,33,33,17,49,33,10,20,3,221,54,60,90,59,165,132,31,45,5,635,31,54,58,33,117,75,8,24,4,408,58,217,218,153,273,232,57,102,13,1325,71,324,156,79,143,72,17,28,16,909,167,208,212,186,482,402,80,114,17,1862,226,622,629,461,761,434,193,421,28,3783,589,1337,1623,1433,1231,960,188,327,89,7772,64,151,91,46,68,63,9,29,8,529,111,289,200,107,147,121,23,39,21,1059
SOSR215,2418,4808,3280,2734,9780,13140,3968,8368,1204,49696,83,244,207,110,237,176,63,87,33,1247,0,11,9,7,13,16,12,11,0,80,132,389,290,206,461,350,99,119,20,2068,19,20,34,27,80,89,11,22,5,302,60,311,221,128,238,280,52,74,19,1376,41,117,98,62,179,134,28,38,8,713,397,1739,1090,587,873,443,137,196,81,5545,514,1604,578,251,361,257,56,249,61,3936,70,198,184,84,188,189,56,78,9,1042,23,61,63,37,73,47,17,19,0,336,77,94,167,118,264,208,41,76,7,1053,40,98,93,68,171,111,16,33,0,634,107,369,407,254,395,357,88,195,17,2191,115,529,242,120,217,131,32,39,22,1447,267,336,436,320,728,578,134,180,29,3017,370,1088,1042,730,1133,747,375,717,74,6270,945,2008,2587,2172,1763,1465,290,467,132,11832,94,186,108,72,131,83,18,34,7,739,191,447,336,180,218,164,46,66,29,1670
SOSR221,681,1399,1002,813,2467,3579,1030,2408,322,13690,25,85,74,29,61,60,14,27,7,387,0,3,0,5,5,4,0,9,0,20,37,101,77,50,108,77,18,33,9,509,3,8,3,4,18,22,0,4,0,68,21,94,63,37,63,73,10,17,0,381,4,22,31,16,36,46,0,10,0,164,126,504,289,166,220,115,41,44,23,1530,134,441,118,60,86,55,18,57,27,990,12,65,47,35,39,56,11,29,4,310,5,21,6,7,24,10,7,4,0,79,20,27,56,27,72,49,11,25,0,280,11,16,25,18,40,21,7,5,3,156,37,122,114,80,115,90,20,40,5,622,36,161,72,29,56,18,12,14,10,408,63,105,130,88,187,167,29,43,7,818,119,358,293,232,317,219,105,195,19,1853,256,603,688,579,472,389,62,135,38,3221,31,60,50,18,53,27,4,14,5,252,33,106,77,56,52,44,6,25,12,403
SOSR222,446,768,581,449,1355,1841,585,1328,206,7570,8,61,32,14,34,36,5,27,8,239,0,3,5,0,3,0,0,0,0,10,20,51,39,21,61,42,12,27,0,282,3,5,4,5,8,20,0,4,0,47,10,41,37,17,25,27,7,18,3,185,9,16,17,8,27,17,10,4,4,104,57,205,150,75,96,64,18,32,11,714,85,299,117,55,69,50,19,53,13,760,4,38,49,19,41,32,13,19,4,222,4,4,6,0,11,4,7,8,0,43,9,13,18,12,26,28,4,13,0,131,4,18,14,6,16,9,0,5,0,75,13,55,53,33,48,49,13,28,6,302,17,96,36,13,33,19,3,13,5,238,31,45,54,48,112,78,23,24,0,414,52,168,171,98,168,120,46,94,7,924,150,257,334,317,251,219,51,67,24,1662,19,36,31,17,29,9,3,4,4,147,33,56,45,14,51,20,4,5,6,242
SOSR231,4933,10508,7311,5885,16528,26780,8307,28669,3061,111976,409,2355,1884,1187,1102,1858,437,2708,336,12282,22,37,29,18,23,63,17,47,5,260,239,961,603,373,798,796,197,349,51,4374,43,61,79,50,152,186,24,58,3,649,158,872,591,350,521,651,91,212,46,3482,78,281,248,158,327,315,83,143,28,1665,666,2990,1818,920,1201,842,214,395,146,9191,847,2735,899,352,404,377,91,339,129,6174,125,459,382,197,312,322,77,192,31,2106,53,130,103,49,123,94,42,60,5,661,115,196,302,180,366,345,90,176,16,1797,52,178,144,87,216,223,30,95,16,1032,237,961,897,598,814,834,255,468,44,5113,200,819,441,224,360,211,53,117,55,2483,411,609,820,554,1258,1234,269,421,56,5638,714,2295,2157,1316,1967,1401,666,1350,110,11970,1665,3788,4661,3662,2959,2578,514,928,256,21016,207,437,288,191,283,204,46,179,31,1868,295,862,636,310,446,355,64,162,50,3179
