SOSR_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR201,8536,49907,220120,233322,186748,120376,24475,1913,99,845499,31257,49910,62289,41399,34468,34232,20332,4236,310,278438,4532,6076,9171,7185,6124,6419,2703,479,63,42745,735,2664,7153,5032,3148,1968,647,201,60,21593,45054,108558,298729,286936,230484,162999,48162,6822,532,1188278,1714,5932,11117,8231,7473,5607,869,43,10,41009,9529,6378,4259,2046,1788,2392,980,128,16,27513,11244,12310,15379,10282,9260,7999,1847,172,23,68524,56300,120864,314102,297212,239745,171002,50009,6996,562,1256803,69082,29687,33936,28538,32861,56180,116744,86623,32338,485993,4969,8184,21561,16292,12338,9481,7583,6285,3748,90442,130354,158734,369594,342049,284946,236664,174337,99909,36647,1833238,2497,35373,162781,132393,119428,67467,10212,464,20,530629,41003,60882,92950,106289,91042,68034,21319,2250,106,483877,6078,8225,20238,15075,7787,7567,2631,343,32,67964,666,2108,4785,3258,2356,1464,494,170,75,15378,50244,106584,280750,257009,220606,144537,34658,3225,232,1097849,1023,3503,7416,5305,4438,2760,261,15,0,24726,9622,5976,6087,5655,4487,3471,709,59,4,36071,10645,9478,13507,10955,8922,6227,974,77,12,60800
SOSR203,1328,5235,17268,15631,13937,9591,1770,114,8,64884,3368,3567,4592,2812,2520,3002,1823,312,22,22010,389,467,719,545,524,748,282,39,3,3713,81,193,409,252,208,151,59,33,4,1402,5168,9458,22995,19240,17188,13489,3927,500,45,92003,219,531,817,507,512,379,59,3,0,3026,666,377,322,151,123,199,82,10,0,1938,888,900,1142,663,634,585,138,9,0,4959,6050,10358,24132,19896,17824,14076,4070,509,46,96965,4768,1960,2560,2170,2885,5477,12922,8962,3289,44997,514,775,1598,1134,1088,961,883,688,416,8059,11331,13088,28291,23205,21800,20512,17873,10157,3752,150016,472,3440,10745,7988,8808,5521,709,29,7,37722,4550,5487,8849,9777,8158,7220,2029,154,11,46238,585,741,1979,1171,696,897,281,23,4,6375,81,139,315,214,163,129,45,23,11,1123,5686,9813,21886,19151,17820,13768,3065,233,24,91459,115,226,400,291,283,176,19,0,0,1515,693,362,461,378,311,250,67,6,0,2536,810,588,860,671,599,428,89,8,0,4053
SOSR211,497,1600,5259,5287,3814,2342,463,18,0,19281,749,745,1148,1022,654,649,325,53,4,5351,96,90,202,185,154,155,59,8,4,957,37,71,231,156,74,56,13,0,0,645,1376,2504,6846,6654,4697,3199,863,84,8,26233,109,191,325,245,177,129,22,0,0,1192,225,103,81,61,43,47,22,0,3,587,329,295,405,298,222,183,38,0,3,1777,1707,2803,7255,6952,4918,3377,901,79,10,28008,1609,526,847,830,963,1507,3267,1758,434,11740,219,260,613,553,389,286,227,141,45,2730,3547,3584,8713,8335,6266,5168,4391,1982,487,42480,165,874,2878,2791,2296,1323,187,7,0,10524,1048,1038,2467,2347,1756,1348,381,28,0,10414,139,167,503,277,176,204,52,10,0,1519,35,67,143,86,64,42,11,5,0,454,1395,2145,5994,5506,4287,2924,619,46,4,22912,57,126,215,186,121,78,11,0,0,792,235,117,218,167,107,81,11,0,0,935,289,246,432,351,224,156,25,0,0,1729
SOSR212,1077,3403,10740,10805,10353,7382,1414,103,6,45281,2317,1527,2109,1838,1719,2044,1339,237,11,13148,313,240,425,446,393,562,216,21,6,2631,61,121,301,274,212,136,37,19,7,1159,3766,5292,13575,13360,12678,10125,3010,379,32,62220,140,334,455,355,336,235,39,3,0,1896,432,182,158,112,87,125,47,0,3,1156,577,519,620,467,427,358,86,6,3,3050,4344,5810,14190,13827,13101,10484,3096,388,32,65272,3075,1010,1551,1414,1850,3648,9371,6255,2099,30276,431,450,1041,961,888,788,719,565,320,6156,7851,7275,16783,16199,15841,14923,13180,7207,2451,101705,403,2181,6652,5828,6663,4164,601,21,3,26518,3016,2608,5149,6534,5768,5126,1450,105,3,29763,415,354,1271,810,531,640,198,13,0,4231,77,121,203,192,162,116,41,17,7,949,3914,5264,13271,13370,13120,10041,2293,159,20,61456,87,143,231,175,182,133,8,0,0,967,429,178,254,254,195,194,28,7,0,1540,515,324,486,432,380,325,37,7,3,2512
SOSR213,1047,3130,9783,9327,8885,6734,1335,104,11,40354,2113,1373,1825,1648,1561,1997,1340,268,25,12148,227,175,364,327,367,526,208,32,3,2244,65,120,286,224,181,146,59,23,5,1110,3455,4796,12253,11528,10988,9399,2946,426,46,55852,181,319,456,298,333,304,54,3,0,1945,358,126,155,107,91,128,51,7,0,1034,539,442,615,401,429,432,110,11,0,2979,3998,5245,12870,11936,11420,9834,3057,441,46,58834,2841,963,1532,1499,2015,4088,10215,7338,2427,32921,353,382,886,751,784,666,770,641,423,5647,7189,6587,15291,14183,14217,14588,14037,8420,2897,97402,359,1986,5340,4786,5456,3586,531,28,5,22065,2794,2272,5058,5787,5564,4944,1462,108,9,27988,333,288,1070,651,469,677,201,20,3,3703,63,94,195,132,136,99,45,29,5,806,3543,4641,11667,11360,11617,9304,2242,179,18,54572,74,133,225,163,185,133,12,0,4,925,333,151,254,211,207,192,42,3,0,1393,409,281,479,368,386,321,48,3,4,2315
SOSR214,541,1599,4779,4458,4629,3745,834,72,8,20671,986,726,1006,914,991,1436,969,186,11,7228,150,128,233,211,229,353,177,29,3,1525,56,63,126,128,111,98,55,21,10,661,1736,2511,6148,5717,5956,5638,2038,310,25,30084,90,125,203,157,188,164,28,0,0,951,132,74,67,49,49,84,36,8,3,493,223,193,262,202,237,249,59,8,3,1442,1956,2713,6411,5912,6200,5886,2096,314,35,31522,1661,541,746,855,1223,2781,7516,5509,1846,22670,204,192,474,471,476,545,623,572,302,3848,3819,3443,7627,7239,7895,9208,10239,6397,2180,58042,183,957,2608,2396,3026,2101,344,14,4,11631,1320,1097,2441,2953,3029,3126,1072,102,4,15156,211,179,599,414,294,432,146,20,3,2289,52,61,132,76,87,77,24,12,12,533,1765,2294,5775,5833,6439,5733,1589,155,20,29604,37,59,94,91,95,77,0,0,0,456,152,64,105,99,124,126,30,5,0,711,192,129,199,191,223,204,28,5,0,1169
SOSR215,906,2558,7756,7930,7916,6549,1466,160,11,35247,1474,950,1452,1323,1567,2199,1538,302,19,10822,241,145,336,355,433,611,244,47,6,2418,92,126,275,203,227,158,80,27,8,1204,2717,3775,9817,9812,10140,9520,3324,539,46,49696,113,184,306,219,268,287,45,0,0,1431,213,85,101,70,65,137,59,7,0,738,331,269,406,289,333,427,106,11,0,2163,3044,4043,10229,10104,10473,9945,3431,548,46,51864,2598,625,1015,1135,1728,4096,10614,7147,2334,31286,380,374,753,833,855,905,987,661,326,6074,6021,5036,11998,12071,13059,14946,15028,8357,2708,89222,262,1373,3957,3817,4826,3458,542,41,4,18281,2026,1622,3980,5089,4822,4970,1534,163,8,24219,302,250,1039,603,485,704,230,37,4,3650,96,98,166,151,182,101,66,26,10,890,2680,3344,9133,9661,10317,9235,2376,261,25,47034,54,100,151,134,155,136,17,0,0,751,245,103,138,161,144,211,36,9,0,1047,302,198,295,296,303,343,54,7,0,1799
SOSR221,278,657,1826,2066,2247,1902,444,49,5,9477,376,243,372,401,471,792,477,72,5,3209,72,35,91,108,104,184,80,7,0,681,23,24,66,66,60,56,18,8,0,322,746,951,2360,2638,2885,2935,1025,143,12,13690,23,39,68,52,80,92,15,0,0,370,36,22,24,15,30,46,13,0,0,190,66,59,94,69,109,137,30,0,0,563,811,1013,2457,2702,2994,3071,1050,144,16,14251,674,155,227,333,527,1442,3421,1971,542,9282,87,92,172,217,277,319,355,205,105,1822,1569,1257,2858,3249,3797,4832,4826,2311,653,25357,84,327,931,945,1358,972,139,8,0,4761,559,394,977,1371,1449,1565,466,42,0,6823,88,57,267,181,128,211,77,6,0,1017,34,23,49,41,55,39,20,7,0,265,763,799,2222,2541,2987,2786,701,60,6,12865,12,19,41,26,59,48,7,0,0,207,55,19,31,36,43,49,10,3,0,245,61,44,72,63,95,94,19,3,0,453
SOSR222,118,323,930,1063,1268,1106,270,34,0,5115,169,140,246,217,290,428,282,35,6,1803,38,32,51,61,73,120,54,12,0,446,14,18,47,34,38,24,16,6,0,206,340,521,1270,1375,1665,1682,617,88,6,7570,7,28,50,36,50,68,10,0,0,253,29,14,19,9,11,29,13,0,0,114,33,40,65,45,63,99,25,0,0,366,375,563,1334,1420,1728,1778,648,88,6,7936,397,97,148,180,286,771,1685,930,252,4741,79,79,154,141,186,210,194,104,43,1192,848,737,1640,1736,2200,2760,2525,1122,298,13866,46,188,501,538,761,596,114,12,0,2753,284,235,521,691,749,804,220,26,0,3529,48,50,119,94,94,114,32,0,0,555,20,16,25,28,32,24,14,3,0,156,399,483,1165,1343,1643,1539,375,39,4,6997,18,18,20,18,30,30,4,0,0,134,21,5,23,30,31,31,4,0,0,151,37,24,42,49,60,62,10,0,0,284
SOSR231,2559,5451,11744,15194,19724,17973,6168,1326,134,80282,3358,1794,1934,2234,3433,5404,4218,1153,174,23698,484,307,488,597,914,1382,612,123,27,4933,249,250,445,428,594,534,338,189,41,3061,6651,7807,14609,18457,24663,25293,11331,2791,370,111976,165,279,386,302,460,516,78,0,4,2183,410,159,126,71,138,261,110,17,0,1296,577,435,505,377,595,772,191,16,4,3471,7224,8233,15113,18837,25263,26065,11523,2807,374,115450,5558,1416,2639,2739,3726,8194,18179,9840,2168,54461,967,791,1511,1843,2415,2722,2503,1318,381,14446,13752,10442,19262,23421,31393,36977,32210,13965,2926,184354,793,2720,5977,7216,11373,8641,2258,372,26,39377,4493,3192,5930,9145,11082,11393,4222,708,59,50233,737,430,1413,981,1157,1486,529,86,18,6831,245,179,321,326,443,376,254,128,29,2310,6268,6521,13645,17665,24058,21902,7263,1295,127,98750,87,151,207,165,242,222,13,3,0,1090,459,143,172,193,273,354,60,8,0,1667,545,295,379,356,511,578,79,11,0,2757
