SOSR_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR201,4378,31760,52165,39915,34928,31798,28056,16032,5306,244328,2912,34854,78487,55939,48395,40275,24591,10684,3539,299670,1406,29915,99446,69978,58239,47034,22918,7947,2174,339047,400,15740,85176,60158,46938,35208,14804,4525,1247,264202,221,7034,73057,59860,46587,32476,11655,3827,1211,235927,88,2788,47312,49256,37358,24713,7863,2276,660,172312,93,2216,68458,101420,74421,43847,11792,3154,917,306326,51,410,11120,26425,21225,11892,3310,977,332,75748,112,629,11244,43176,47586,25753,8074,2691,941,140204,12985,19214,47638,36891,29564,23839,21359,19691,16910,228090,254272,309933,745220,690688,585234,489125,372835,220034,95489,3762827
SOSR203,603,3374,4840,3470,3164,3353,3348,1902,611,24664,361,3660,7099,4735,4384,4029,2701,1129,406,28493,156,2674,8187,5720,5135,4691,2240,719,202,29717,40,1370,6316,4518,4041,3344,1291,341,89,21352,18,600,5367,4403,3750,2818,928,320,136,18351,6,232,3247,3422,3105,2016,556,144,46,12770,11,176,4030,5841,5260,3299,722,164,50,19554,7,36,533,1135,1123,707,167,55,22,3774,13,59,584,1686,1987,1104,417,168,60,6076,1379,1700,3383,2587,2527,2323,2557,2347,1977,20773,22438,26344,57266,48628,45780,43953,38749,22789,10152,316110
SOSR211,205,820,1608,1274,916,773,732,310,65,6695,171,1034,2364,1905,1370,1120,516,174,31,8678,102,815,2702,2251,1673,1197,468,79,24,9323,13,373,1873,1795,1241,809,272,42,13,6438,7,149,1436,1454,937,646,177,41,10,4867,3,69,731,1011,739,427,109,12,4,3106,0,35,783,1293,1027,562,114,11,0,3826,0,9,105,177,152,83,17,8,0,550,0,16,110,188,180,119,41,25,12,687,537,543,1386,1203,885,674,600,460,204,6499,6850,6904,18229,16879,12751,10892,9296,4235,1265,87292
SOSR212,436,1956,2966,2430,2317,2344,2544,1249,334,16585,233,2118,4206,3375,3137,2913,1895,805,268,18949,100,1610,5111,3902,3683,3411,1764,484,130,20191,30,757,3874,3155,3026,2500,974,278,68,14660,14,403,3297,3045,2864,2138,676,226,90,12745,4,141,1931,2367,2256,1518,459,91,35,8809,7,114,2296,4045,3865,2590,558,140,45,13658,0,23,338,820,852,532,148,42,9,2769,13,34,310,1191,1429,907,313,117,47,4358,1096,985,2307,2173,2069,1911,2008,1779,1391,15718,15267,14390,34739,33856,33063,31866,28154,15815,6635,213775
SOSR213,436,1757,2746,2326,2342,2419,2538,1479,480,16513,253,2053,4091,3110,3045,2995,1955,773,277,18561,130,1481,4511,3614,3675,3273,1590,543,149,18966,37,711,3370,2827,2542,2110,919,255,67,12835,11,290,2706,2602,2349,1820,652,198,66,10682,6,132,1607,1817,1822,1340,358,93,34,7197,5,103,1899,3018,2949,2079,439,110,42,10642,5,14,253,550,579,412,106,30,7,1960,9,23,280,656,859,678,256,106,41,2903,969,926,2217,1996,1904,1779,2194,2054,1737,15764,13824,12946,31377,29543,29876,30880,29687,18476,7715,204331
SOSR214,226,952,1471,1258,1436,1581,1836,1068,317,10134,151,998,1992,1601,1728,1865,1362,598,192,10492,59,747,2284,1813,1960,2005,1143,412,106,10533,14,354,1528,1392,1415,1366,562,187,56,6875,6,156,1352,1282,1262,1110,463,175,79,5891,6,69,756,888,905,749,276,74,24,3750,9,51,921,1401,1510,996,295,85,27,5301,0,3,123,256,280,251,77,24,6,1029,4,6,103,277,405,354,168,116,37,1468,604,419,1067,1071,1124,1295,1635,1710,1367,10299,7320,6544,15546,15155,16679,19633,21732,13555,5699,121867
SOSR215,337,1389,2124,1920,2110,2472,2525,1349,378,14600,184,1499,2967,2476,2842,2936,1911,824,240,15875,95,1064,3560,2991,3082,3251,1699,546,123,16419,25,543,2667,2451,2346,2200,898,264,68,11460,9,264,2205,2171,2060,1758,635,245,81,9433,0,107,1150,1538,1567,1210,378,105,34,6086,0,98,1467,2476,2606,1935,505,118,31,9238,0,16,223,496,506,415,142,40,14,1842,14,30,239,715,886,691,307,122,47,3042,1050,783,1756,1837,2042,2179,2492,2067,1420,15621,11608,9623,24498,25102,27085,31245,30765,17677,7150,184765
SOSR221,91,326,527,493,592,756,817,348,74,4016,53,361,698,646,790,914,545,220,50,4273,29,287,818,797,883,948,487,139,20,4408,9,137,639,618,729,664,270,82,11,3162,7,49,529,559,590,560,200,49,19,2551,0,27,302,386,442,366,116,29,0,1674,0,12,328,679,714,532,177,48,7,2502,0,3,51,121,136,97,54,16,6,475,10,0,49,180,250,203,107,32,15,845,319,187,402,515,602,730,786,568,389,4497,3103,2351,5867,6681,7831,9819,9308,4555,1658,51183
SOSR222,56,214,295,311,358,420,370,155,33,2217,32,219,431,356,407,507,266,103,25,2349,20,123,469,417,496,543,233,53,14,2367,6,64,319,319,399,396,152,41,3,1690,0,30,244,290,325,310,82,31,12,1331,0,15,127,206,241,203,79,12,0,881,4,10,138,316,401,323,77,15,0,1289,0,0,20,54,71,50,17,10,0,220,0,0,25,98,127,87,51,19,9,414,232,172,307,315,390,463,424,274,164,2742,1684,1426,3270,3606,4415,5566,4713,2229,714,27613
SOSR231,898,2455,2932,3334,4335,5350,4882,1959,346,26491,573,2862,4244,4220,5687,6361,4137,1360,236,29675,292,2197,5112,5031,6899,7261,3853,1005,163,31807,82,1122,3717,4021,5283,5180,2279,639,88,22409,38,538,3018,3767,4978,4570,1807,520,93,19331,19,188,1780,2898,3576,3161,1130,295,52,13108,16,148,2238,4680,6227,4876,1697,406,75,20373,6,29,349,1132,1595,1203,460,147,27,4946,12,48,513,1803,2926,2625,1221,430,94,9670,2765,1949,4468,5137,6079,6571,5808,3236,1073,37086,26374,19202,37655,46846,62773,72485,59700,25286,5963,356286
