SOSR_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR201,1136091,1198194,2334286,94852,98249,193097,22267,23067,45332,543001,558055,1101053,14215,15152,29368,7009,7321,14324,8652,8550,17202,3021,3196,6213,2306,2231,4536,3021,3188,6208,24,17,45,603500,620777,1224278,162959,167242,330193,13786,11923,25711,875103,898178,1773284,106654,102882,209535,2117846,2199252,4317101
SOSR203,89180,96180,185358,11975,12934,24912,1734,2056,3791,50186,56054,106241,1238,1437,2675,596,692,1289,566,589,1152,354,408,763,314,320,635,208,243,454,0,0,6,55206,61808,117012,6284,5967,12249,1402,1362,2766,74871,82065,156938,10263,10745,21012,174317,188993,363307
SOSR211,24163,25076,49237,2935,3216,6148,1823,1824,3646,14709,15620,30330,703,649,1347,211,187,398,204,183,392,127,122,245,152,137,282,108,91,198,0,0,0,18029,18811,36841,2142,2427,4572,450,380,830,23557,24830,48390,3576,3628,7198,51298,53529,104825
SOSR212,64086,68051,132141,12735,13946,26687,1533,1780,3309,26744,29518,56263,818,893,1709,497,557,1054,362,397,758,140,203,344,207,238,444,98,90,191,0,3,0,30407,33662,64070,3837,4208,8045,892,878,1769,47871,52699,100570,7787,8133,15921,119747,128891,248639
SOSR213,60673,64673,125351,15464,16941,32402,1319,1444,2761,22920,25257,48172,890,1063,1960,397,443,840,346,342,693,181,173,350,209,201,413,108,117,225,4,0,5,26371,29049,55421,2203,2589,4791,837,805,1640,44867,49379,94250,7882,7868,15755,113422,121933,235354
SOSR214,35451,37805,73252,8552,9566,18120,695,768,1463,13843,15268,29108,438,497,934,168,216,385,196,190,386,107,123,229,118,116,238,57,53,108,0,0,0,15617,17236,32852,1246,1313,2555,425,337,766,25840,28451,54294,4986,5292,10279,66282,71542,137828
SOSR215,57951,60276,118233,11030,12356,23389,1230,1404,2630,21433,22695,44124,750,832,1581,278,341,626,317,287,611,135,168,305,164,199,366,92,93,190,0,3,4,24414,26020,50433,1542,1608,3147,561,534,1102,37554,40517,78068,7910,8074,15976,103413,108865,212281
SOSR221,16733,16693,33421,2339,2385,4723,362,365,728,6341,6557,12896,192,240,434,97,104,204,92,79,173,47,48,96,52,51,105,37,35,70,0,0,0,7229,7491,14718,361,365,721,165,147,313,10085,10381,20471,2318,2262,4578,29136,29341,58476
SOSR222,9429,9144,18576,1077,1056,2137,178,209,390,3076,3226,6300,127,124,251,76,64,134,38,40,72,32,28,61,26,24,49,12,20,27,0,0,0,3562,3735,7291,245,277,520,76,77,153,4956,5149,10107,1473,1364,2830,15865,15657,31515
SOSR231,133903,125007,258912,11951,11483,23436,2191,2264,4451,36443,36493,72931,1316,1258,2572,621,597,1220,527,499,1029,210,215,432,337,318,661,149,123,269,0,0,0,41803,41771,83570,2302,2380,4682,862,632,1491,56914,56263,113184,21158,16298,37458,211981,197573,409552
