SOSR_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SOSR201,27323,627,234,863,28186,4601,120,32909,207424,26005,3782,977,238191,4228,1069,5294,243491,12792,373,256647,243840,41017,4498,1635,290990,3409,915,4322,295309,11393,416,307123,31959,4546,3980,313,40794,419,100,521,41313,1406,72,42792,2758,419,116,3132,6419,115,34,154,6570,458,587,7620,485982,71990,12372,6063,576396,8167,2120,10288,586683,26049,1454,614188,6283,1250,165,149,7848,1083,129,1209,9059,689,25,9768,10190,2084,228,248,12755,949,475,1420,14175,981,56,15212,16469,3334,392,401,20603,2031,603,2631,23235,1668,76,24984,502452,75327,12765,6458,596999,10198,2723,12919,609923,27717,1529,639168,130319,29915,4498,4162,168897,5809,1598,7408,176299,35771,889,212962,1174,355,31,1621,3189,54,4,61,3249,273,2708,6230,633940,105603,17296,12244,769082,16073,4319,20390,789475,63767,5130,858360
SOSR203,1036,10,0,13,1050,131,4,1189,12726,1871,260,50,14911,178,54,238,15146,809,20,15971,22582,3117,452,113,26261,196,63,256,26524,796,36,27350,2852,380,353,36,3617,38,0,42,3664,99,4,3772,192,15,5,176,387,6,0,3,391,35,29,457,38348,5385,1068,373,45180,418,124,540,45722,1740,83,47550,206,49,8,5,265,35,0,40,313,30,0,345,646,100,13,19,779,56,12,66,843,34,0,879,852,153,21,27,1045,89,18,105,1152,69,0,1222,39198,5540,1091,398,46226,505,140,644,46873,1806,88,48767,8077,1549,274,148,10053,236,56,295,10348,1839,20,12203,47,6,0,24,83,0,5,5,82,8,145,246,47322,7098,1373,572,56359,745,201,943,57306,3656,256,61219
SOSR211,278,7,4,9,294,65,0,361,4420,548,104,32,5096,90,45,134,5235,318,9,5558,5077,931,134,48,6190,101,23,126,6316,340,6,6662,714,91,88,15,910,13,0,13,917,55,3,976,92,15,0,100,206,0,0,0,208,23,33,268,10303,1589,317,188,12403,207,69,279,12679,729,51,13464,204,69,0,5,291,58,3,57,349,47,4,395,313,84,25,7,427,34,16,52,476,21,0,498,520,156,22,13,715,88,19,113,824,67,4,893,10817,1750,347,196,13116,294,94,388,13503,797,55,14356,4355,1067,175,176,5772,216,55,273,6043,1230,21,7295,50,15,0,56,120,0,0,0,120,9,100,224,15227,2830,514,429,18999,518,145,658,19661,2040,181,21881
SOSR212,661,16,0,15,684,73,5,758,9957,1418,208,54,11635,129,61,183,11821,607,14,12442,15891,2072,331,104,18395,150,50,194,18593,478,31,19105,1950,292,290,30,2564,17,4,21,2580,77,8,2664,149,17,8,183,360,0,0,0,360,27,39,430,27955,3806,832,368,32965,287,108,397,33360,1192,86,34638,158,20,5,6,195,57,5,63,260,28,0,284,399,59,5,13,474,27,9,34,510,49,0,557,559,76,13,20,669,89,13,104,767,74,0,846,28515,3877,850,386,33629,377,128,502,34129,1263,86,35479,5611,1036,201,186,7035,174,93,267,7300,1632,31,8964,62,19,0,48,129,0,0,0,129,12,143,283,34180,4935,1050,625,40792,555,217,766,41555,2908,262,44729
SOSR213,494,3,4,8,495,39,3,536,8051,1054,167,41,9316,98,39,141,9459,494,13,9968,14194,1939,325,156,16612,143,39,183,16800,566,13,17382,1747,224,201,21,2184,27,5,30,2214,74,3,2297,143,13,0,128,291,7,0,6,298,21,30,347,24132,3228,692,349,28399,278,91,366,28766,1159,61,29990,134,18,3,0,158,22,0,22,180,22,5,202,311,57,11,9,389,32,9,37,425,20,3,452,441,73,19,9,548,52,9,63,603,41,6,654,24577,3304,712,353,28948,329,98,427,29376,1205,68,30641,5429,857,216,209,6720,218,32,254,6973,1078,26,8077,60,3,0,29,95,0,0,0,95,15,99,202,30067,4168,930,593,35763,550,134,678,36444,2294,189,38928
SOSR214,201,0,0,0,203,17,0,224,3959,570,111,40,4676,53,16,70,4747,249,12,5006,6730,1177,188,73,8169,45,25,66,8236,329,8,8576,945,178,141,15,1284,4,0,8,1291,49,4,1347,91,15,0,87,194,6,0,3,203,16,5,223,11730,1945,437,213,14325,104,43,149,14472,638,31,15146,57,12,0,6,77,9,4,14,81,14,0,97,153,25,4,11,193,13,4,16,214,11,0,223,206,38,8,18,269,19,6,32,296,19,0,317,11929,1988,447,228,14589,127,52,182,14769,659,31,15460,2534,485,130,102,3243,63,9,73,3320,618,15,3949,16,0,0,12,29,0,0,0,29,7,71,110,14479,2469,573,341,17869,191,61,252,18119,1280,115,19517
SOSR215,367,0,0,0,374,39,0,416,6886,879,213,60,8037,91,15,108,8147,407,6,8562,12562,1734,277,134,14705,83,49,134,14840,537,21,15397,1705,251,241,27,2230,7,0,11,2241,55,0,2294,181,8,10,220,416,0,4,3,420,30,13,460,21332,2883,747,438,25398,188,63,255,25651,1026,35,26708,131,33,8,3,175,18,0,18,192,17,0,211,300,38,10,11,355,11,14,24,380,27,0,406,435,69,16,11,534,27,14,37,571,44,0,618,21761,2952,761,450,25929,217,73,296,26223,1072,35,27332,4818,719,202,154,5890,87,39,126,6018,928,18,6958,34,3,4,25,71,6,0,6,75,11,112,189,26613,3681,970,629,31888,309,117,423,32313,2009,166,34486
SOSR221,109,0,0,0,111,9,0,113,1777,296,51,13,2140,20,7,26,2169,139,0,2304,3482,527,86,49,4143,18,10,32,4176,147,3,4328,461,66,78,3,615,6,0,6,622,19,0,646,56,15,5,62,135,0,0,0,135,0,7,144,5776,905,230,129,7040,42,17,63,7103,311,14,7425,20,0,0,0,26,5,0,5,32,6,5,46,41,23,0,0,61,0,0,0,65,12,0,78,60,27,0,0,93,5,0,8,99,14,5,124,5839,929,231,129,7132,50,21,71,7203,325,16,7540,1242,193,48,76,1563,49,14,60,1619,256,4,1879,9,5,0,3,22,0,0,0,29,3,32,58,7091,1127,276,214,8711,103,31,134,8850,583,51,9481
SOSR222,54,0,0,0,53,3,0,60,927,124,24,6,1076,17,7,21,1102,79,5,1186,1648,266,53,16,1985,13,8,21,2008,59,0,2064,219,43,29,0,294,0,0,0,293,12,0,306,33,3,0,32,66,0,0,0,71,3,8,80,2822,442,98,57,3428,27,13,43,3472,152,14,3631,9,0,0,0,14,0,0,0,21,0,0,20,45,4,5,0,55,0,0,0,56,11,0,67,57,3,5,0,63,0,0,9,74,13,0,86,2880,453,105,57,3491,32,21,50,3548,162,14,3719,542,121,37,27,731,22,8,34,762,144,7,918,4,3,0,0,10,0,0,0,10,0,28,40,3428,575,141,94,4237,56,27,87,4317,309,47,4678
SOSR231,1189,8,6,12,1202,114,4,1320,17653,1782,376,143,19953,116,39,159,20111,911,39,21057,27775,3603,578,298,32261,154,45,196,32454,995,32,33484,2720,390,423,70,3603,15,0,16,3618,153,6,3772,391,78,13,556,1033,12,4,12,1048,59,46,1148,48537,5855,1390,1066,56848,296,86,384,57229,2118,117,59464,171,30,6,9,213,37,3,44,260,37,0,291,361,68,11,11,460,20,6,30,488,16,0,502,538,99,19,20,673,56,13,67,742,50,0,798,49071,5954,1403,1089,57517,354,99,455,57970,2172,117,60259,8513,1280,355,369,10522,173,36,210,10729,1612,41,12382,110,15,10,36,172,4,0,4,172,19,308,500,57694,7251,1773,1492,68211,525,130,662,68875,3798,465,73138
