SOSR_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOSR201,21701,71524,18517,15379,2387,180879,50696,21085,109639,43437,42462,6607,273922,3598,1439,12395,5048,5527,591,28602,5369,1647,12833,11339,26096,1504,58783,9912,1685,22954,10540,16980,9100,71176,284922,88550,643071,263818,369826,47763,1697942
SOSR203,2133,7068,1851,2073,168,16383,3763,2597,10694,4950,6938,677,29618,156,83,631,328,573,50,1823,236,115,646,842,2752,104,4701,262,68,742,521,1543,526,3659,12914,7379,38355,20560,45576,3358,128139
SOSR211,421,1148,542,662,45,3253,496,400,1834,1314,1814,161,6018,11,9,70,60,146,12,310,43,11,132,207,916,36,1345,75,19,189,195,606,215,1299,2340,1239,7199,6118,14038,1129,32071
SOSR212,1436,4471,1248,1592,143,10504,1997,1491,5876,3265,4181,457,17262,83,41,329,225,392,27,1096,98,65,380,609,2098,92,3337,111,56,442,386,1244,420,2653,6410,4457,22075,14614,33207,2594,83367
SOSR213,1118,3470,1141,1611,133,8704,1391,1164,4541,3203,4641,403,15342,58,42,245,185,317,19,865,90,58,303,545,2251,77,3312,81,38,301,293,1170,433,2331,4597,3486,16364,12826,33208,2412,72901
SOSR214,641,1803,597,704,61,4450,615,569,2206,1731,2408,252,7784,48,42,202,136,234,16,673,47,40,168,273,1153,35,1719,48,31,154,154,651,238,1278,2441,1933,8688,6883,17684,1547,39167
SOSR215,1109,2983,951,1153,86,7427,980,900,3268,2680,3551,385,11757,83,57,286,215,402,19,1051,96,43,260,407,2049,62,2921,79,54,336,303,1211,372,2362,4078,3212,14029,10996,29977,2341,64636
SOSR221,303,930,263,349,39,2225,249,228,944,697,910,106,3132,31,24,92,77,109,10,344,15,7,61,90,553,15,742,20,14,76,70,297,106,578,1078,863,3981,2952,8273,707,17857
SOSR222,151,462,173,174,24,1141,126,132,450,360,501,61,1625,13,11,69,40,46,4,186,8,4,35,49,320,8,425,7,3,50,46,176,52,338,545,474,2155,1632,4440,353,9598
SOSR231,1844,5524,1855,2189,257,13575,1984,1811,6735,4423,5404,733,21092,140,110,624,458,830,75,2239,173,96,496,724,3879,160,5530,181,99,759,774,2457,898,5173,8152,6467,31807,23887,61460,5988,137765
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
SOSR299,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
